,X,dataCard,monthYear,day,inches,maxTemp,minTemp,date,sawAvalanche
5432,123511,WA502,1114,14,0.2,23,10,11/14/14,NA
5433,123512,WA502,1114,15,0.2,22,10,11/15/14,NA
5434,123513,WA502,1114,16,0.2,37,13,11/16/14,NA
5435,123514,WA502,1114,17,0.4,40,23,11/17/14,NA
5436,123515,WA502,1114,18,0.5,50,30,11/18/14,NA
5437,123516,WA502,1114,19,0.6,45,31,11/19/14,NA
5438,123517,WA502,1114,20,0.7,38,31,11/20/14,NA
5439,123518,WA502,1114,21,0.8,37,31,11/21/14,NA
5440,123519,WA502,1114,22,1.9,32,24,11/22/14,NA
5441,123520,WA502,1114,23,2,31,26,11/23/14,No
5442,123521,WA502,1114,24,2.7,40,24,11/24/14,NA
5443,123522,WA502,1114,25,3.1,43,38,11/25/14,NA
5444,123523,WA502,1114,26,2.3,45,38,11/26/14,NA
5445,123524,WA502,1114,27,2.1,40,36,11/27/14,NA
5446,123525,WA502,1114,28,1.8,38,22,11/28/14,NA
5447,123526,WA502,1114,29,2.2,23,2,11/29/14,NA
5448,123527,WA502,1114,30,2,21,2,11/30/14,NA
5449,123528,WA502,1214,1,2.1,32,10,12/1/14,NA
5450,123529,WA502,1214,2,2.2,33,15,12/2/14,NA
5451,123530,WA502,1214,3,2.3,33,19,12/3/14,No
5452,123531,WA502,1214,4,2.4,39,32,12/4/14,NA
5453,123532,WA502,1214,5,2.4,37,35,12/5/14,NA
5454,123533,WA502,1214,6,2.5,36,28,12/6/14,NA
5455,123534,WA502,1214,7,2.9,38,27,12/7/14,NA
5456,123535,WA502,1214,8,2.9,40,32,12/8/14,NA
5457,123536,WA502,1214,9,2.9,42,36,12/9/14,NA
5458,123537,WA502,1214,10,3,41,32,12/10/14,NA
5459,123538,WA502,1214,11,2.6,37,29,12/11/14,NA
5460,123539,WA502,1214,12,3.3,33,27,12/12/14,NA
5461,123540,WA502,1214,13,3.3,33,21,12/13/14,NA
5462,123541,WA502,1214,14,3.3,30,22,12/14/14,NA
5463,123542,WA502,1214,15,3.4,24,22,12/15/14,NA
5464,123543,WA502,1214,16,3.4,31,23,12/16/14,NA
5465,123544,WA502,1214,17,3.5,34,25,12/17/14,NA
5466,123545,WA502,1214,18,3.5,34,25,12/18/14,NA
5467,123546,WA502,1214,19,3.7,32,26,12/19/14,NA
5468,123547,WA502,1214,20,3.7,39,28,12/20/14,NA
5469,123548,WA502,1214,21,5,39,30,12/21/14,No
5470,123549,WA502,1214,22,5.5,33,25,12/22/14,NA
5471,123550,WA502,1214,23,5.6,40,25,12/23/14,NA
5472,123551,WA502,1214,24,5.6,37,22,12/24/14,NA
5473,123552,WA502,1214,25,5.8,28,21,12/25/14,NA
5474,123553,WA502,1214,26,5.7,30,19,12/26/14,NA
5475,123554,WA502,1214,27,5.7,31,23,12/27/14,NA
5476,123555,WA502,1214,28,6.4,27,18,12/28/14,NA
5477,123556,WA502,1214,29,6.5,21,6,12/29/14,NA
5478,123557,WA502,1214,30,7,22,-3,12/30/14,NA
5479,123558,WA502,1214,31,7,34,17,12/31/14,NA
5480,123559,WA502,115,1,7.1,44,19,1/1/15,NA
5481,123560,WA502,115,2,7.1,42,26,1/2/15,NA
5482,123561,WA502,115,3,7.1,33,14,1/3/15,NA
5483,123562,WA502,115,4,7,39,26,1/4/15,NA
5484,123563,WA502,115,5,7.7,47,38,1/5/15,NA
5485,123564,WA502,115,6,7.3,56,38,1/6/15,NA
5486,123565,WA502,115,7,7.2,58,38,1/7/15,NA
5487,123566,WA502,115,8,7.1,46,27,1/8/15,NA
5488,123567,WA502,115,9,7,44,26,1/9/15,NA
5489,123568,WA502,115,10,7.1,42,33,1/10/15,NA
5490,123569,WA502,115,11,7.1,35,28,1/11/15,NA
5491,123570,WA502,115,12,7.1,37,23,1/12/15,NA
5492,123571,WA502,115,13,7.1,42,24,1/13/15,NA
