$ Get data for 352:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:43:40 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA352           Blewett Pass
01  2000 02   2016  1   f10.2
WA352       0100   1     32.00
WA352       0100   2     27.00
WA352       0100   3     26.00
WA352       0100   4     34.00
WA352       0100   5     33.00
WA352       0100   6     31.00
WA352       0100   7     37.00
WA352       0100   8     32.00
WA352       0100   9     28.00
WA352       0100  10     26.00
WA352       0100  11     25.00
WA352       0100  12     26.00
WA352       0100  13     29.00
WA352       0100  14     31.00
WA352       0100  15     29.00
WA352       0100  16     30.00
WA352       0100  17     34.00
WA352       0100  18     36.00
WA352       0100  19     29.00
WA352       0100  20     36.00
WA352       0100  21     33.00
WA352       0100  22     35.00
WA352       0100  23     23.00
WA352       0100  24     26.00
WA352       0100  25     33.00
WA352       0100  26     36.00
WA352       0100  27     40.00
WA352       0100  28     35.00
WA352       0100  29     22.00
WA352       0100  30     22.00
WA352       0100  31     37.00
WA352       0200   1     33.00
WA352       0200   2     37.00
WA352       0200   3     35.00
WA352       0200   4     41.00
WA352       0200   5     31.00
WA352       0200   6     44.00
WA352       0200   7     37.00
WA352       0200   8     39.00
WA352       0200   9     40.00
WA352       0200  10     39.00
WA352       0200  11     39.00
WA352       0200  12     30.00
WA352       0200  13     25.00
WA352       0200  14     29.00
WA352       0200  15     36.00
WA352       0200  16     36.00
WA352       0200  17     40.00
WA352       0200  18     41.00
WA352       0200  19     32.00
WA352       0200  20     38.00
WA352       0200  21     42.00
WA352       0200  22     36.00
WA352       0200  23     41.00
WA352       0200  24     44.00
WA352       0200  25     38.00
WA352       0200  26     35.00
WA352       0200  27     47.00
WA352       0200  28     40.00
WA352       0200  29     35.00
WA352       0300   1     37.00
WA352       0300   2     42.00
WA352       0300   3     40.00
WA352       0300   4     36.00
WA352       0300   5     42.00
WA352       0300   6     44.00
WA352       0300   7     45.00
WA352       0300   8     34.00
WA352       0300   9     48.00
WA352       0300  10     46.00
WA352       0300  11     43.00
WA352       0300  12     42.00
WA352       0300  13     46.00
WA352       0300  14     38.00
WA352       0300  15     47.00
WA352       0300  16     41.00
WA352       0300  17     37.00
WA352       0300  18     32.00
WA352       0300  19     37.00
WA352       0300  20     45.00
WA352       0300  21     59.00
WA352       0300  22     43.00
WA352       0300  23     45.00
WA352       0300  24     46.00
WA352       0300  25     49.00
WA352       0300  26     54.00
WA352       0300  27     44.00
WA352       0300  28     46.00
WA352       0300  29     51.00
WA352       0300  30     55.00
WA352       0300  31     61.00
WA352       0400   1     63.00
WA352       0400   2     66.00
WA352       0400   3     68.00
WA352       0400   4     46.00
WA352       0400   5     44.00
WA352       0400   6     42.00
WA352       0400   7     54.00
WA352       0400   8     59.00
WA352       0400   9     66.00
WA352       0400  10     66.00
WA352       0400  11     67.00
WA352       0400  12     64.00
WA352       0400  13     55.00
WA352       0400  14     46.00
WA352       0400  15     49.00
WA352       0400  16     46.00
WA352       0400  17     61.00
WA352       0400  18     62.00
WA352       0400  19     61.00
WA352       0400  20     62.00
WA352       0400  21     61.00
WA352       0400  22     47.00
WA352       0400  23     43.00
WA352       0400  24     47.00
WA352       0400  25     44.00
WA352       0400  26     51.00
WA352       0400  27     51.00
WA352       0400  28     45.00
WA352       0400  29     51.00
WA352       0400  30     58.00
WA352       0500   1     55.00
WA352       0500   2     56.00
WA352       0500   3     45.00
WA352       0500   4     46.00
WA352       0500   5     48.00
WA352       0500   6     49.00
WA352       0500   7     56.00
WA352       0500   8     47.00
WA352       0500   9     42.00
WA352       0500  10     44.00
WA352       0500  11     47.00
WA352       0500  12     52.00
WA352       0500  13     52.00
WA352       0500  14     61.00
WA352       0500  15     64.00
WA352       0500  16     71.00
WA352       0500  17     61.00
WA352       0500  18     62.00
WA352       0500  19     61.00
WA352       0500  20     66.00
WA352       0500  21     69.00
WA352       0500  22     66.00
WA352       0500  23     67.00
WA352       0500  24     67.00
WA352       0500  25     57.00
WA352       0500  26     56.00
WA352       0500  27     55.00
WA352       0500  28     53.00
WA352       0500  29     60.00
WA352       0500  30     50.00
WA352       0500  31     48.00
WA352       0600   1     53.00
WA352       0600   2     65.00
WA352       0600   3     71.00
WA352       0600   4     72.00
WA352       0600   5     64.00
WA352       0600   6     55.00
WA352       0600   7     57.00
WA352       0600   8     61.00
WA352       0600   9     59.00
WA352       0600  10     52.00
WA352       0600  11     48.00
WA352       0600  12     51.00
WA352       0600  13     63.00
WA352       0600  14     62.00
WA352       0600  15     63.00
WA352       0600  16     71.00
WA352       0600  17     78.00
WA352       0600  18     65.00
WA352       0600  19     66.00
WA352       0600  20     75.00
WA352       0600  21     72.00
WA352       0600  22     72.00
WA352       0600  23     71.00
WA352       0600  24     65.00
WA352       0600  25     74.00
WA352       0600  26     79.00
WA352       0600  27     82.00
WA352       0600  28     83.00
WA352       0600  29     81.00
WA352       0600  30     67.00
WA352       0700   1     62.00
WA352       0700   2     63.00
WA352       0700   3     45.00
WA352       0700   4     63.00
