$ Get data for 420:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:48:45 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA420           Cougar Mountain
01  2000 02   2016  1   f10.2
WA420       0100   1     31.00
WA420       0100   2     28.00
WA420       0100   3     32.00
WA420       0100   4     34.00
WA420       0100   5     31.00
WA420       0100   6     32.00
WA420       0100   7     36.00
WA420       0100   8     35.00
WA420       0100   9     33.00
WA420       0100  10     27.00
WA420       0100  11     26.00
WA420       0100  12     30.00
WA420       0100  13     31.00
WA420       0100  14     33.00
WA420       0100  15     27.00
WA420       0100  16     36.00
WA420       0100  17     35.00
WA420       0100  18     34.00
WA420       0100  19     31.00
WA420       0100  20     35.00
WA420       0100  21     35.00
WA420       0100  22     36.00
WA420       0100  23     31.00
WA420       0100  24     34.00
WA420       0100  25     35.00
WA420       0100  26     30.00
WA420       0100  27     33.00
WA420       0100  28     35.00
WA420       0100  29     32.00
WA420       0100  30     31.00
WA420       0100  31     36.00
WA420       0200   1     36.00
WA420       0200   2     37.00
WA420       0200   3     39.00
WA420       0200   4     44.00
WA420       0200   5     38.00
WA420       0200   6     42.00
WA420       0200   7     42.00
WA420       0200   8     39.00
WA420       0200   9     34.00
WA420       0200  10     40.00
WA420       0200  11     34.00
WA420       0200  12     32.00
WA420       0200  13     32.00
WA420       0200  14     37.00
WA420       0200  15     34.00
WA420       0200  16     37.00
WA420       0200  17     40.00
WA420       0200  18     41.00
WA420       0200  19     35.00
WA420       0200  20     41.00
WA420       0200  21     38.00
WA420       0200  22     39.00
WA420       0200  23     35.00
WA420       0200  24     33.00
WA420       0200  25     35.00
WA420       0200  26     35.00
WA420       0200  27     41.00
WA420       0200  28     34.00
WA420       0200  29     41.00
WA420       0300   1     35.00
WA420       0300   2     38.00
WA420       0300   3     40.00
WA420       0300   4     33.00
WA420       0300   5     33.00
WA420       0300   6     33.00
WA420       0300   7     36.00
WA420       0300   8     37.00
WA420       0300   9     44.00
WA420       0300  10     40.00
WA420       0300  11     34.00
WA420       0300  12     38.00
WA420       0300  13     45.00
WA420       0300  14     34.00
WA420       0300  15     38.00
WA420       0300  16     34.00
WA420       0300  17     34.00
WA420       0300  18     38.00
WA420       0300  19     32.00
WA420       0300  20     37.00
WA420       0300  21     41.00
WA420       0300  22     41.00
WA420       0300  23     34.00
WA420       0300  24     44.00
WA420       0300  25     37.00
WA420       0300  26     53.00
WA420       0300  27     39.00
WA420       0300  28     33.00
WA420       0300  29     38.00
WA420       0300  30     48.00
WA420       0300  31     55.00
WA420       0400   1     56.00
WA420       0400   2     61.00
WA420       0400   3     65.00
WA420       0400   4     39.00
WA420       0400   5     36.00
WA420       0400   6     32.00
WA420       0400   7     48.00
WA420       0400   8     59.00
WA420       0400   9     43.00
WA420       0400  10     59.00
WA420       0400  11     65.00
WA420       0400  12     62.00
WA420       0400  13     51.00
WA420       0400  14     41.00
WA420       0400  15     42.00
WA420       0400  16     47.00
WA420       0400  17     59.00
WA420       0400  18     56.00
WA420       0400  19     53.00
WA420       0400  20     56.00
WA420       0400  21     59.00
WA420       0400  22     39.00
WA420       0400  23     41.00
WA420       0400  24     44.00
WA420       0400  25     40.00
WA420       0400  26     52.00
WA420       0400  27     53.00
WA420       0400  28     39.00
WA420       0400  29     49.00
WA420       0400  30     61.00
WA420       0500   1     51.00
WA420       0500   2     54.00
WA420       0500   3     42.00
WA420       0500   4     42.00
WA420       0500   5     39.00
WA420       0500   6     46.00
WA420       0500   7     55.00
WA420       0500   8     47.00
WA420       0500   9     40.00
WA420       0500  10     42.00
WA420       0500  11     42.00
WA420       0500  12     50.00
WA420       0500  13     59.00
WA420       0500  14     65.00
WA420       0500  15     59.00
WA420       0500  16     59.00
WA420       0500  17     42.00
WA420       0500  18     58.00
WA420       0500  19     54.00
WA420       0500  20     57.00
WA420       0500  21     60.00
WA420       0500  22     55.00
WA420       0500  23     58.00
WA420       0500  24     58.00
WA420       0500  25     54.00
WA420       0500  26     52.00
WA420       0500  27     51.00
WA420       0500  28     49.00
WA420       0500  29     47.00
WA420       0500  30     39.00
WA420       0500  31     41.00
WA420       0600   1     59.00
WA420       0600   2     59.00
WA420       0600   3     74.00
WA420       0600   4     77.00
WA420       0600   5     58.00
WA420       0600   6     55.00
WA420       0600   7     54.00
WA420       0600   8     47.00
WA420       0600   9     52.00
WA420       0600  10     45.00
WA420       0600  11     46.00
WA420       0600  12     46.00
WA420       0600  13     49.00
WA420       0600  14     52.00
WA420       0600  15     54.00
WA420       0600  16     68.00
WA420       0600  17     74.00
WA420       0600  18     50.00
WA420       0600  19     50.00
WA420       0600  20     68.00
WA420       0600  21     63.00
WA420       0600  22     60.00
WA420       0600  23     62.00
WA420       0600  24     58.00
WA420       0600  25     75.00
WA420       0600  26     80.00
WA420       0600  27     84.00
WA420       0600  28     80.00
WA420       0600  29     73.00
WA420       0600  30     56.00
WA420       0700   1     48.00
WA420       0700   2     51.00
WA420       0700   3     44.00
WA420       0700   4     56.00
WA420       0700   5     62.00
WA420       0700   6     61.00
WA420       0700   7     67.00
WA420       0700   8     65.00
WA420       0700   9     55.00
WA420       0700  10     60.00
WA420       0700  11     62.00
WA420       0700  12     68.00
WA420       0700  13     66.00
WA420       0700  14     55.00
WA420       0700  15     67.00
WA420       0700  16     80.00
WA420       0700  17     75.00
WA420       0700  18     64.00
WA420       0700  19     66.00
WA420       0700  20     69.00
WA420       0700  21     79.00
WA420       0700  22     56.00
WA420       0700  23     58.00
WA420       0700  24     71.00
WA420       0700  25     60.00
WA420       0700  26     60.00
WA420       0700  27     69.00
WA420       0700  28     64.00
WA420       0700  29     73.00
WA420       0700  30     78.00
WA420       0700  31     76.00
WA420       0800   1     66.00
WA420       0800   2     71.00
WA420       0800   3     70.00
WA420       0800   4     73.00
WA420       0800   5     76.00
WA420       0800   6     73.00
WA420       0800   7     69.00
WA420       0800   8     74.00
WA420       0800   9     73.00
WA420       0800  10     60.00
WA420       0800  11     57.00
WA420       0800  12     61.00
WA420       0800  13     59.00
WA420       0800  14     59.00
WA420       0800  15     56.00
WA420       0800  16     65.00
WA420       0800  17     63.00
WA420       0800  18     51.00
WA420       0800  19     51.00
WA420       0800  20     57.00
WA420       0800  21     66.00
WA420       0800  22     74.00
WA420       0800  23     79.00
WA420       0800  24     69.00
WA420       0800  25     58.00
WA420       0800  26     51.00
WA420       0800  27     53.00
WA420       0800  28     64.00
WA420       0800  29     61.00
WA420       0800  30     56.00
WA420       0800  31     48.00
WA420       0900   1     56.00
WA420       0900   2     52.00
WA420       0900   3     52.00
WA420       0900   4     56.00
WA420       0900   5     50.00
WA420       0900   6     56.00
WA420       0900   7     58.00
WA420       0900   8     48.00
WA420       0900   9     47.00
WA420       0900  10     49.00
WA420       0900  11     60.00
WA420       0900  12     67.00
WA420       0900  13     74.00
WA420       0900  14     81.00
WA420       0900  15     62.00
WA420       0900  16     58.00
WA420       0900  17     66.00
WA420       0900  18     56.00
WA420       0900  19     60.00
WA420       0900  20     55.00
WA420       0900  21     49.00
WA420       0900  22     48.00
WA420       0900  23     57.00
WA420       0900  24     61.00
WA420       0900  25     66.00
