$ Get data for 642:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:24:53 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA642           Morse Lake
01  2000 02   2016  1   f10.2
WA642       0100   1     25.00
WA642       0100   2     21.00
WA642       0100   3     30.00
WA642       0100   4     31.00
WA642       0100   5     27.00
WA642       0100   6     36.00
WA642       0100   7     29.00
WA642       0100   8     31.00
WA642       0100   9     29.00
WA642       0100  10     22.00
WA642       0100  11     21.00
WA642       0100  12     20.00
WA642       0100  13     26.00
WA642       0100  14     29.00
WA642       0100  15     22.00
WA642       0100  16     27.00
WA642       0100  17     31.00
WA642       0100  18     29.00
WA642       0100  19     25.00
WA642       0100  20     31.00
WA642       0100  21     30.00
WA642       0100  22     30.00
WA642       0100  23     22.00
WA642       0100  24     26.00
WA642       0100  25     35.00
WA642       0100  26     28.00
WA642       0100  27     33.00
WA642       0100  28     32.00
WA642       0100  29     22.00
WA642       0100  30     21.00
WA642       0100  31     31.00
WA642       0200   1     34.00
WA642       0200   2     38.00
WA642       0200   3     31.00
WA642       0200   4     36.00
WA642       0200   5     35.00
WA642       0200   6     38.00
WA642       0200   7     37.00
WA642       0200   8     34.00
WA642       0200   9     30.00
WA642       0200  10     32.00
WA642       0200  11     29.00
WA642       0200  12     31.00
WA642       0200  13     25.00
WA642       0200  14     29.00
WA642       0200  15     30.00
WA642       0200  16     38.00
WA642       0200  17     38.00
WA642       0200  18     40.00
WA642       0200  19     33.00
WA642       0200  20     26.00
WA642       0200  21     37.00
WA642       0200  22     33.00
WA642       0200  23     33.00
WA642       0200  24     30.00
WA642       0200  25     34.00
WA642       0200  26     33.00
WA642       0200  27     39.00
WA642       0200  28     31.00
WA642       0200  29     34.00
WA642       0300   1     33.00
WA642       0300   2     36.00
WA642       0300   3     36.00
WA642       0300   4     32.00
WA642       0300   5     27.00
WA642       0300   6     30.00
WA642       0300   7     36.00
WA642       0300   8     33.00
WA642       0300   9     40.00
WA642       0300  10     38.00
WA642       0300  11     32.00
WA642       0300  12     37.00
WA642       0300  13     43.00
WA642       0300  14     31.00
WA642       0300  15     41.00
WA642       0300  16     33.00
WA642       0300  17     30.00
WA642       0300  18     35.00
WA642       0300  19     31.00
WA642       0300  20     37.00
WA642       0300  21     46.00
WA642       0300  22     40.00
WA642       0300  23     34.00
WA642       0300  24     42.00
WA642       0300  25     39.00
WA642       0300  26     49.00
WA642       0300  27     35.00
WA642       0300  28     30.00
WA642       0300  29     36.00
WA642       0300  30     46.00
WA642       0300  31     49.00
WA642       0400   1     53.00
WA642       0400   2     61.00
WA642       0400   3     60.00
WA642       0400   4     38.00
WA642       0400   5     31.00
WA642       0400   6     30.00
WA642       0400   7     50.00
WA642       0400   8     56.00
WA642       0400   9     50.00
WA642       0400  10     57.00
WA642       0400  11     60.00
WA642       0400  12     57.00
WA642       0400  13     43.00
WA642       0400  14     38.00
WA642       0400  15     38.00
WA642       0400  16     42.00
WA642       0400  17     54.00
WA642       0400  18     52.00
WA642       0400  19     49.00
WA642       0400  20     52.00
WA642       0400  21     50.00
WA642       0400  22     38.00
WA642       0400  23     35.00
WA642       0400  24     42.00
WA642       0400  25     38.00
WA642       0400  26     48.00
WA642       0400  27     50.00
WA642       0400  28     35.00
WA642       0400  29     44.00
WA642       0400  30     55.00
WA642       0500   1     50.00
WA642       0500   2     47.00
WA642       0500   3     38.00
WA642       0500   4     39.00
WA642       0500   5     35.00
WA642       0500   6     44.00
WA642       0500   7     50.00
WA642       0500   8     37.00
WA642       0500   9     35.00
WA642       0500  10     35.00
WA642       0500  11     40.00
WA642       0500  12     45.00
WA642       0500  13     50.00
WA642       0500  14     58.00
WA642       0500  15     53.00
WA642       0500  16     53.00
WA642       0500  17     43.00
WA642       0500  18     54.00
WA642       0500  19     51.00
WA642       0500  20     54.00
WA642       0500  21     57.00
WA642       0500  22     53.00
WA642       0500  23     55.00
WA642       0500  24     53.00
WA642       0500  25     50.00
WA642       0500  26     49.00
WA642       0500  27     47.00
WA642       0500  28     40.00
WA642       0500  29     45.00
WA642       0500  30     40.00
WA642       0500  31     43.00
WA642       0600   1     50.00
WA642       0600   2     54.00
WA642       0600   3     65.00
WA642       0600   4     68.00
WA642       0600   5     51.00
WA642       0600   6     45.00
WA642       0600   7     48.00
WA642       0600   8     44.00
WA642       0600   9     42.00
WA642       0600  10     39.00
WA642       0600  11     40.00
WA642       0600  12     45.00
WA642       0600  13     55.00
WA642       0600  14     50.00
WA642       0600  15     47.00
WA642       0600  16     62.00
WA642       0600  17     65.00
WA642       0600  18     54.00
WA642       0600  19     49.00
WA642       0600  20     61.00
WA642       0600  21     58.00
WA642       0600  22     56.00
WA642       0600  23     57.00
WA642       0600  24     52.00
WA642       0600  25     69.00
WA642       0600  26     70.00
WA642       0600  27     73.00
WA642       0600  28     70.00
WA642       0600  29     68.00
WA642       0600  30     53.00
WA642       0700   1     48.00
WA642       0700   2     41.00
WA642       0700   3     39.00
WA642       0700   4     49.00
WA642       0700   5     57.00
WA642       0700   6     53.00
WA642       0700   7     63.00
WA642       0700   8     57.00
WA642       0700   9     54.00
WA642       0700  10     60.00
WA642       0700  11     61.00
WA642       0700  12     68.00
WA642       0700  13     61.00
WA642       0700  14     47.00
WA642       0700  15     65.00
WA642       0700  16     73.00
WA642       0700  17     70.00
WA642       0700  18     65.00
WA642       0700  19     64.00
WA642       0700  20     70.00
WA642       0700  21     78.00
WA642       0700  22     56.00
WA642       0700  23     60.00
WA642       0700  24     69.00
WA642       0700  25     59.00
WA642       0700  26     62.00
WA642       0700  27     65.00
WA642       0700  28     66.00
WA642       0700  29     73.00
WA642       0700  30     78.00
WA642       0700  31     69.00
WA642       0800   1     65.00
WA642       0800   2     67.00
WA642       0800   3     73.00
WA642       0800   4     67.00
WA642       0800   5     69.00
WA642       0800   6     69.00
WA642       0800   7     70.00
WA642       0800   8     73.00
WA642       0800   9     71.00
WA642       0800  10     65.00
WA642       0800  11     55.00
WA642       0800  12     59.00
WA642       0800  13     54.00
WA642       0800  14     62.00
WA642       0800  15     57.00
WA642       0800  16     66.00
WA642       0800  17     62.00
WA642       0800  18     50.00
WA642       0800  19     43.00
WA642       0800  20     52.00
WA642       0800  21     63.00
WA642       0800  22     71.00
WA642       0800  23     78.00
WA642       0800  24     68.00
WA642       0800  25     59.00
WA642       0800  26     53.00
WA642       0800  27     51.00
WA642       0800  28     63.00
WA642       0800  29     55.00
WA642       0800  30     62.00
WA642       0800  31     45.00
WA642       0900   1     51.00
WA642       0900   2     46.00
WA642       0900   3     46.00
WA642       0900   4     47.00
WA642       0900   5     48.00
WA642       0900   6     49.00
WA642       0900   7     56.00
WA642       0900   8     45.00
WA642       0900   9     40.00
WA642       0900  10     48.00
WA642       0900  11     61.00
WA642       0900  12     64.00
WA642       0900  13     74.00
WA642       0900  14     78.00
WA642       0900  15     55.00
WA642       0900  16     62.00
WA642       0900  17     65.00
WA642       0900  18     55.00
WA642       0900  19     61.00
WA642       0900  20     54.00
WA642       0900  21     41.00
WA642       0900  22     42.00
WA642       0900  23     53.00
WA642       0900  24     57.00
WA642       0900  25     64.00
WA642       0900  26     67.00
WA642       0900  27     69.00
WA642       0900  28     60.00
WA642       0900  29     52.00
WA642       0900  30     49.00
WA642       1000   1     46.00
WA642       1000   2     41.00
WA642       1000   3     49.00
WA642       1000   4     54.00
WA642       1000   5     50.00
WA642       1000   6     54.00
WA642       1000   7     57.00
WA642       1000   8     61.00
WA642       1000   9     46.00
WA642       1000  10     39.00
WA642       1000  11     58.00
WA642       1000  12     53.00
WA642       1000  13     45.00
WA642       1000  14     42.00
WA642       1000  15     43.00
WA642       1000  16     49.00
WA642       1000  17     53.00
WA642       1000  18     42.00
WA642       1000  19     45.00
WA642       1000  20     44.00
WA642       1000  21     36.00
WA642       1000  22     44.00
WA642       1000  23     45.00
WA642       1000  24     51.00
WA642       1000  25     45.00
WA642       1000  26     41.00
WA642       1000  27     36.00
WA642       1000  28     34.00
WA642       1000  29     34.00
WA642       1000  30     40.00
WA642       1000  31     38.00
WA642       1100   1     42.00
WA642       1100   2     42.00
WA642       1100   3     48.00
WA642       1100   4     46.00
WA642       1100   5     31.00
WA642       1100   6     34.00
WA642       1100   7     35.00
WA642       1100   8     33.00
WA642       1100   9     25.00
WA642       1100  10     24.00
WA642       1100  11     26.00
WA642       1100  12     34.00
WA642       1100  13     21.00
WA642       1100  14     27.00
WA642       1100  15     30.00
WA642       1100  16     33.00
WA642       1100  17     27.00
WA642       1100  18     35.00
WA642       1100  19     29.00
WA642       1100  20     27.00
WA642       1100  21     29.00
WA642       1100  22     38.00
WA642       1100  23     40.00
WA642       1100  24     32.00
WA642       1100  25     32.00
WA642       1100  26     30.00
WA642       1100  27     31.00
WA642       1100  28     26.00
WA642       1100  29     29.00
WA642       1100  30     33.00
WA642       1200   1     30.00
WA642       1200   2     33.00
WA642       1200   3     29.00
WA642       1200   4     32.00
WA642       1200   5     33.00
WA642       1200   6     39.00
WA642       1200   7     33.00
WA642       1200   8     36.00
