$ Get data for 648:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:26:19 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA648           Mount Crag
01  2000 02   2016  1   f10.2
WA648       0100   1     30.00
WA648       0100   2     26.00
WA648       0100   3     33.00
WA648       0100   4     34.00
WA648       0100   5     29.00
WA648       0100   6     34.00
WA648       0100   7     35.00
WA648       0100   8     33.00
WA648       0100   9     30.00
WA648       0100  10     27.00
WA648       0100  11     24.00
WA648       0100  12     26.00
WA648       0100  13     28.00
WA648       0100  14     33.00
WA648       0100  15     28.00
WA648       0100  16     30.00
WA648       0100  17     29.00
WA648       0100  18     28.00
WA648       0100  19     34.00
WA648       0100  20     36.00
WA648       0100  21     36.00
WA648       0100  22     32.00
WA648       0100  23     32.00
WA648       0100  24     33.00
WA648       0100  25     36.00
WA648       0100  26     32.00
WA648       0100  27     31.00
WA648       0100  28     34.00
WA648       0100  29     31.00
WA648       0100  30     35.00
WA648       0100  31     32.00
WA648       0200   1     32.00
WA648       0200   2     33.00
WA648       0200   3     36.00
WA648       0200   4     33.00
WA648       0200   5     40.00
WA648       0200   6     38.00
WA648       0200   7     43.00
WA648       0200   8     35.00
WA648       0200   9     37.00
WA648       0200  10     33.00
WA648       0200  11     30.00
WA648       0200  12     32.00
WA648       0200  13     29.00
WA648       0200  14     32.00
WA648       0200  15     32.00
WA648       0200  16     31.00
WA648       0200  17     31.00
WA648       0200  18     30.00
WA648       0200  19     37.00
WA648       0200  20     44.00
WA648       0200  21     37.00
WA648       0200  22     36.00
WA648       0200  23     34.00
WA648       0200  24     34.00
WA648       0200  25     31.00
WA648       0200  26     40.00
WA648       0200  27     39.00
WA648       0200  28     35.00
WA648       0200  29     38.00
WA648       0300   1     31.00
WA648       0300   2     40.00
WA648       0300   3     34.00
WA648       0300   4     33.00
WA648       0300   5     35.00
WA648       0300   6     29.00
WA648       0300   7     37.00
WA648       0300   8     36.00
WA648       0300   9     36.00
WA648       0300  10     42.00
WA648       0300  11     41.00
WA648       0300  12     39.00
WA648       0300  13     41.00
WA648       0300  14     41.00
WA648       0300  15     41.00
WA648       0300  16     39.00
WA648       0300  17     40.00
WA648       0300  18     41.00
WA648       0300  19     36.00
WA648       0300  20     38.00
WA648       0300  21     43.00
WA648       0300  22     47.00
WA648       0300  23     38.00
WA648       0300  24     45.00
WA648       0300  25     33.00
WA648       0300  26     48.00
WA648       0300  27     40.00
WA648       0300  28     36.00
WA648       0300  29     34.00
WA648       0300  30     47.00
WA648       0300  31     53.00
WA648       0400   1     53.00
WA648       0400   2     60.00
WA648       0400   3     60.00
WA648       0400   4     37.00
WA648       0400   5     42.00
WA648       0400   6     37.00
WA648       0400   7     53.00
WA648       0400   8     60.00
WA648       0400   9     54.00
WA648       0400  10     57.00
WA648       0400  11     64.00
WA648       0400  12     58.00
WA648       0400  13     48.00
WA648       0400  14     41.00
WA648       0400  15     46.00
WA648       0400  16     43.00
WA648       0400  17     55.00
WA648       0400  18     54.00
WA648       0400  19     44.00
WA648       0400  20     54.00
WA648       0400  21     54.00
WA648       0400  22     44.00
WA648       0400  23     42.00
WA648       0400  24     45.00
WA648       0400  25     46.00
WA648       0400  26     51.00
WA648       0400  27     45.00
WA648       0400  28     45.00
WA648       0400  29     47.00
WA648       0400  30     56.00
WA648       0500   1     46.00
WA648       0500   2     49.00
WA648       0500   3     47.00
WA648       0500   4     46.00
WA648       0500   5     45.00
WA648       0500   6     43.00
WA648       0500   7     44.00
WA648       0500   8     41.00
WA648       0500   9     36.00
WA648       0500  10     38.00
WA648       0500  11     42.00
WA648       0500  12     46.00
WA648       0500  13     55.00
WA648       0500  14     60.00
WA648       0500  15     60.00
WA648       0500  16     59.00
WA648       0500  17     43.00
WA648       0500  18     48.00
WA648       0500  19     55.00
WA648       0500  20     56.00
WA648       0500  21     58.00
WA648       0500  22     50.00
WA648       0500  23     48.00
WA648       0500  24     52.00
WA648       0500  25     50.00
WA648       0500  26     44.00
WA648       0500  27     53.00
WA648       0500  28     45.00
WA648       0500  29     42.00
WA648       0500  30     42.00
WA648       0500  31     42.00
WA648       0600   1     56.00
WA648       0600   2     52.00
WA648       0600   3     68.00
WA648       0600   4     74.00
WA648       0600   5     53.00
WA648       0600   6     46.00
WA648       0600   7     45.00
WA648       0600   8     44.00
WA648       0600   9     42.00
WA648       0600  10     46.00
WA648       0600  11     42.00
WA648       0600  12     54.00
WA648       0600  13     53.00
WA648       0600  14     56.00
WA648       0600  15     49.00
WA648       0600  16     63.00
WA648       0600  17     68.00
WA648       0600  18     57.00
WA648       0600  19     49.00
WA648       0600  20     59.00
WA648       0600  21     51.00
WA648       0600  22     54.00
WA648       0600  23     54.00
WA648       0600  24     56.00
WA648       0600  25     68.00
WA648       0600  26     73.00
WA648       0600  27     78.00
WA648       0600  28     74.00
WA648       0600  29     65.00
WA648       0600  30     49.00
WA648       0700   1     44.00
WA648       0700   2     44.00
WA648       0700   3     50.00
WA648       0700   4     46.00
WA648       0700   5     53.00
WA648       0700   6     53.00
WA648       0700   7     60.00
WA648       0700   8     60.00
WA648       0700   9     49.00
WA648       0700  10     59.00
WA648       0700  11     50.00
WA648       0700  12     61.00
WA648       0700  13     59.00
WA648       0700  14     47.00
WA648       0700  15     62.00
WA648       0700  16     71.00
WA648       0700  17     69.00
WA648       0700  18     64.00
WA648       0700  19     63.00
WA648       0700  20     68.00
WA648       0700  21     76.00
WA648       0700  22     63.00
WA648       0700  23     51.00
WA648       0700  24     65.00
WA648       0700  25     58.00
WA648       0700  26     53.00
WA648       0700  27     61.00
WA648       0700  28     56.00
WA648       0700  29     67.00
WA648       0700  30     76.00
WA648       0700  31     69.00
WA648       0800   1     62.00
WA648       0800   2     65.00
WA648       0800   3     67.00
WA648       0800   4     71.00
WA648       0800   5     73.00
WA648       0800   6     70.00
WA648       0800   7     70.00
WA648       0800   8     70.00
WA648       0800   9     66.00
WA648       0800  10     56.00
WA648       0800  11     46.00
WA648       0800  12     51.00
WA648       0800  13     54.00
WA648       0800  14     59.00
WA648       0800  15     47.00
WA648       0800  16     62.00
WA648       0800  17     57.00
WA648       0800  18     50.00
WA648       0800  19     58.00
WA648       0800  20     50.00
WA648       0800  21     61.00
WA648       0800  22     69.00
WA648       0800  23     73.00
WA648       0800  24     66.00
WA648       0800  25     54.00
WA648       0800  26     48.00
WA648       0800  27     44.00
WA648       0800  28     61.00
WA648       0800  29     61.00
WA648       0800  30     61.00
WA648       0800  31     50.00
WA648       0900   1     53.00
WA648       0900   2     49.00
WA648       0900   3     52.00
WA648       0900   4     54.00
WA648       0900   5     51.00
WA648       0900   6     50.00
WA648       0900   7     53.00
WA648       0900   8     50.00
WA648       0900   9     51.00
WA648       0900  10     48.00
WA648       0900  11     61.00
WA648       0900  12     63.00
WA648       0900  13     68.00
WA648       0900  14     77.00
WA648       0900  15     58.00
WA648       0900  16     59.00
WA648       0900  17     64.00
WA648       0900  18     59.00
WA648       0900  19     61.00
WA648       0900  20     54.00
WA648       0900  21     51.00
WA648       0900  22     51.00
WA648       0900  23     57.00
WA648       0900  24     61.00
WA648       0900  25     62.00
WA648       0900  26     62.00
WA648       0900  27     66.00
WA648       0900  28     56.00
WA648       0900  29     57.00
WA648       0900  30     52.00
WA648       1000   1     46.00
WA648       1000   2     41.00
WA648       1000   3     40.00
WA648       1000   4     52.00
WA648       1000   5     54.00
WA648       1000   6     58.00
WA648       1000   7     60.00
WA648       1000   8     54.00
WA648       1000   9     46.00
WA648       1000  10     48.00
WA648       1000  11     53.00
WA648       1000  12     47.00
WA648       1000  13     47.00
WA648       1000  14     40.00
WA648       1000  15     43.00
WA648       1000  16     44.00
WA648       1000  17     47.00
WA648       1000  18     44.00
WA648       1000  19     45.00
WA648       1000  20     47.00
WA648       1000  21     37.00
WA648       1000  22     45.00
WA648       1000  23     52.00
WA648       1000  24     51.00
WA648       1000  25     52.00
WA648       1000  26     52.00
WA648       1000  27     43.00
WA648       1000  28     36.00
WA648       1000  29     37.00
WA648       1000  30     38.00
WA648       1000  31     40.00
WA648       1100   1     39.00
WA648       1100   2     41.00
WA648       1100   3     48.00
WA648       1100   4     44.00
WA648       1100   5     36.00
WA648       1100   6     35.00
WA648       1100   7     38.00
WA648       1100   8     32.00
WA648       1100   9     31.00
WA648       1100  10     29.00
WA648       1100  11     28.00
WA648       1100  12     32.00
WA648       1100  13     31.00
WA648       1100  14     26.00
WA648       1100  15     29.00
WA648       1100  16     28.00
WA648       1100  17     33.00
WA648       1100  18     39.00
WA648       1100  19     41.00
WA648       1100  20     46.00
WA648       1100  21     38.00
WA648       1100  22     42.00
WA648       1100  23     40.00
WA648       1100  24     35.00
WA648       1100  25     37.00
WA648       1100  26     32.00
WA648       1100  27     32.00
WA648       1100  28     31.00
WA648       1100  29     33.00
WA648       1100  30     34.00
WA648       1200   1     36.00
WA648       1200   2     35.00
WA648       1200   3     37.00
WA648       1200   4     43.00
WA648       1200   5     43.00
WA648       1200   6     44.00
WA648       1200   7     39.00
WA648       1200   8     36.00
WA648       1200   9     28.00
WA648       1200  10     25.00
WA648       1200  11     25.00
WA648       1200  12     27.00
WA648       1200  13     29.00
WA648       1200  14     32.00
WA648       1200  15     26.00
WA648       1200  16     36.00
WA648       1200  17     30.00
WA648       1200  18     35.00
WA648       1200  19     29.00
WA648       1200  20     32.00
WA648       1200  21     35.00
WA648       1200  22     35.00
WA648       1200  23     33.00
WA648       1200  24     32.00
WA648       1200  25     40.00
WA648       1200  26     42.00
WA648       1200  27     37.00
WA648       1200  28     42.00
WA648       1200  29     41.00
WA648       1200  30     43.00
WA648       1200  31     38.00
WA648       0101   1     41.00
WA648       0101   2     46.00
WA648       0101   3     47.00
WA648       0101   4     42.00
WA648       0101   5     39.00
WA648       0101   6     37.00
WA648       0101   7     41.00
WA648       0101   8   -999.00
WA648       0101   9     35.00
WA648       0101  10     34.00
WA648       0101  11     35.00
WA648       0101  12     34.00
WA648       0101  13     30.00
WA648       0101  14     29.00
WA648       0101  15     26.00
WA648       0101  16     33.00
WA648       0101  17     39.00
WA648       0101  18     40.00
WA648       0101  19     34.00
WA648       0101  20     35.00
WA648       0101  21     35.00
WA648       0101  22     34.00
WA648       0101  23     39.00
WA648       0101  24     33.00
WA648       0101  25     29.00
WA648       0101  26     28.00
WA648       0101  27     37.00
WA648       0101  28     43.00
WA648       0101  29     29.00
WA648       0101  30     34.00
WA648       0101  31     36.00
WA648       0201   1     39.00
WA648       0201   2     33.00
WA648       0201   3     32.00
WA648       0201   4     36.00
WA648       0201   5     30.00
WA648       0201   6     24.00
WA648       0201   7     27.00
WA648       0201   8     29.00
WA648       0201   9     30.00
WA648       0201  10     30.00
WA648       0201  11     26.00
WA648       0201  12     30.00
WA648       0201  13     32.00
WA648       0201  14     42.00
WA648       0201  15     28.00
WA648       0201  16     33.00
WA648       0201  17     37.00
WA648       0201  18     36.00
WA648       0201  19     32.00
WA648       0201  20     37.00
WA648       0201  21     41.00
WA648       0201  22     39.00
WA648       0201  23     33.00
WA648       0201  24     30.00
WA648       0201  25     32.00
WA648       0201  26     38.00
WA648       0201  27     46.00
WA648       0201  28     43.00
WA648       0301   1     34.00
WA648       0301   2     33.00
WA648       0301   3     33.00
WA648       0301   4     36.00
WA648       0301   5     48.00
WA648       0301   6     52.00
WA648       0301   7     53.00
WA648       0301   8     37.00
WA648       0301   9     37.00
WA648       0301  10     32.00
WA648       0301  11     40.00
WA648       0301  12     47.00
WA648       0301  13     37.00
WA648       0301  14     36.00
WA648       0301  15     35.00
WA648       0301  16     34.00
WA648       0301  17     43.00
WA648       0301  18     44.00
WA648       0301  19     39.00
WA648       0301  20     44.00
WA648       0301  21     44.00
WA648       0301  22     49.00
WA648       0301  23     58.00
WA648       0301  24     52.00
WA648       0301  25     43.00
WA648       0301  26     34.00
WA648       0301  27     33.00
WA648       0301  28     36.00
WA648       0301  29     37.00
WA648       0301  30     35.00
WA648       0301  31     45.00
WA648       0401   1     33.00
WA648       0401   2     36.00
WA648       0401   3     38.00
WA648       0401   4     47.00
WA648       0401   5     35.00
WA648       0401   6     33.00
WA648       0401   7     38.00
WA648       0401   8     36.00
WA648       0401   9     45.00
WA648       0401  10     32.00
WA648       0401  11     47.00
WA648       0401  12     35.00
WA648       0401  13     33.00
WA648       0401  14     39.00
WA648       0401  15     50.00
WA648       0401  16     53.00
WA648       0401  17     41.00
WA648       0401  18     47.00
WA648       0401  19     42.00
WA648       0401  20     50.00
WA648       0401  21     53.00
WA648       0401  22     37.00
WA648       0401  23     48.00
WA648       0401  24     60.00
