$ Get data for 692:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:30:46 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA692           Pigtail Peak
01  2000 02   2016  1   f10.2
WA692       0100   1     23.00
WA692       0100   2     19.00
WA692       0100   3     28.00
WA692       0100   4     29.00
WA692       0100   5     25.00
WA692       0100   6     31.00
WA692       0100   7     29.00
WA692       0100   8     29.00
WA692       0100   9     26.00
WA692       0100  10     23.00
WA692       0100  11   -999.00
WA692       0100  12     21.00
WA692       0100  13     25.00
WA692       0100  14     29.00
WA692       0100  15     20.00
WA692       0100  16     26.00
WA692       0100  17     31.00
WA692       0100  18     34.00
WA692       0100  19     29.00
WA692       0100  20     32.00
WA692       0100  21     27.00
WA692       0100  22     33.00
WA692       0100  23     23.00
WA692       0100  24     22.00
WA692       0100  25     32.00
WA692       0100  26     23.00
WA692       0100  27     32.00
WA692       0100  28     31.00
WA692       0100  29     24.00
WA692       0100  30     24.00
WA692       0100  31     32.00
WA692       0200   1     32.00
WA692       0200   2     30.00
WA692       0200   3     26.00
WA692       0200   4     36.00
WA692       0200   5     31.00
WA692       0200   6     36.00
WA692       0200   7     44.00
WA692       0200   8     37.00
WA692       0200   9     29.00
WA692       0200  10     36.00
WA692       0200  11     30.00
WA692       0200  12     28.00
WA692       0200  13     20.00
WA692       0200  14     30.00
WA692       0200  15     26.00
WA692       0200  16     34.00
WA692       0200  17     35.00
WA692       0200  18     38.00
WA692       0200  19     40.00
WA692       0200  20     29.00
WA692       0200  21     37.00
WA692       0200  22     34.00
WA692       0200  23     29.00
WA692       0200  24     27.00
WA692       0200  25     31.00
WA692       0200  26     30.00
WA692       0200  27     35.00
WA692       0200  28     29.00
WA692       0200  29     32.00
WA692       0300   1     35.00
WA692       0300   2     37.00
WA692       0300   3     39.00
WA692       0300   4     31.00
WA692       0300   5     31.00
WA692       0300   6     25.00
WA692       0300   7     32.00
WA692       0300   8     34.00
WA692       0300   9     36.00
WA692       0300  10     35.00
WA692       0300  11     29.00
WA692       0300  12     34.00
WA692       0300  13     51.00
WA692       0300  14     27.00
WA692       0300  15     41.00
WA692       0300  16     32.00
WA692       0300  17     26.00
WA692       0300  18     36.00
WA692       0300  19     28.00
WA692       0300  20     40.00
WA692       0300  21     45.00
WA692       0300  22     43.00
WA692       0300  23     30.00
WA692       0300  24     45.00
WA692       0300  25     42.00
WA692       0300  26     54.00
WA692       0300  27     36.00
WA692       0300  28     31.00
WA692       0300  29     38.00
WA692       0300  30     47.00
WA692       0300  31     55.00
WA692       0400   1     56.00
WA692       0400   2     61.00
WA692       0400   3     62.00
WA692       0400   4     38.00
WA692       0400   5     31.00
WA692       0400   6     30.00
WA692       0400   7     52.00
WA692       0400   8     55.00
WA692       0400   9     51.00
WA692       0400  10     59.00
WA692       0400  11     64.00
WA692       0400  12     57.00
WA692       0400  13     43.00
WA692       0400  14     34.00
WA692       0400  15     41.00
WA692       0400  16     45.00
WA692       0400  17     56.00
WA692       0400  18     51.00
WA692       0400  19     48.00
WA692       0400  20     53.00
WA692       0400  21     56.00
WA692       0400  22     36.00
WA692       0400  23     37.00
WA692       0400  24     46.00
WA692       0400  25     34.00
WA692       0400  26     45.00
WA692       0400  27     51.00
WA692       0400  28     32.00
WA692       0400  29     51.00
WA692       0400  30     59.00
WA692       0500   1     53.00
WA692       0500   2     49.00
WA692       0500   3     38.00
WA692       0500   4     44.00
WA692       0500   5     35.00
WA692       0500   6     46.00
WA692       0500   7     51.00
WA692       0500   8     42.00
WA692       0500   9     36.00
WA692       0500  10     38.00
WA692       0500  11     36.00
WA692       0500  12     46.00
WA692       0500  13     46.00
WA692       0500  14     58.00
WA692       0500  15     55.00
WA692       0500  16     55.00
WA692       0500  17     38.00
WA692       0500  18     56.00
WA692       0500  19     49.00
WA692       0500  20     56.00
WA692       0500  21     58.00
WA692       0500  22     53.00
WA692       0500  23     55.00
WA692       0500  24     53.00
WA692       0500  25     51.00
WA692       0500  26     45.00
WA692       0500  27     46.00
WA692       0500  28     44.00
WA692       0500  29     43.00
WA692       0500  30     37.00
WA692       0500  31     42.00
WA692       0600   1     48.00
WA692       0600   2     56.00
WA692       0600   3     64.00
WA692       0600   4     64.00
WA692       0600   5     51.00
WA692       0600   6     52.00
WA692       0600   7     53.00
WA692       0600   8     40.00
WA692       0600   9     44.00
WA692       0600  10     40.00
WA692       0600  11     39.00
WA692       0600  12     42.00
WA692       0600  13     51.00
WA692       0600  14     48.00
WA692       0600  15     47.00
WA692       0600  16     65.00
WA692       0600  17     67.00
WA692       0600  18     53.00
WA692       0600  19     49.00
