$ Get data for 734:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:34:04 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA734           Sasse Ridge
01  2000 02   2016  1   f10.2
WA734       0100   1     29.00
WA734       0100   2     26.00
WA734       0100   3     26.00
WA734       0100   4     32.00
WA734       0100   5     33.00
WA734       0100   6     36.00
WA734       0100   7     35.00
WA734       0100   8     32.00
WA734       0100   9     30.00
WA734       0100  10     26.00
WA734       0100  11     26.00
WA734       0100  12     26.00
WA734       0100  13     27.00
WA734       0100  14     30.00
WA734       0100  15     28.00
WA734       0100  16     29.00
WA734       0100  17     31.00
WA734       0100  18     35.00
WA734       0100  19     29.00
WA734       0100  20     33.00
WA734       0100  21     37.00
WA734       0100  22     37.00
WA734       0100  23     22.00
WA734       0100  24     27.00
WA734       0100  25     31.00
WA734       0100  26     34.00
WA734       0100  27     34.00
WA734       0100  28     33.00
WA734       0100  29     27.00
WA734       0100  30     21.00
WA734       0100  31     31.00
WA734       0200   1     32.00
WA734       0200   2     39.00
WA734       0200   3     37.00
WA734       0200   4     38.00
WA734       0200   5     34.00
WA734       0200   6     40.00
WA734       0200   7     38.00
WA734       0200   8     38.00
WA734       0200   9     36.00
WA734       0200  10     36.00
WA734       0200  11     40.00
WA734       0200  12     32.00
WA734       0200  13     31.00
WA734       0200  14     32.00
WA734       0200  15     36.00
WA734       0200  16     39.00
WA734       0200  17     39.00
WA734       0200  18     40.00
WA734       0200  19     28.00
WA734       0200  20     35.00
WA734       0200  21     39.00
WA734       0200  22     36.00
WA734       0200  23     44.00
WA734       0200  24     38.00
WA734       0200  25     37.00
WA734       0200  26     36.00
WA734       0200  27     48.00
WA734       0200  28     38.00
WA734       0200  29     36.00
WA734       0300   1     38.00
WA734       0300   2     46.00
WA734       0300   3     42.00
WA734       0300   4     37.00
WA734       0300   5     43.00
WA734       0300   6     40.00
WA734       0300   7     42.00
WA734       0300   8     36.00
WA734       0300   9     47.00
WA734       0300  10     44.00
WA734       0300  11     40.00
WA734       0300  12     43.00
WA734       0300  13     50.00
WA734       0300  14     36.00
WA734       0300  15     45.00
WA734       0300  16     40.00
WA734       0300  17     35.00
WA734       0300  18     35.00
WA734       0300  19     41.00
WA734       0300  20     49.00
WA734       0300  21     52.00
WA734       0300  22     43.00
WA734       0300  23     46.00
WA734       0300  24     48.00
WA734       0300  25     46.00
WA734       0300  26     53.00
WA734       0300  27     46.00
WA734       0300  28     44.00
WA734       0300  29     49.00
WA734       0300  30     55.00
WA734       0300  31     61.00
WA734       0400   1     59.00
WA734       0400   2     65.00
WA734       0400   3     67.00
WA734       0400   4     43.00
WA734       0400   5     45.00
WA734       0400   6     43.00
WA734       0400   7     56.00
WA734       0400   8     61.00
WA734       0400   9     61.00
WA734       0400  10     68.00
WA734       0400  11     64.00
WA734       0400  12     66.00
WA734       0400  13     58.00
WA734       0400  14     40.00
WA734       0400  15     47.00
WA734       0400  16     48.00
WA734       0400  17     62.00
WA734       0400  18     64.00
WA734       0400  19     59.00
WA734       0400  20     63.00
WA734       0400  21     62.00
WA734       0400  22     51.00
WA734       0400  23     45.00
WA734       0400  24     53.00
WA734       0400  25     49.00
WA734       0400  26     57.00
WA734       0400  27     52.00
WA734       0400  28     48.00
