$ Get data for 776:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:37:51 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA776           Spencer Meadow
01  2000 02   2016  1   f10.2
WA776       0100   1     31.00
WA776       0100   2     27.00
WA776       0100   3     33.00
WA776       0100   4     34.00
WA776       0100   5     31.00
WA776       0100   6     34.00
WA776       0100   7     35.00
WA776       0100   8     35.00
WA776       0100   9     32.00
WA776       0100  10     29.00
WA776       0100  11     30.00
WA776       0100  12     29.00
WA776       0100  13     31.00
WA776       0100  14     32.00
WA776       0100  15     29.00
WA776       0100  16     33.00
WA776       0100  17     40.00
WA776       0100  18     36.00
WA776       0100  19     33.00
WA776       0100  20     35.00
WA776       0100  21     36.00
WA776       0100  22     36.00
WA776       0100  23     32.00
WA776       0100  24     33.00
WA776       0100  25     35.00
WA776       0100  26     32.00
WA776       0100  27     38.00
WA776       0100  28     37.00
WA776       0100  29     34.00
WA776       0100  30     29.00
WA776       0100  31     36.00
WA776       0200   1     41.00
WA776       0200   2     38.00
WA776       0200   3     47.00
WA776       0200   4     38.00
WA776       0200   5     40.00
WA776       0200   6     42.00
WA776       0200   7     43.00
WA776       0200   8     40.00
WA776       0200   9     40.00
WA776       0200  10     40.00
WA776       0200  11     35.00
WA776       0200  12     34.00
WA776       0200  13     33.00
WA776       0200  14     35.00
WA776       0200  15     38.00
WA776       0200  16     43.00
WA776       0200  17     43.00
WA776       0200  18     45.00
WA776       0200  19     40.00
WA776       0200  20     39.00
WA776       0200  21     39.00
WA776       0200  22     37.00
WA776       0200  23     36.00
WA776       0200  24     36.00
WA776       0200  25     34.00
WA776       0200  26     34.00
WA776       0200  27     41.00
WA776       0200  28     34.00
WA776       0200  29     34.00
WA776       0300   1     40.00
WA776       0300   2     39.00
WA776       0300   3     42.00
WA776       0300   4     34.00
WA776       0300   5     36.00
WA776       0300   6     37.00
WA776       0300   7     41.00
WA776       0300   8     39.00
WA776       0300   9     44.00
WA776       0300  10     45.00
WA776       0300  11     36.00
WA776       0300  12     42.00
WA776       0300  13     47.00
WA776       0300  14     35.00
WA776       0300  15     42.00
WA776       0300  16     36.00
WA776       0300  17     32.00
WA776       0300  18     35.00
WA776       0300  19     33.00
WA776       0300  20     48.00
WA776       0300  21     52.00
WA776       0300  22     42.00
WA776       0300  23     41.00
WA776       0300  24     52.00
WA776       0300  25     44.00
WA776       0300  26     57.00
WA776       0300  27     36.00
WA776       0300  28     35.00
WA776       0300  29     43.00
WA776       0300  30     54.00
WA776       0300  31     58.00
WA776       0400   1     60.00
WA776       0400   2     65.00
WA776       0400   3     67.00
WA776       0400   4     41.00
WA776       0400   5     37.00
WA776       0400   6     37.00
WA776       0400   7     55.00
WA776       0400   8     63.00
WA776       0400   9     46.00
WA776       0400  10     62.00
WA776       0400  11     68.00
WA776       0400  12     62.00
WA776       0400  13     47.00
WA776       0400  14     41.00
WA776       0400  15     44.00
WA776       0400  16     50.00
WA776       0400  17     62.00
WA776       0400  18     53.00
WA776       0400  19     52.00
