$ Get data for 824:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:42:17 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA824           Touchet
01  2000 02   2016  1   f10.2
WA824       0100   1     26.00
WA824       0100   2     20.00
WA824       0100   3     23.00
WA824       0100   4     30.00
WA824       0100   5     24.00
WA824       0100   6     25.00
WA824       0100   7     30.00
WA824       0100   8     30.00
WA824       0100   9     29.00
WA824       0100  10     24.00
WA824       0100  11     24.00
WA824       0100  12     21.00
WA824       0100  13     31.00
WA824       0100  14     33.00
WA824       0100  15     31.00
WA824       0100  16     35.00
WA824       0100  17     35.00
WA824       0100  18     35.00
WA824       0100  19     39.00
WA824       0100  20     38.00
WA824       0100  21     30.00
WA824       0100  22     27.00
WA824       0100  23     31.00
WA824       0100  24     31.00
WA824       0100  25     34.00
WA824       0100  26     23.00
WA824       0100  27     27.00
WA824       0100  28     34.00
WA824       0100  29     35.00
WA824       0100  30     31.00
WA824       0100  31     35.00
WA824       0200   1     33.00
WA824       0200   2     36.00
WA824       0200   3     41.00
WA824       0200   4     38.00
WA824       0200   5     37.00
WA824       0200   6     43.00
WA824       0200   7     45.00
WA824       0200   8     44.00
WA824       0200   9     33.00
WA824       0200  10     41.00
WA824       0200  11     31.00
WA824       0200  12     32.00
WA824       0200  13     30.00
WA824       0200  14     33.00
WA824       0200  15     27.00
WA824       0200  16     44.00
WA824       0200  17     31.00
WA824       0200  18     34.00
WA824       0200  19     37.00
WA824       0200  20     43.00
WA824       0200  21     47.00
WA824       0200  22     34.00
WA824       0200  23     31.00
WA824       0200  24     28.00
WA824       0200  25     34.00
WA824       0200  26     33.00
WA824       0200  27     37.00
WA824       0200  28     30.00
WA824       0200  29     36.00
WA824       0300   1     45.00
WA824       0300   2     36.00
WA824       0300   3     44.00
WA824       0300   4     41.00
WA824       0300   5     32.00
WA824       0300   6     28.00
WA824       0300   7     39.00
WA824       0300   8     42.00
WA824       0300   9     36.00
WA824       0300  10     41.00
WA824       0300  11     30.00
WA824       0300  12     39.00
WA824       0300  13     47.00
WA824       0300  14     35.00
WA824       0300  15     40.00
WA824       0300  16     32.00
WA824       0300  17     27.00
WA824       0300  18     34.00
WA824       0300  19     24.00
WA824       0300  20     38.00
WA824       0300  21     47.00
WA824       0300  22     54.00
WA824       0300  23     31.00
WA824       0300  24     43.00
WA824       0300  25     46.00
WA824       0300  26     52.00
WA824       0300  27     51.00
WA824       0300  28     31.00
WA824       0300  29     33.00
WA824       0300  30     44.00
WA824       0300  31     50.00
WA824       0400   1     53.00
WA824       0400   2     54.00
WA824       0400   3     61.00
WA824       0400   4     50.00
WA824       0400   5     37.00
WA824       0400   6     29.00
WA824       0400   7     47.00
WA824       0400   8     60.00
WA824       0400   9     54.00
WA824       0400  10     56.00
WA824       0400  11     62.00
WA824       0400  12     59.00
WA824       0400  13     49.00
WA824       0400  14     36.00
WA824       0400  15     43.00
WA824       0400  16     47.00
WA824       0400  17     57.00
WA824       0400  18     58.00
WA824       0400  19     55.00
WA824       0400  20     55.00
WA824       0400  21     59.00
WA824       0400  22     42.00
WA824       0400  23     39.00
WA824       0400  24     44.00
WA824       0400  25     36.00
WA824       0400  26     51.00
WA824       0400  27     62.00
WA824       0400  28     39.00
WA824       0400  29     46.00
WA824       0400  30     63.00
WA824       0500   1     58.00
WA824       0500   2     51.00
WA824       0500   3     48.00
WA824       0500   4     44.00
WA824       0500   5     42.00
WA824       0500   6     46.00
WA824       0500   7     52.00
WA824       0500   8     52.00
WA824       0500   9     45.00
WA824       0500  10     37.00
WA824       0500  11     35.00
WA824       0500  12     48.00
WA824       0500  13     53.00
WA824       0500  14     60.00
WA824       0500  15     59.00
WA824       0500  16     60.00
WA824       0500  17     51.00
WA824       0500  18     57.00
WA824       0500  19     54.00
WA824       0500  20     62.00
WA824       0500  21     65.00
WA824       0500  22     60.00
WA824       0500  23     58.00
WA824       0500  24     58.00
WA824       0500  25     56.00
WA824       0500  26     54.00
WA824       0500  27     55.00
WA824       0500  28     49.00
WA824       0500  29     48.00
WA824       0500  30     43.00
WA824       0500  31     34.00
WA824       0600   1     59.00
WA824       0600   2     62.00
WA824       0600   3     63.00
WA824       0600   4     79.00
WA824       0600   5     64.00
WA824       0600   6     63.00
WA824       0600   7     66.00
WA824       0600   8     47.00
WA824       0600   9     49.00
WA824       0600  10     43.00
WA824       0600  11     44.00
WA824       0600  12     45.00
WA824       0600  13     60.00
