$ Get data for 832:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:42:59 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA832           Trough
01  2000 02   2016  1   f10.2
WA832       0100   1     25.00
WA832       0100   2     25.00
WA832       0100   3     27.00
WA832       0100   4     28.00
WA832       0100   5     32.00
WA832       0100   6     34.00
WA832       0100   7     32.00
WA832       0100   8     29.00
WA832       0100   9     25.00
WA832       0100  10     22.00
WA832       0100  11     20.00
WA832       0100  12     20.00
WA832       0100  13     24.00
WA832       0100  14     27.00
WA832       0100  15     25.00
WA832       0100  16     27.00
WA832       0100  17     33.00
WA832       0100  18     35.00
WA832       0100  19     28.00
WA832       0100  20     31.00
WA832       0100  21     30.00
WA832       0100  22     31.00
WA832       0100  23     28.00
WA832       0100  24     23.00
WA832       0100  25     31.00
WA832       0100  26     28.00
WA832       0100  27     34.00
WA832       0100  28     35.00
WA832       0100  29     28.00
WA832       0100  30     21.00
WA832       0100  31     33.00
WA832       0200   1     32.00
WA832       0200   2     36.00
WA832       0200   3     30.00
WA832       0200   4     33.00
WA832       0200   5     33.00
WA832       0200   6     40.00
WA832       0200   7     39.00
WA832       0200   8     35.00
WA832       0200   9     35.00
WA832       0200  10     32.00
WA832       0200  11     35.00
WA832       0200  12     26.00
WA832       0200  13     21.00
WA832       0200  14     30.00
WA832       0200  15     28.00
WA832       0200  16     32.00
WA832       0200  17     38.00
WA832       0200  18     35.00
WA832       0200  19     36.00
WA832       0200  20     35.00
WA832       0200  21     35.00
WA832       0200  22     32.00
WA832       0200  23     36.00
WA832       0200  24     34.00
WA832       0200  25     31.00
WA832       0200  26     36.00
WA832       0200  27     45.00
WA832       0200  28     31.00
WA832       0200  29     33.00
WA832       0300   1     31.00
WA832       0300   2     40.00
WA832       0300   3     38.00
WA832       0300   4     33.00
WA832       0300   5     30.00
WA832       0300   6     33.00
WA832       0300   7     35.00
WA832       0300   8     30.00
WA832       0300   9     43.00
WA832       0300  10     36.00
WA832       0300  11     34.00
WA832       0300  12     35.00
WA832       0300  13     40.00
WA832       0300  14     30.00
WA832       0300  15     36.00
WA832       0300  16     31.00
WA832       0300  17     30.00
WA832       0300  18     33.00
WA832       0300  19     32.00
WA832       0300  20     36.00
WA832       0300  21     53.00
WA832       0300  22     40.00
WA832       0300  23     37.00
WA832       0300  24     37.00
WA832       0300  25     44.00
WA832       0300  26     46.00
WA832       0300  27     45.00
WA832       0300  28     41.00
WA832       0300  29     42.00
WA832       0300  30     47.00
WA832       0300  31     52.00
WA832       0400   1     56.00
WA832       0400   2     57.00
WA832       0400   3     59.00
WA832       0400   4     43.00
WA832       0400   5     36.00
WA832       0400   6     33.00
WA832       0400   7     48.00
WA832       0400   8     53.00
WA832       0400   9     57.00
WA832       0400  10     58.00
WA832       0400  11     56.00
WA832       0400  12     57.00
WA832       0400  13     49.00
WA832       0400  14     39.00
WA832       0400  15     41.00
WA832       0400  16     38.00
WA832       0400  17     51.00
WA832       0400  18     54.00
WA832       0400  19     54.00
WA832       0400  20     55.00
WA832       0400  21     52.00
WA832       0400  22     40.00
WA832       0400  23     40.00
WA832       0400  24     40.00
WA832       0400  25     39.00
WA832       0400  26     44.00
WA832       0400  27     51.00
WA832       0400  28     38.00
WA832       0400  29     44.00
WA832       0400  30     55.00
WA832       0500   1     52.00
WA832       0500   2     49.00
WA832       0500   3     40.00
WA832       0500   4     39.00
WA832       0500   5     39.00
WA832       0500   6     42.00
WA832       0500   7     47.00
WA832       0500   8     44.00
WA832       0500   9     41.00
WA832       0500  10     34.00
WA832       0500  11     40.00
WA832       0500  12     44.00
WA832       0500  13     50.00
WA832       0500  14     54.00
WA832       0500  15     56.00
WA832       0500  16     61.00
WA832       0500  17     53.00
WA832       0500  18     56.00
WA832       0500  19     54.00
WA832       0500  20     59.00
WA832       0500  21     59.00
WA832       0500  22     56.00
WA832       0500  23     59.00
WA832       0500  24     60.00
WA832       0500  25     53.00
WA832       0500  26     54.00
WA832       0500  27     51.00
WA832       0500  28     48.00
WA832       0500  29     46.00
WA832       0500  30     43.00
WA832       0500  31     42.00
WA832       0600   1     48.00
WA832       0600   2     57.00
WA832       0600   3     61.00
WA832       0600   4     65.00
WA832       0600   5     63.00
WA832       0600   6     50.00
WA832       0600   7     53.00
WA832       0600   8     51.00
WA832       0600   9     48.00
