$ Get data for 899:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:41:54 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA899           Tinkham Creek
01  2000 02   2016  1   f10.2
WA899       0100   1     32.00
WA899       0100   2     29.00
WA899       0100   3     28.00
WA899       0100   4     34.00
WA899       0100   5     32.00
WA899       0100   6     34.00
WA899       0100   7     35.00
WA899       0100   8     34.00
WA899       0100   9     34.00
WA899       0100  10     28.00
WA899       0100  11     29.00
WA899       0100  12     31.00
WA899       0100  13     31.00
WA899       0100  14     35.00
WA899       0100  15     30.00
WA899       0100  16     35.00
WA899       0100  17     36.00
WA899       0100  18     36.00
WA899       0100  19     30.00
WA899       0100  20     31.00
WA899       0100  21     33.00
WA899       0100  22     36.00
WA899       0100  23     29.00
WA899       0100  24     34.00
WA899       0100  25     35.00
WA899       0100  26     34.00
WA899       0100  27     37.00
WA899       0100  28     33.00
WA899       0100  29     30.00
WA899       0100  30     29.00
WA899       0100  31     34.00
WA899       0200   1     35.00
WA899       0200   2     39.00
WA899       0200   3     39.00
WA899       0200   4     45.00
WA899       0200   5     39.00
WA899       0200   6     39.00
WA899       0200   7     39.00
WA899       0200   8     39.00
WA899       0200   9     40.00
WA899       0200  10     40.00
WA899       0200  11     39.00
WA899       0200  12     34.00
WA899       0200  13     33.00
WA899       0200  14     37.00
WA899       0200  15     37.00
WA899       0200  16     40.00
WA899       0200  17     43.00
WA899       0200  18     43.00
WA899       0200  19     34.00
WA899       0200  20     40.00
WA899       0200  21     39.00
WA899       0200  22     37.00
WA899       0200  23     39.00
WA899       0200  24     39.00
WA899       0200  25     37.00
WA899       0200  26     37.00
WA899       0200  27     47.00
WA899       0200  28     37.00
WA899       0200  29     41.00
WA899       0300   1     38.00
WA899       0300   2     41.00
WA899       0300   3     43.00
WA899       0300   4     35.00
WA899       0300   5     35.00
WA899       0300   6     36.00
WA899       0300   7     42.00
WA899       0300   8     38.00
WA899       0300   9     46.00
WA899       0300  10     42.00
WA899       0300  11     40.00
WA899       0300  12     42.00
WA899       0300  13     47.00
WA899       0300  14     35.00
WA899       0300  15     45.00
WA899       0300  16     37.00
WA899       0300  17     34.00
WA899       0300  18     39.00
WA899       0300  19     37.00
WA899       0300  20     46.00
WA899       0300  21     45.00
WA899       0300  22     41.00
WA899       0300  23     42.00
WA899       0300  24     47.00
WA899       0300  25     42.00
WA899       0300  26     57.00
WA899       0300  27     43.00
WA899       0300  28     36.00
WA899       0300  29     43.00
WA899       0300  30     55.00
WA899       0300  31     58.00
WA899       0400   1     58.00
WA899       0400   2     69.00
WA899       0400   3     67.00
WA899       0400   4     38.00
WA899       0400   5     41.00
WA899       0400   6     36.00
WA899       0400   7     54.00
WA899       0400   8     63.00
WA899       0400   9     53.00
WA899       0400  10     64.00
WA899       0400  11     71.00
WA899       0400  12     67.00
WA899       0400  13     53.00
WA899       0400  14     44.00
WA899       0400  15     49.00
WA899       0400  16     51.00
WA899       0400  17     66.00
WA899       0400  18     61.00
WA899       0400  19     60.00
WA899       0400  20     63.00
WA899       0400  21     62.00
WA899       0400  22     43.00
WA899       0400  23     44.00
WA899       0400  24     51.00
WA899       0400  25     49.00
WA899       0400  26     54.00
WA899       0400  27     59.00
WA899       0400  28     45.00
WA899       0400  29     55.00
WA899       0400  30     63.00
WA899       0500   1     56.00
WA899       0500   2     58.00
WA899       0500   3     48.00
WA899       0500   4     48.00
WA899       0500   5     47.00
WA899       0500   6     52.00
WA899       0500   7     60.00
WA899       0500   8     52.00
WA899       0500   9     47.00
WA899       0500  10     45.00
WA899       0500  11     48.00
WA899       0500  12     57.00
WA899       0500  13     59.00
WA899       0500  14     65.00
WA899       0500  15     65.00
WA899       0500  16     63.00
WA899       0500  17     42.00
WA899       0500  18     61.00
WA899       0500  19     56.00
WA899       0500  20     61.00
WA899       0500  21     63.00
WA899       0500  22     59.00
WA899       0500  23     64.00
WA899       0500  24     60.00
WA899       0500  25     58.00
WA899       0500  26     58.00
WA899       0500  27     54.00
WA899       0500  28     50.00
WA899       0500  29     47.00
WA899       0500  30     40.00
WA899       0500  31     43.00
WA899       0600   1     59.00
WA899       0600   2     60.00
WA899       0600   3     74.00
WA899       0600   4     77.00
WA899       0600   5     61.00
WA899       0600   6     58.00
WA899       0600   7     55.00
WA899       0600   8     47.00
WA899       0600   9     52.00
WA899       0600  10     47.00
WA899       0600  11     47.00
WA899       0600  12     48.00
WA899       0600  13     53.00
WA899       0600  14     56.00
WA899       0600  15     54.00
WA899       0600  16     70.00
WA899       0600  17     77.00
WA899       0600  18     53.00
WA899       0600  19     50.00
