$ Get data for 910:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:50:53 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA910           Elbow Lake
01  2000 02   2016  1   f10.2
WA910       0100   1     31.00
WA910       0100   2     28.00
WA910       0100   3     33.00
WA910       0100   4     34.00
WA910       0100   5     32.00
WA910       0100   6     30.00
WA910       0100   7     34.00
WA910       0100   8     32.00
WA910       0100   9     30.00
WA910       0100  10     28.00
WA910       0100  11     29.00
WA910       0100  12     27.00
WA910       0100  13     32.00
WA910       0100  14     33.00
WA910       0100  15     38.00
WA910       0100  16     34.00
WA910       0100  17     42.00
WA910       0100  18     41.00
WA910       0100  19     49.00
WA910       0100  20     38.00
WA910       0100  21     34.00
WA910       0100  22     37.00
WA910       0100  23     49.00
WA910       0100  24     49.00
WA910       0100  25     38.00
WA910       0100  26     32.00
WA910       0100  27     37.00
WA910       0100  28     55.00
WA910       0100  29     56.00
WA910       0100  30     57.00
WA910       0100  31     39.00
WA910       0200   1     36.00
WA910       0200   2     46.00
WA910       0200   3     54.00
WA910       0200   4     53.00
WA910       0200   5     50.00
WA910       0200   6     44.00
WA910       0200   7     54.00
WA910       0200   8     38.00
WA910       0200   9     44.00
WA910       0200  10     48.00
WA910       0200  11     36.00
WA910       0200  12     37.00
WA910       0200  13     44.00
WA910       0200  14     34.00
WA910       0200  15     36.00
WA910       0200  16     48.00
WA910       0200  17     44.00
WA910       0200  18     46.00
WA910       0200  19     55.00
WA910       0200  20     58.00
WA910       0200  21     39.00
WA910       0200  22     40.00
WA910       0200  23     42.00
WA910       0200  24     38.00
WA910       0200  25     40.00
WA910       0200  26     45.00
WA910       0200  27     40.00
WA910       0200  28     34.00
WA910       0200  29     46.00
WA910       0300   1     40.00
WA910       0300   2     37.00
WA910       0300   3     35.00
WA910       0300   4     37.00
WA910       0300   5     47.00
WA910       0300   6     41.00
WA910       0300   7     45.00
WA910       0300   8     40.00
WA910       0300   9     38.00
WA910       0300  10     47.00
WA910       0300  11     40.00
WA910       0300  12     39.00
WA910       0300  13     46.00
WA910       0300  14     46.00
WA910       0300  15     49.00
WA910       0300  16     42.00
WA910       0300  17     33.00
WA910       0300  18     34.00
WA910       0300  19     41.00
WA910       0300  20     45.00
WA910       0300  21     46.00
WA910       0300  22     39.00
WA910       0300  23     38.00
WA910       0300  24     53.00
WA910       0300  25     39.00
WA910       0300  26     57.00
WA910       0300  27     39.00
WA910       0300  28     39.00
WA910       0300  29     46.00
WA910       0300  30     52.00
WA910       0300  31     56.00
WA910       0400   1     59.00
WA910       0400   2     65.00
WA910       0400   3     66.00
WA910       0400   4     44.00
WA910       0400   5     37.00
WA910       0400   6     43.00
WA910       0400   7     57.00
WA910       0400   8     69.00
WA910       0400   9     58.00
WA910       0400  10     60.00
WA910       0400  11     66.00
WA910       0400  12     65.00
WA910       0400  13     47.00
WA910       0400  14     40.00
WA910       0400  15     49.00
WA910       0400  16     52.00
WA910       0400  17     62.00
WA910       0400  18     61.00
WA910       0400  19     57.00
WA910       0400  20     61.00
WA910       0400  21     59.00
WA910       0400  22     49.00
WA910       0400  23     38.00
WA910       0400  24     51.00
WA910       0400  25     44.00
WA910       0400  26     56.00
WA910       0400  27     53.00
WA910       0400  28     43.00
WA910       0400  29     53.00
WA910       0400  30     60.00
WA910       0500   1     54.00
WA910       0500   2     55.00
WA910       0500   3     43.00
WA910       0500   4     51.00
WA910       0500   5     43.00
WA910       0500   6     49.00
WA910       0500   7     57.00
WA910       0500   8     48.00
WA910       0500   9     38.00
WA910       0500  10     37.00
WA910       0500  11     35.00
WA910       0500  12     55.00
WA910       0500  13     66.00
WA910       0500  14     68.00
WA910       0500  15     69.00
WA910       0500  16     66.00
WA910       0500  17     47.00
WA910       0500  18     60.00
WA910       0500  19     51.00
WA910       0500  20     56.00
WA910       0500  21     55.00
WA910       0500  22     56.00
WA910       0500  23     60.00
WA910       0500  24     60.00
WA910       0500  25     58.00
WA910       0500  26     46.00
WA910       0500  27     52.00
WA910       0500  28     49.00
WA910       0500  29     55.00
WA910       0500  30     44.00
WA910       0500  31     44.00
WA910       0600   1     62.00
WA910       0600   2     56.00
WA910       0600   3     75.00
WA910       0600   4     82.00
WA910       0600   5     57.00
WA910       0600   6     51.00
WA910       0600   7     54.00
WA910       0600   8     49.00
WA910       0600   9     52.00
WA910       0600  10     46.00
WA910       0600  11     46.00
WA910       0600  12     50.00
WA910       0600  13     48.00
WA910       0600  14     52.00
WA910       0600  15     56.00
WA910       0600  16     71.00
WA910       0600  17     75.00
WA910       0600  18     54.00
WA910       0600  19     56.00
WA910       0600  20     68.00
WA910       0600  21     65.00
WA910       0600  22     65.00
WA910       0600  23     65.00
WA910       0600  24     63.00
WA910       0600  25     75.00
WA910       0600  26     82.00
WA910       0600  27     85.00
WA910       0600  28     81.00
WA910       0600  29     73.00
WA910       0600  30     56.00
WA910       0700   1     51.00
WA910       0700   2     52.00
WA910       0700   3     49.00
WA910       0700   4     51.00
WA910       0700   5     58.00
WA910       0700   6     64.00
WA910       0700   7     69.00
WA910       0700   8     68.00
WA910       0700   9     54.00
WA910       0700  10     63.00
WA910       0700  11     69.00
WA910       0700  12     72.00
WA910       0700  13     68.00
WA910       0700  14     59.00
WA910       0700  15     72.00
WA910       0700  16     80.00
WA910       0700  17     79.00
WA910       0700  18     70.00
WA910       0700  19     68.00
WA910       0700  20     75.00
WA910       0700  21     84.00
WA910       0700  22     68.00
WA910       0700  23     61.00
WA910       0700  24     73.00
WA910       0700  25     67.00
WA910       0700  26     69.00
WA910       0700  27     58.00
WA910       0700  28     57.00
WA910       0700  29     78.00
WA910       0700  30     81.00
WA910       0700  31     77.00
WA910       0800   1     73.00
WA910       0800   2     75.00
WA910       0800   3     77.00
WA910       0800   4     79.00
WA910       0800   5     80.00
WA910       0800   6     76.00
WA910       0800   7     74.00
WA910       0800   8     77.00
WA910       0800   9     76.00
WA910       0800  10     71.00
WA910       0800  11     58.00
WA910       0800  12     68.00
WA910       0800  13     65.00
WA910       0800  14     68.00
WA910       0800  15     65.00
WA910       0800  16     71.00
WA910       0800  17     69.00
WA910       0800  18     53.00
WA910       0800  19     52.00
WA910       0800  20     58.00
WA910       0800  21     69.00
WA910       0800  22     78.00
WA910       0800  23     82.00
WA910       0800  24     74.00
WA910       0800  25     63.00
WA910       0800  26     58.00
WA910       0800  27     55.00
WA910       0800  28     67.00
WA910       0800  29     53.00
WA910       0800  30     67.00
WA910       0800  31     51.00
WA910       0900   1     57.00
WA910       0900   2     55.00
WA910       0900   3     57.00
WA910       0900   4     56.00
WA910       0900   5     51.00
WA910       0900   6     59.00
WA910       0900   7     59.00
WA910       0900   8     49.00
WA910       0900   9     45.00
WA910       0900  10     58.00
WA910       0900  11     64.00
WA910       0900  12     63.00
WA910       0900  13     78.00
WA910       0900  14     89.00
WA910       0900  15     66.00
WA910       0900  16     64.00
WA910       0900  17     62.00
WA910       0900  18     55.00
WA910       0900  19     68.00
WA910       0900  20     53.00
WA910       0900  21     59.00
WA910       0900  22     60.00
WA910       0900  23     63.00
WA910       0900  24     69.00
WA910       0900  25     70.00
WA910       0900  26     74.00
WA910       0900  27     77.00
WA910       0900  28     61.00
WA910       0900  29     52.00
WA910       0900  30     58.00
WA910       1000   1     54.00
WA910       1000   2     47.00
WA910       1000   3     53.00
WA910       1000   4     59.00
WA910       1000   5     64.00
WA910       1000   6     70.00
WA910       1000   7     73.00
WA910       1000   8     64.00
WA910       1000   9     54.00
WA910       1000  10     51.00
WA910       1000  11     58.00
WA910       1000  12     48.00
WA910       1000  13     48.00
WA910       1000  14     49.00
WA910       1000  15     49.00
WA910       1000  16     44.00
WA910       1000  17     55.00
WA910       1000  18     46.00
