$ Get data for 911:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:33:05 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA911           Rex River
01  2000 02   2016  1   f10.2
WA911       0100   1     29.00
WA911       0100   2     26.00
WA911       0100   3     33.00
WA911       0100   4     35.00
WA911       0100   5     29.00
WA911       0100   6     36.00
WA911       0100   7     36.00
WA911       0100   8     34.00
WA911       0100   9     32.00
WA911       0100  10     26.00
WA911       0100  11     24.00
WA911       0100  12     28.00
WA911       0100  13     30.00
WA911       0100  14     35.00
WA911       0100  15     27.00
WA911       0100  16     35.00
WA911       0100  17     37.00
WA911       0100  18     44.00
WA911       0100  19     29.00
WA911       0100  20     39.00
WA911       0100  21     41.00
WA911       0100  22     39.00
WA911       0100  23     31.00
WA911       0100  24     34.00
WA911       0100  25     34.00
WA911       0100  26     28.00
WA911       0100  27     43.00
WA911       0100  28     38.00
WA911       0100  29     35.00
WA911       0100  30     31.00
WA911       0100  31     42.00
WA911       0200   1     36.00
WA911       0200   2     38.00
WA911       0200   3     39.00
WA911       0200   4     47.00
WA911       0200   5     38.00
WA911       0200   6     44.00
WA911       0200   7     42.00
WA911       0200   8     39.00
WA911       0200   9     44.00
WA911       0200  10     40.00
WA911       0200  11     38.00
WA911       0200  12     31.00
WA911       0200  13     31.00
WA911       0200  14     35.00
WA911       0200  15     36.00
WA911       0200  16     40.00
WA911       0200  17     47.00
WA911       0200  18     45.00
WA911       0200  19     34.00
WA911       0200  20     43.00
WA911       0200  21     40.00
WA911       0200  22     37.00
WA911       0200  23     41.00
WA911       0200  24     38.00
WA911       0200  25     33.00
WA911       0200  26     36.00
WA911       0200  27     50.00
WA911       0200  28     34.00
WA911       0200  29     40.00
WA911       0300   1     35.00
WA911       0300   2     39.00
WA911       0300   3     40.00
WA911       0300   4     32.00
WA911       0300   5     30.00
WA911       0300   6     34.00
WA911       0300   7     39.00
WA911       0300   8     37.00
WA911       0300   9     46.00
WA911       0300  10     40.00
WA911       0300  11     41.00
WA911       0300  12     41.00
WA911       0300  13     46.00
WA911       0300  14     32.00
WA911       0300  15     39.00
WA911       0300  16     34.00
WA911       0300  17     33.00
WA911       0300  18     38.00
WA911       0300  19     33.00
WA911       0300  20     45.00
WA911       0300  21     44.00
WA911       0300  22     45.00
WA911       0300  23     38.00
WA911       0300  24     43.00
WA911       0300  25     40.00
WA911       0300  26     57.00
WA911       0300  27     41.00
WA911       0300  28     32.00
WA911       0300  29     41.00
WA911       0300  30     49.00
WA911       0300  31     56.00
WA911       0400   1     53.00
WA911       0400   2     67.00
WA911       0400   3     65.00
WA911       0400   4     40.00
WA911       0400   5     35.00
WA911       0400   6     32.00
WA911       0400   7     50.00
WA911       0400   8     63.00
WA911       0400   9     48.00
WA911       0400  10     59.00
WA911       0400  11     69.00
WA911       0400  12     60.00
WA911       0400  13     53.00
WA911       0400  14     41.00
WA911       0400  15     45.00
WA911       0400  16     48.00
WA911       0400  17     58.00
WA911       0400  18     55.00
WA911       0400  19     53.00
WA911       0400  20     59.00
WA911       0400  21     62.00
WA911       0400  22     38.00
