$ Get data for 912:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:36:44 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA912           Skookum Creek
01  2000 02   2016  1   f10.2
WA912       0100   1     30.00
WA912       0100   2     27.00
WA912       0100   3     35.00
WA912       0100   4     36.00
WA912       0100   5     31.00
WA912       0100   6     38.00
WA912       0100   7     33.00
WA912       0100   8     35.00
WA912       0100   9     32.00
WA912       0100  10     28.00
WA912       0100  11     27.00
WA912       0100  12     28.00
WA912       0100  13     33.00
WA912       0100  14     33.00
WA912       0100  15     32.00
WA912       0100  16     36.00
WA912       0100  17     32.00
WA912       0100  18     35.00
WA912       0100  19     38.00
WA912       0100  20     39.00
WA912       0100  21     34.00
WA912       0100  22     38.00
WA912       0100  23     39.00
WA912       0100  24     38.00
WA912       0100  25     38.00
WA912       0100  26     31.00
WA912       0100  27     36.00
WA912       0100  28     47.00
WA912       0100  29     44.00
WA912       0100  30     40.00
WA912       0100  31     40.00
WA912       0200   1     38.00
WA912       0200   2     39.00
WA912       0200   3     47.00
WA912       0200   4     43.00
WA912       0200   5     44.00
WA912       0200   6     49.00
WA912       0200   7     53.00
WA912       0200   8     40.00
WA912       0200   9     40.00
WA912       0200  10     47.00
WA912       0200  11     35.00
WA912       0200  12     35.00
WA912       0200  13     37.00
WA912       0200  14     37.00
WA912       0200  15     35.00
WA912       0200  16     47.00
WA912       0200  17     44.00
WA912       0200  18     46.00
WA912       0200  19     47.00
WA912       0200  20     50.00
WA912       0200  21     39.00
WA912       0200  22     42.00
WA912       0200  23     40.00
WA912       0200  24     41.00
WA912       0200  25     42.00
WA912       0200  26     45.00
WA912       0200  27     43.00
WA912       0200  28     35.00
WA912       0200  29     48.00
WA912       0300   1     45.00
WA912       0300   2     37.00
WA912       0300   3     40.00
WA912       0300   4     36.00
WA912       0300   5     43.00
WA912       0300   6     36.00
WA912       0300   7     46.00
WA912       0300   8     43.00
WA912       0300   9     53.00
WA912       0300  10     49.00
WA912       0300  11     36.00
WA912       0300  12     43.00
WA912       0300  13     52.00
WA912       0300  14     34.00
WA912       0300  15     51.00
WA912       0300  16     35.00
