$ Get data for 943:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:49:36 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA943           Dungeness
01  2000 02   2016  1   f10.2
WA943       0100   1     37.00
WA943       0100   2     26.00
WA943       0100   3     36.00
WA943       0100   4     36.00
WA943       0100   5     32.00
WA943       0100   6     35.00
WA943       0100   7     37.00
WA943       0100   8     35.00
WA943       0100   9     32.00
WA943       0100  10     27.00
WA943       0100  11     29.00
WA943       0100  12     27.00
WA943       0100  13     28.00
WA943       0100  14     32.00
WA943       0100  15     32.00
WA943       0100  16     32.00
WA943       0100  17     31.00
WA943       0100  18     31.00
WA943       0100  19     36.00
WA943       0100  20     35.00
WA943       0100  21     33.00
WA943       0100  22     34.00
WA943       0100  23     37.00
WA943       0100  24     33.00
WA943       0100  25     37.00
WA943       0100  26     42.00
WA943       0100  27     43.00
WA943       0100  28     50.00
WA943       0100  29     50.00
WA943       0100  30     41.00
WA943       0100  31     35.00
WA943       0200   1     35.00
WA943       0200   2     33.00
WA943       0200   3     43.00
WA943       0200   4     47.00
WA943       0200   5     46.00
WA943       0200   6     45.00
WA943       0200   7     47.00
WA943       0200   8     41.00
WA943       0200   9     43.00
WA943       0200  10     42.00
WA943       0200  11     36.00
WA943       0200  12     33.00
WA943       0200  13     39.00
WA943       0200  14     30.00
WA943       0200  15     33.00
WA943       0200  16     38.00
WA943       0200  17     47.00
WA943       0200  18     44.00
WA943       0200  19     56.00
WA943       0200  20     53.00
WA943       0200  21     47.00
WA943       0200  22     40.00
WA943       0200  23     42.00
WA943       0200  24     40.00
WA943       0200  25     35.00
WA943       0200  26     39.00
WA943       0200  27     46.00
WA943       0200  28     45.00
WA943       0200  29     39.00
WA943       0300   1     39.00
WA943       0300   2     41.00
WA943       0300   3     42.00
WA943       0300   4     36.00
WA943       0300   5     39.00
WA943       0300   6     34.00
WA943       0300   7     41.00
WA943       0300   8     35.00
WA943       0300   9     38.00
WA943       0300  10     39.00
WA943       0300  11     44.00
WA943       0300  12     40.00
WA943       0300  13     47.00
WA943       0300  14   -999.00
WA943       0300  15     44.00
WA943       0300  16     42.00
WA943       0300  17     42.00
WA943       0300  18     49.00
WA943       0300  19     34.00
WA943       0300  20     44.00
WA943       0300  21     48.00
WA943       0300  22     48.00
WA943       0300  23     39.00
WA943       0300  24     41.00
WA943       0300  25     36.00
WA943       0300  26     50.00
WA943       0300  27     45.00
WA943       0300  28     34.00
WA943       0300  29     42.00
WA943       0300  30     48.00
WA943       0300  31     57.00
WA943       0400   1     57.00
WA943       0400   2     64.00
WA943       0400   3     62.00
WA943       0400   4     43.00
WA943       0400   5     38.00
WA943       0400   6     38.00
WA943       0400   7     51.00
WA943       0400   8     59.00
WA943       0400   9     54.00
WA943       0400  10     56.00
WA943       0400  11     62.00
WA943       0400  12     60.00
WA943       0400  13     50.00
WA943       0400  14     43.00
WA943       0400  15     44.00
WA943       0400  16     41.00
WA943       0400  17     53.00
WA943       0400  18     55.00
WA943       0400  19     46.00
WA943       0400  20     48.00
WA943       0400  21     53.00
WA943       0400  22     40.00
WA943       0400  23     41.00
WA943       0400  24     42.00
WA943       0400  25     46.00
WA943       0400  26     47.00
WA943       0400  27     47.00
WA943       0400  28     42.00
WA943       0400  29     43.00
WA943       0400  30     53.00
WA943       0500   1     48.00
WA943       0500   2     54.00
WA943       0500   3     47.00
WA943       0500   4     45.00
WA943       0500   5     40.00
WA943       0500   6     36.00
WA943       0500   7     44.00
WA943       0500   8     41.00
WA943       0500   9     35.00
WA943       0500  10     38.00
WA943       0500  11     42.00
WA943       0500  12     41.00
WA943       0500  13     51.00
WA943       0500  14     58.00
WA943       0500  15     57.00
WA943       0500  16     60.00
WA943       0500  17     46.00
WA943       0500  18     53.00
WA943       0500  19     53.00
WA943       0500  20     52.00
WA943       0500  21     57.00
WA943       0500  22     49.00
WA943       0500  23     52.00
WA943       0500  24     51.00
WA943       0500  25     49.00
WA943       0500  26     58.00
WA943       0500  27     51.00
WA943       0500  28     46.00
WA943       0500  29     42.00
WA943       0500  30     46.00
WA943       0500  31     46.00
WA943       0600   1     54.00
WA943       0600   2     56.00
WA943       0600   3     70.00
WA943       0600   4     73.00
WA943       0600   5     59.00
WA943       0600   6     51.00
WA943       0600   7     45.00
WA943       0600   8     45.00
WA943       0600   9     51.00
WA943       0600  10     45.00
WA943       0600  11     42.00
WA943       0600  12     53.00
WA943       0600  13     55.00
WA943       0600  14     59.00
WA943       0600  15     57.00
