$ Get data for 975:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:40:12 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA975           Swamp Creek
01  2000 02   2016  1   f10.2
WA975       0100   1     36.00
WA975       0100   2     30.00
WA975       0100   3     28.00
WA975       0100   4     33.00
WA975       0100   5     33.00
WA975       0100   6     33.00
WA975       0100   7     40.00
WA975       0100   8     33.00
WA975       0100   9     31.00
WA975       0100  10     26.00
WA975       0100  11     29.00
WA975       0100  12     28.00
WA975       0100  13     32.00
WA975       0100  14     32.00
WA975       0100  15     32.00
WA975       0100  16     33.00
WA975       0100  17     42.00
WA975       0100  18     40.00
WA975       0100  19     30.00
WA975       0100  20     42.00
WA975       0100  21     33.00
WA975       0100  22     43.00
WA975       0100  23     37.00
WA975       0100  24     36.00
WA975       0100  25     38.00
WA975       0100  26     34.00
WA975       0100  27     44.00
WA975       0100  28     37.00
WA975       0100  29     32.00
WA975       0100  30     38.00
WA975       0100  31     38.00
WA975       0200   1   5513.00
WA975       0200   2     45.00
WA975       0200   3     40.00
WA975       0200   4     43.00
WA975       0200   5     38.00
WA975       0200   6     44.00
WA975       0200   7     44.00
WA975       0200   8     39.00
WA975       0200   9     38.00
WA975       0200  10     41.00
WA975       0200  11     39.00
WA975       0200  12     36.00
WA975       0200  13     36.00
WA975       0200  14     35.00
WA975       0200  15     33.00
WA975       0200  16     46.00
WA975       0200  17     43.00
WA975       0200  18     44.00
WA975       0200  19     36.00
WA975       0200  20     44.00
WA975       0200  21     38.00
WA975       0200  22     40.00
WA975       0200  23     41.00
WA975       0200  24     40.00
WA975       0200  25     36.00
WA975       0200  26     39.00
WA975       0200  27     47.00
WA975       0200  28     40.00
WA975       0200  29     40.00
WA975       0300   1     41.00
WA975       0300   2     44.00
WA975       0300   3     40.00
WA975       0300   4     37.00
WA975       0300   5     41.00
WA975       0300   6     38.00
WA975       0300   7     39.00
WA975       0300   8     40.00
WA975       0300   9     48.00
WA975       0300  10     44.00
WA975       0300  11     38.00
WA975       0300  12     41.00
WA975       0300  13     45.00
WA975       0300  14   -999.00
WA975       0300  15     45.00
WA975       0300  16     36.00
WA975       0300  17     36.00
WA975       0300  18     38.00
WA975       0300  19     36.00
WA975       0300  20     44.00
WA975       0300  21     50.00
WA975       0300  22     43.00
WA975       0300  23     40.00
WA975       0300  24     46.00
WA975       0300  25     39.00
WA975       0300  26     50.00
WA975       0300  27     46.00
WA975       0300  28     39.00
WA975       0300  29     49.00
WA975       0300  30     50.00
WA975       0300  31     54.00
WA975       0400   1     55.00
WA975       0400   2     65.00
WA975       0400   3     65.00
WA975       0400   4     39.00
WA975       0400   5     42.00
WA975       0400   6     40.00
WA975       0400   7     51.00
WA975       0400   8     63.00
