$ Get data for 376:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:46:09 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA376           Bunchgrass Mdw
01  2000 02   2016  1   f10.2
WA376       0100   1     15.00
WA376       0100   2      1.00
WA376       0100   3      2.00
WA376       0100   4     18.00
WA376       0100   5     16.00
WA376       0100   6     14.00
WA376       0100   7     20.00
WA376       0100   8     21.00
WA376       0100   9     15.00
WA376       0100  10      0.00
WA376       0100  11     14.00
WA376       0100  12     16.00
WA376       0100  13     18.00
WA376       0100  14     22.00
WA376       0100  15     13.00
WA376       0100  16     18.00
WA376       0100  17      3.00
WA376       0100  18     -4.00
WA376       0100  19     -5.00
WA376       0100  20      1.00
WA376       0100  21     20.00
WA376       0100  22     17.00
WA376       0100  23      3.00
WA376       0100  24     -3.00
WA376       0100  25     10.00
WA376       0100  26     21.00
WA376       0100  27     14.00
WA376       0100  28     17.00
WA376       0100  29      1.00
WA376       0100  30     -5.00
WA376       0100  31      4.00
WA376       0200   1     22.00
WA376       0200   2     15.00
WA376       0200   3     13.00
WA376       0200   4     16.00
WA376       0200   5     19.00
WA376       0200   6     22.00
WA376       0200   7     22.00
WA376       0200   8     31.00
WA376       0200   9     15.00
WA376       0200  10      5.00
WA376       0200  11     -1.00
WA376       0200  12     15.00
WA376       0200  13      5.00
WA376       0200  14      6.00
WA376       0200  15     20.00
WA376       0200  16     -3.00
WA376       0200  17    -10.00
WA376       0200  18      5.00
WA376       0200  19     -1.00
WA376       0200  20     -3.00
WA376       0200  21     26.00
WA376       0200  22     31.00
WA376       0200  23     25.00
WA376       0200  24     13.00
WA376       0200  25      6.00
WA376       0200  26     22.00
WA376       0200  27     26.00
WA376       0200  28     24.00
WA376       0200  29     23.00
WA376       0300   1     26.00
WA376       0300   2     26.00
WA376       0300   3     28.00
WA376       0300   4     29.00
WA376       0300   5     28.00
WA376       0300   6     24.00
WA376       0300   7     11.00
WA376       0300   8      8.00
WA376       0300   9     19.00
WA376       0300  10     26.00
WA376       0300  11     24.00
WA376       0300  12     18.00
WA376       0300  13     15.00
WA376       0300  14     17.00
WA376       0300  15      6.00
WA376       0300  16     24.00
WA376       0300  17     21.00
WA376       0300  18     25.00
WA376       0300  19     13.00
WA376       0300  20      4.00
WA376       0300  21     15.00
WA376       0300  22     13.00
WA376       0300  23     14.00
WA376       0300  24      9.00
WA376       0300  25     14.00
WA376       0300  26     13.00
WA376       0300  27     18.00
WA376       0300  28     22.00
WA376       0300  29     15.00
WA376       0300  30      3.00
WA376       0300  31      9.00
WA376       0400   1     28.00
WA376       0400   2     24.00
WA376       0400   3     22.00
WA376       0400   4     26.00
WA376       0400   5     19.00
WA376       0400   6     15.00
WA376       0400   7      6.00
WA376       0400   8     13.00
WA376       0400   9     20.00
WA376       0400  10     24.00
WA376       0400  11     25.00
WA376       0400  12     29.00
WA376       0400  13     31.00
WA376       0400  14     22.00
WA376       0400  15     31.00
WA376       0400  16     31.00
WA376       0400  17     26.00
WA376       0400  18     22.00
WA376       0400  19     24.00
WA376       0400  20     24.00
WA376       0400  21     25.00
WA376       0400  22     29.00
WA376       0400  23     27.00
WA376       0400  24     17.00
WA376       0400  25     17.00
WA376       0400  26     18.00
WA376       0400  27     24.00
WA376       0400  28     28.00
WA376       0400  29     22.00
WA376       0400  30     28.00
WA376       0500   1     27.00
WA376       0500   2     35.00
WA376       0500   3     29.00
WA376       0500   4     26.00
WA376       0500   5     22.00
WA376       0500   6     19.00
WA376       0500   7     14.00
WA376       0500   8     17.00
WA376       0500   9     30.00
WA376       0500  10     25.00
WA376       0500  11     26.00
WA376       0500  12     25.00
WA376       0500  13     21.00
WA376       0500  14     26.00
WA376       0500  15     25.00
WA376       0500  16     26.00
WA376       0500  17     29.00
WA376       0500  18     29.00
WA376       0500  19     32.00
WA376       0500  20     29.00
WA376       0500  21     37.00
WA376       0500  22     33.00
WA376       0500  23     27.00
WA376       0500  24     25.00
WA376       0500  25     28.00
WA376       0500  26     33.00
WA376       0500  27     33.00
WA376       0500  28     29.00
WA376       0500  29     26.00
WA376       0500  30     25.00
WA376       0500  31     28.00
WA376       0600   1     24.00
WA376       0600   2     29.00
WA376       0600   3     33.00
WA376       0600   4     29.00
WA376       0600   5     37.00
WA376       0600   6     36.00
WA376       0600   7     37.00
WA376       0600   8     35.00
WA376       0600   9     33.00
WA376       0600  10     29.00
WA376       0600  11     30.00
WA376       0600  12     34.00
WA376       0600  13     33.00
WA376       0600  14     40.00
WA376       0600  15     37.00
WA376       0600  16     31.00
WA376       0600  17     31.00
WA376       0600  18     38.00
WA376       0600  19     35.00
WA376       0600  20     34.00
WA376       0600  21     37.00
WA376       0600  22     32.00
WA376       0600  23     35.00
WA376       0600  24     35.00
WA376       0600  25     31.00
WA376       0600  26     35.00
WA376       0600  27     38.00
WA376       0600  28     40.00
WA376       0600  29     39.00
WA376       0600  30     40.00
WA376       0700   1     44.00
WA376       0700   2     33.00
WA376       0700   3     31.00
WA376       0700   4     33.00
WA376       0700   5     30.00
WA376       0700   6     34.00
WA376       0700   7     35.00
WA376       0700   8     36.00
WA376       0700   9     38.00
WA376       0700  10     33.00
WA376       0700  11     37.00
WA376       0700  12     37.00
WA376       0700  13     41.00
WA376       0700  14     43.00
WA376       0700  15     38.00
WA376       0700  16     32.00
WA376       0700  17     36.00
WA376       0700  18     38.00
WA376       0700  19     39.00
WA376       0700  20     39.00
WA376       0700  21     40.00
WA376       0700  22     42.00
WA376       0700  23     42.00
WA376       0700  24     38.00
WA376       0700  25     38.00
WA376       0700  26     37.00
WA376       0700  27     41.00
WA376       0700  28     40.00
WA376       0700  29     42.00
WA376       0700  30     43.00
WA376       0700  31     47.00
WA376       0800   1     44.00
WA376       0800   2     43.00
WA376       0800   3     39.00
WA376       0800   4     44.00
WA376       0800   5     43.00
WA376       0800   6     48.00
WA376       0800   7     42.00
WA376       0800   8     41.00
WA376       0800   9     40.00
WA376       0800  10     45.00
WA376       0800  11     35.00
WA376       0800  12     30.00
WA376       0800  13     32.00
WA376       0800  14     31.00
WA376       0800  15     30.00
WA376       0800  16     30.00
WA376       0800  17     30.00
WA376       0800  18     31.00
WA376       0800  19     35.00
WA376       0800  20     27.00
WA376       0800  21     29.00
WA376       0800  22     30.00
WA376       0800  23     33.00
WA376       0800  24     40.00
WA376       0800  25     36.00
WA376       0800  26     38.00
WA376       0800  27     32.00
WA376       0800  28     25.00
WA376       0800  29     29.00
WA376       0800  30     30.00
WA376       0800  31     29.00
WA376       0900   1     40.00
WA376       0900   2     38.00
WA376       0900   3     28.00
WA376       0900   4     28.00
WA376       0900   5     29.00
WA376       0900   6     40.00
WA376       0900   7     29.00
WA376       0900   8     32.00
WA376       0900   9     31.00
WA376       0900  10     30.00
WA376       0900  11     28.00
WA376       0900  12     31.00
WA376       0900  13     34.00
WA376       0900  14     35.00
