$ Get data for 420:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:48:51 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA420           Cougar Mountain
01  2000 02   2016  1   f10.2
WA420       0100   1     28.00
WA420       0100   2     24.00
WA420       0100   3     24.00
WA420       0100   4     30.00
WA420       0100   5     23.00
WA420       0100   6     23.00
WA420       0100   7     32.00
WA420       0100   8     26.00
WA420       0100   9     24.00
WA420       0100  10     24.00
WA420       0100  11     23.00
WA420       0100  12     22.00
WA420       0100  13     26.00
WA420       0100  14     26.00
WA420       0100  15     23.00
WA420       0100  16     25.00
WA420       0100  17     25.00
WA420       0100  18     24.00
WA420       0100  19     26.00
WA420       0100  20     24.00
WA420       0100  21     25.00
WA420       0100  22     29.00
WA420       0100  23     26.00
WA420       0100  24     28.00
WA420       0100  25     29.00
WA420       0100  26     28.00
WA420       0100  27     26.00
WA420       0100  28     25.00
WA420       0100  29     24.00
WA420       0100  30     22.00
WA420       0100  31     25.00
WA420       0200   1     31.00
WA420       0200   2     31.00
WA420       0200   3     36.00
WA420       0200   4     35.00
WA420       0200   5     33.00
WA420       0200   6     33.00
WA420       0200   7     34.00
WA420       0200   8     31.00
WA420       0200   9     27.00
WA420       0200  10     28.00
WA420       0200  11     29.00
WA420       0200  12     26.00
WA420       0200  13     22.00
WA420       0200  14     27.00
WA420       0200  15     28.00
WA420       0200  16     26.00
WA420       0200  17     23.00
WA420       0200  18     25.00
WA420       0200  19     28.00
WA420       0200  20     33.00
WA420       0200  21     32.00
WA420       0200  22     30.00
WA420       0200  23     29.00
WA420       0200  24     25.00
WA420       0200  25     24.00
WA420       0200  26     30.00
WA420       0200  27     32.00
WA420       0200  28     31.00
WA420       0200  29     31.00
WA420       0300   1     29.00
WA420       0300   2     32.00
WA420       0300   3     31.00
WA420       0300   4     26.00
WA420       0300   5     27.00
WA420       0300   6     24.00
WA420       0300   7     22.00
WA420       0300   8     31.00
WA420       0300   9     28.00
WA420       0300  10     28.00
WA420       0300  11     29.00
WA420       0300  12     26.00
WA420       0300  13     32.00
WA420       0300  14     29.00
WA420       0300  15     24.00
WA420       0300  16     29.00
WA420       0300  17     28.00
WA420       0300  18     28.00
WA420       0300  19     26.00
WA420       0300  20     23.00
WA420       0300  21     31.00
WA420       0300  22     28.00
WA420       0300  23     28.00
WA420       0300  24     27.00
WA420       0300  25     29.00
WA420       0300  26     27.00
WA420       0300  27     30.00
WA420       0300  28     28.00
WA420       0300  29     27.00
WA420       0300  30     27.00
WA420       0300  31     30.00
WA420       0400   1     36.00
WA420       0400   2     35.00
WA420       0400   3     39.00
WA420       0400   4     29.00
WA420       0400   5     29.00
WA420       0400   6     28.00
WA420       0400   7     27.00
WA420       0400   8     36.00
WA420       0400   9     34.00
WA420       0400  10     31.00
WA420       0400  11     37.00
WA420       0400  12     39.00
WA420       0400  13     36.00
WA420       0400  14     35.00
WA420       0400  15     33.00
WA420       0400  16     33.00
WA420       0400  17     34.00
WA420       0400  18     34.00
WA420       0400  19     32.00
WA420       0400  20     35.00
WA420       0400  21     38.00
WA420       0400  22     32.00
WA420       0400  23     29.00
WA420       0400  24     26.00
WA420       0400  25     32.00
WA420       0400  26     31.00
WA420       0400  27     31.00
WA420       0400  28     28.00
WA420       0400  29     31.00
WA420       0400  30     39.00
WA420       0500   1     38.00
WA420       0500   2     40.00
WA420       0500   3     32.00
WA420       0500   4     31.00
WA420       0500   5     31.00
WA420       0500   6     31.00
WA420       0500   7     30.00
WA420       0500   8     36.00
WA420       0500   9     32.00
WA420       0500  10     29.00
WA420       0500  11     31.00
WA420       0500  12     30.00
WA420       0500  13     43.00
WA420       0500  14     45.00
WA420       0500  15     43.00
WA420       0500  16     37.00
WA420       0500  17     34.00
WA420       0500  18     38.00
WA420       0500  19     45.00
WA420       0500  20     41.00
WA420       0500  21     45.00
WA420       0500  22     40.00
WA420       0500  23     35.00
WA420       0500  24     34.00
WA420       0500  25     33.00
WA420       0500  26     39.00
WA420       0500  27     38.00
WA420       0500  28     38.00
WA420       0500  29     38.00
WA420       0500  30     35.00
WA420       0500  31     37.00
WA420       0600   1     37.00
WA420       0600   2     40.00
WA420       0600   3     39.00
WA420       0600   4     52.00
WA420       0600   5     42.00
WA420       0600   6     41.00
WA420       0600   7     45.00
WA420       0600   8     39.00
WA420       0600   9     36.00
WA420       0600  10     35.00
WA420       0600  11     35.00
WA420       0600  12     42.00
WA420       0600  13     42.00
WA420       0600  14     43.00
WA420       0600  15     39.00
WA420       0600  16     38.00
WA420       0600  17     45.00
WA420       0600  18     40.00
WA420       0600  19     39.00
WA420       0600  20     40.00
WA420       0600  21     45.00
WA420       0600  22     40.00
WA420       0600  23     40.00
WA420       0600  24     41.00
WA420       0600  25     43.00
WA420       0600  26     51.00
WA420       0600  27     56.00
WA420       0600  28     54.00
WA420       0600  29     49.00
WA420       0600  30     47.00
WA420       0700   1     42.00
WA420       0700   2     39.00
WA420       0700   3     38.00
WA420       0700   4     40.00
WA420       0700   5     39.00
WA420       0700   6     41.00
WA420       0700   7     44.00
WA420       0700   8     46.00
WA420       0700   9     44.00
WA420       0700  10     44.00
WA420       0700  11     46.00
WA420       0700  12     46.00
WA420       0700  13     46.00
WA420       0700  14     38.00
WA420       0700  15     38.00
WA420       0700  16     49.00
WA420       0700  17     50.00
WA420       0700  18     46.00
WA420       0700  19     44.00
WA420       0700  20     49.00
WA420       0700  21     52.00
WA420       0700  22     47.00
WA420       0700  23     46.00
WA420       0700  24     46.00
WA420       0700  25     49.00
WA420       0700  26     46.00
WA420       0700  27     47.00
WA420       0700  28     50.00
WA420       0700  29     53.00
WA420       0700  30     55.00
WA420       0700  31     55.00
WA420       0800   1     47.00
WA420       0800   2     46.00
WA420       0800   3     46.00
WA420       0800   4     49.00
WA420       0800   5     52.00
WA420       0800   6     50.00
WA420       0800   7     49.00
WA420       0800   8     49.00
WA420       0800   9     48.00
WA420       0800  10     44.00
WA420       0800  11     42.00
WA420       0800  12     40.00
WA420       0800  13     41.00
WA420       0800  14     40.00
WA420       0800  15     42.00
WA420       0800  16     42.00
WA420       0800  17     43.00
WA420       0800  18     43.00
WA420       0800  19     45.00
WA420       0800  20     44.00
WA420       0800  21     43.00
WA420       0800  22     48.00
WA420       0800  23     53.00
WA420       0800  24     51.00
WA420       0800  25     49.00
WA420       0800  26     44.00
WA420       0800  27     39.00
WA420       0800  28     38.00
WA420       0800  29     44.00
WA420       0800  30     48.00
WA420       0800  31     40.00
WA420       0900   1     39.00
WA420       0900   2     38.00
WA420       0900   3     37.00
WA420       0900   4     39.00
WA420       0900   5     40.00
WA420       0900   6     43.00
WA420       0900   7     41.00
WA420       0900   8     41.00
WA420       0900   9     41.00
WA420       0900  10     44.00
WA420       0900  11     41.00
WA420       0900  12     42.00
WA420       0900  13     47.00
WA420       0900  14     53.00
WA420       0900  15     51.00
WA420       0900  16     48.00
WA420       0900  17     50.00
WA420       0900  18     53.00
WA420       0900  19     47.00
WA420       0900  20     46.00
WA420       0900  21     40.00
WA420       0900  22     35.00
WA420       0900  23     38.00
WA420       0900  24     51.00
WA420       0900  25     46.00
WA420       0900  26     46.00
WA420       0900  27     46.00
WA420       0900  28     44.00
WA420       0900  29     46.00
WA420       0900  30     49.00
WA420       1000   1     39.00
WA420       1000   2     34.00
WA420       1000   3     33.00
WA420       1000   4     32.00
WA420       1000   5     43.00
WA420       1000   6     47.00
WA420       1000   7     44.00
WA420       1000   8     44.00
WA420       1000   9     44.00
WA420       1000  10     40.00
WA420       1000  11     40.00
WA420       1000  12     39.00
WA420       1000  13     40.00
WA420       1000  14     33.00
WA420       1000  15     30.00
WA420       1000  16     38.00
WA420       1000  17     40.00
WA420       1000  18     36.00
WA420       1000  19     35.00
WA420       1000  20     32.00
WA420       1000  21     31.00
WA420       1000  22     31.00
WA420       1000  23     42.00
WA420       1000  24     40.00
WA420       1000  25     42.00
WA420       1000  26     39.00
WA420       1000  27     39.00
WA420       1000  28     35.00
WA420       1000  29     35.00
WA420       1000  30     33.00
WA420       1000  31     31.00
WA420       1100   1     30.00
WA420       1100   2     35.00
WA420       1100   3     36.00
WA420       1100   4     33.00
WA420       1100   5     32.00
WA420       1100   6     33.00
WA420       1100   7     31.00
WA420       1100   8     29.00
WA420       1100   9     25.00
WA420       1100  10     22.00
WA420       1100  11     18.00
WA420       1100  12     21.00
WA420       1100  13     25.00
WA420       1100  14     23.00
WA420       1100  15     22.00
WA420       1100  16     22.00
WA420       1100  17     22.00
WA420       1100  18     26.00
WA420       1100  19     33.00
WA420       1100  20     32.00
WA420       1100  21     31.00
WA420       1100  22     29.00
WA420       1100  23     29.00
WA420       1100  24     32.00
WA420       1100  25     29.00
WA420       1100  26     31.00
WA420       1100  27     27.00
WA420       1100  28     26.00
WA420       1100  29     28.00
WA420       1100  30     32.00
WA420       1200   1     35.00
WA420       1200   2     29.00
WA420       1200   3     28.00
WA420       1200   4     34.00
WA420       1200   5     38.00
WA420       1200   6     36.00
WA420       1200   7     32.00
WA420       1200   8     28.00
WA420       1200   9     27.00
WA420       1200  10     16.00
WA420       1200  11     17.00
WA420       1200  12     15.00
WA420       1200  13     14.00
WA420       1200  14     21.00
WA420       1200  15     21.00
WA420       1200  16     19.00
WA420       1200  17     25.00
WA420       1200  18     24.00
WA420       1200  19     25.00
WA420       1200  20     25.00
WA420       1200  21     26.00
WA420       1200  22     26.00
WA420       1200  23     29.00
WA420       1200  24     30.00
WA420       1200  25     31.00
WA420       1200  26     33.00
WA420       1200  27     29.00
WA420       1200  28     36.00
WA420       1200  29     33.00
WA420       1200  30     33.00
WA420       1200  31     30.00
WA420       0101   1     30.00
WA420       0101   2     31.00
WA420       0101   3     33.00
WA420       0101   4     36.00
WA420       0101   5     31.00
WA420       0101   6     26.00
WA420       0101   7     34.00
WA420       0101   8     31.00
WA420       0101   9     28.00
WA420       0101  10     30.00
WA420       0101  11     32.00
WA420       0101  12     30.00
WA420       0101  13     27.00
WA420       0101  14     27.00
WA420       0101  15     21.00
WA420       0101  16     20.00
WA420       0101  17     24.00
WA420       0101  18     33.00
WA420       0101  19     28.00
WA420       0101  20     30.00
WA420       0101  21     28.00
WA420       0101  22     31.00
WA420       0101  23     31.00
WA420       0101  24     30.00
WA420       0101  25     26.00
WA420       0101  26     29.00
WA420       0101  27     27.00
WA420       0101  28     22.00
WA420       0101  29     22.00
WA420       0101  30     28.00
WA420       0101  31     31.00
WA420       0201   1     31.00
WA420       0201   2     30.00
WA420       0201   3     29.00
WA420       0201   4     31.00
WA420       0201   5     26.00
WA420       0201   6     17.00
WA420       0201   7     15.00
WA420       0201   8     21.00
WA420       0201   9     22.00
WA420       0201  10     21.00
WA420       0201  11     25.00
WA420       0201  12     22.00
WA420       0201  13     25.00
WA420       0201  14     28.00
WA420       0201  15     22.00
WA420       0201  16     21.00
WA420       0201  17     25.00
WA420       0201  18     28.00
WA420       0201  19     30.00
WA420       0201  20     33.00
WA420       0201  21     29.00
WA420       0201  22     29.00
WA420       0201  23     30.00
WA420       0201  24     26.00
WA420       0201  25     23.00
WA420       0201  26     22.00
WA420       0201  27     30.00
WA420       0201  28     27.00
WA420       0301   1     28.00
WA420       0301   2     25.00
WA420       0301   3     21.00
WA420       0301   4     27.00
WA420       0301   5     35.00
WA420       0301   6     44.00
