$ Get data for 507:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:53:53 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA507           Grouse Camp
01  2000 02   2016  1   f10.2
WA507       0100   1     19.00
WA507       0100   2     12.00
WA507       0100   3     15.00
WA507       0100   4     22.00
WA507       0100   5     17.00
WA507       0100   6     18.00
WA507       0100   7     25.00
WA507       0100   8     19.00
WA507       0100   9     15.00
WA507       0100  10     15.00
WA507       0100  11     13.00
WA507       0100  12     11.00
WA507       0100  13     20.00
WA507       0100  14     18.00
WA507       0100  15     16.00
WA507       0100  16     17.00
WA507       0100  17     13.00
WA507       0100  18     11.00
WA507       0100  19      8.00
WA507       0100  20     21.00
WA507       0100  21     16.00
WA507       0100  22     16.00
WA507       0100  23     16.00
WA507       0100  24     20.00
WA507       0100  25     20.00
WA507       0100  26     16.00
WA507       0100  27     14.00
WA507       0100  28     11.00
WA507       0100  29     10.00
WA507       0100  30     11.00
WA507       0100  31     19.00
WA507       0200   1     23.00
WA507       0200   2     22.00
WA507       0200   3     22.00
WA507       0200   4     16.00
WA507       0200   5     17.00
WA507       0200   6     26.00
WA507       0200   7     30.00
WA507       0200   8     22.00
WA507       0200   9     14.00
WA507       0200  10     12.00
WA507       0200  11     19.00
WA507       0200  12     14.00
WA507       0200  13     10.00
WA507       0200  14     19.00
WA507       0200  15     16.00
WA507       0200  16     12.00
WA507       0200  17     10.00
WA507       0200  18     11.00
WA507       0200  19     11.00
WA507       0200  20     17.00
WA507       0200  21     29.00
WA507       0200  22     23.00
WA507       0200  23     15.00
WA507       0200  24     11.00
WA507       0200  25     10.00
WA507       0200  26     21.00
WA507       0200  27     26.00
WA507       0200  28     24.00
WA507       0200  29     25.00
WA507       0300   1     17.00
WA507       0300   2     23.00
WA507       0300   3     22.00
WA507       0300   4     22.00
WA507       0300   5     21.00
WA507       0300   6     12.00
WA507       0300   7      8.00
WA507       0300   8     22.00
WA507       0300   9     18.00
WA507       0300  10     15.00
WA507       0300  11     18.00
WA507       0300  12     18.00
WA507       0300  13     21.00
WA507       0300  14     18.00
WA507       0300  15     13.00
WA507       0300  16     21.00
WA507       0300  17     19.00
WA507       0300  18     20.00
WA507       0300  19     17.00
WA507       0300  20     11.00
WA507       0300  21     25.00
WA507       0300  22     22.00
WA507       0300  23     19.00
WA507       0300  24     16.00
WA507       0300  25     22.00
WA507       0300  26     20.00
WA507       0300  27     23.00
WA507       0300  28     20.00
WA507       0300  29     19.00
WA507       0300  30     19.00
WA507       0300  31     28.00
WA507       0400   1     38.00
WA507       0400   2     34.00
WA507       0400   3     33.00
WA507       0400   4     19.00
WA507       0400   5     19.00
WA507       0400   6     20.00
WA507       0400   7     15.00
WA507       0400   8     29.00
WA507       0400   9     34.00
WA507       0400  10     31.00
WA507       0400  11     33.00
WA507       0400  12     42.00
WA507       0400  13     31.00
WA507       0400  14     31.00
WA507       0400  15     27.00
WA507       0400  16     27.00
WA507       0400  17     28.00
WA507       0400  18     33.00
WA507       0400  19     33.00
WA507       0400  20     33.00
WA507       0400  21     31.00
WA507       0400  22     27.00
WA507       0400  23     18.00
WA507       0400  24     16.00
WA507       0400  25     23.00
WA507       0400  26     18.00
WA507       0400  27     28.00
WA507       0400  28     23.00
WA507       0400  29     20.00
WA507       0400  30     29.00
WA507       0500   1     34.00
WA507       0500   2     33.00
WA507       0500   3     28.00
WA507       0500   4     26.00
WA507       0500   5     24.00
WA507       0500   6     20.00
WA507       0500   7     23.00
WA507       0500   8     29.00
WA507       0500   9     27.00
WA507       0500  10     23.00
WA507       0500  11     24.00
WA507       0500  12     23.00
WA507       0500  13     28.00
WA507       0500  14     37.00
WA507       0500  15     35.00
WA507       0500  16     38.00
WA507       0500  17     32.00
WA507       0500  18     29.00
WA507       0500  19     39.00
WA507       0500  20     33.00
WA507       0500  21     36.00
WA507       0500  22     33.00
WA507       0500  23     31.00
WA507       0500  24     35.00
