$ Get data for 515:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:54:28 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA515           Harts Pass
01  2000 02   2016  1   f10.2
WA515       0100   1     13.00
WA515       0100   2      9.00
WA515       0100   3      9.00
WA515       0100   4     11.00
WA515       0100   5     14.00
WA515       0100   6     16.00
WA515       0100   7     18.00
WA515       0100   8     13.00
WA515       0100   9     10.00
WA515       0100  10      8.00
WA515       0100  11      5.00
WA515       0100  12      5.00
WA515       0100  13     10.00
WA515       0100  14     14.00
WA515       0100  15     10.00
WA515       0100  16     11.00
WA515       0100  17     12.00
WA515       0100  18      6.00
WA515       0100  19      6.00
WA515       0100  20     11.00
WA515       0100  21     15.00
WA515       0100  22     12.00
WA515       0100  23     14.00
WA515       0100  24     16.00
WA515       0100  25     16.00
WA515       0100  26     16.00
WA515       0100  27     15.00
WA515       0100  28     17.00
WA515       0100  29     11.00
WA515       0100  30     11.00
WA515       0100  31     11.00
WA515       0200   1     12.00
WA515       0200   2     18.00
WA515       0200   3     18.00
WA515       0200   4     16.00
WA515       0200   5     14.00
WA515       0200   6     21.00
WA515       0200   7     21.00
WA515       0200   8     18.00
WA515       0200   9     13.00
WA515       0200  10     13.00
WA515       0200  11     12.00
WA515       0200  12     15.00
WA515       0200  13     13.00
WA515       0200  14     15.00
WA515       0200  15     13.00
WA515       0200  16      9.00
WA515       0200  17     11.00
WA515       0200  18     10.00
WA515       0200  19     11.00
WA515       0200  20     11.00
WA515       0200  21     20.00
WA515       0200  22     19.00
WA515       0200  23     12.00
WA515       0200  24      9.00
WA515       0200  25      8.00
WA515       0200  26     13.00
WA515       0200  27     20.00
WA515       0200  28     20.00
WA515       0200  29     21.00
WA515       0300   1     20.00
WA515       0300   2     17.00
WA515       0300   3     19.00
WA515       0300   4     15.00
WA515       0300   5     11.00
WA515       0300   6      8.00
WA515       0300   7      8.00
WA515       0300   8     17.00
WA515       0300   9     21.00
WA515       0300  10     16.00
WA515       0300  11     17.00
WA515       0300  12     13.00
WA515       0300  13     17.00
WA515       0300  14     16.00
WA515       0300  15     12.00
WA515       0300  16     15.00
WA515       0300  17     15.00
WA515       0300  18     15.00
WA515       0300  19     13.00
WA515       0300  20     12.00
WA515       0300  21     18.00
WA515       0300  22     16.00
WA515       0300  23     15.00
WA515       0300  24     12.00
WA515       0300  25     17.00
WA515       0300  26     17.00
WA515       0300  27     20.00
WA515       0300  28     16.00
WA515       0300  29     16.00
WA515       0300  30     16.00
WA515       0300  31     22.00
WA515       0400   1     29.00
WA515       0400   2     28.00
WA515       0400   3     32.00
WA515       0400   4     17.00
WA515       0400   5     16.00
WA515       0400   6     10.00
WA515       0400   7     11.00
WA515       0400   8     32.00
WA515       0400   9     28.00
WA515       0400  10     25.00
WA515       0400  11     33.00
WA515       0400  12     32.00
WA515       0400  13     29.00
WA515       0400  14     27.00
WA515       0400  15     22.00
WA515       0400  16     23.00
WA515       0400  17     22.00
WA515       0400  18     28.00
WA515       0400  19     24.00
WA515       0400  20     27.00
WA515       0400  21     31.00
WA515       0400  22     22.00
WA515       0400  23     14.00
WA515       0400  24     15.00
WA515       0400  25     19.00
WA515       0400  26     16.00
WA515       0400  27     25.00
WA515       0400  28   -999.00
WA515       0400  29     21.00
WA515       0400  30   -999.00
WA515       0500   1     27.00
WA515       0500   2   -999.00
WA515       0500   3     25.00
WA515       0500   4     24.00
WA515       0500   5     21.00
WA515       0500   6     18.00
WA515       0500   7     21.00
WA515       0500   8     29.00
WA515       0500   9   -999.00
WA515       0500  10   -999.00
WA515       0500  11     25.00
WA515       0500  12     25.00
WA515       0500  13     28.00
WA515       0500  14     35.00
WA515       0500  15     37.00
WA515       0500  16     36.00
WA515       0500  17     31.00
WA515       0500  18     30.00
WA515       0500  19     35.00
WA515       0500  20     34.00
WA515       0500  21   -999.00
WA515       0500  22     33.00
WA515       0500  23     29.00
WA515       0500  24     29.00
WA515       0500  25   -999.00
WA515       0500  26     28.00
WA515       0500  27     31.00
WA515       0500  28     30.00
WA515       0500  29   -999.00
WA515       0500  30     29.00
WA515       0500  31     32.00
WA515       0600   1     33.00
WA515       0600   2     35.00
WA515       0600   3     34.00
WA515       0600   4     44.00
WA515       0600   5     33.00
WA515       0600   6   -999.00
WA515       0600   7   -999.00
WA515       0600   8     32.00
WA515       0600   9     33.00
WA515       0600  10     28.00
WA515       0600  11     27.00
WA515       0600  12     33.00
WA515       0600  13   -999.00
WA515       0600  14     34.00
WA515       0600  15     34.00
WA515       0600  16     35.00
WA515       0600  17   -999.00
WA515       0600  18     35.00
WA515       0600  19   -999.00
WA515       0600  20     34.00
WA515       0600  21     36.00
WA515       0600  22   -999.00
WA515       0600  23     34.00
WA515       0600  24     37.00
WA515       0600  25     40.00
WA515       0600  26     45.00
WA515       0600  27     48.00
WA515       0600  28     46.00
WA515       0600  29     45.00
WA515       0600  30     37.00
WA515       0700   1     32.00
WA515       0700   2   -999.00
WA515       0700   3     31.00
WA515       0700   4     32.00
WA515       0700   5   -999.00
WA515       0700   6     32.00
WA515       0700   7   -999.00
WA515       0700   8     38.00
WA515       0700   9     39.00
WA515       0700  10   -999.00
WA515       0700  11     39.00
WA515       0700  12   -999.00
WA515       0700  13     38.00
WA515       0700  14     36.00
WA515       0700  15   -999.00
WA515       0700  16     34.00
WA515       0700  17     45.00
WA515       0700  18   -999.00
WA515       0700  19     44.00
WA515       0700  20     50.00
WA515       0700  21   -999.00
WA515       0700  22   -999.00
WA515       0700  23   -999.00
WA515       0700  24     40.00
WA515       0700  25     41.00
WA515       0700  26     40.00
WA515       0700  27   -999.00
WA515       0700  28     42.00
WA515       0700  29     44.00
WA515       0700  30     51.00
WA515       0700  31     48.00
WA515       0800   1     44.00
WA515       0800   2   -999.00
WA515       0800   3     43.00
WA515       0800   4   -999.00
WA515       0800   5     50.00
WA515       0800   6     48.00
WA515       0800   7   -999.00
WA515       0800   8     46.00
WA515       0800   9     48.00
WA515       0800  10   -999.00
WA515       0800  11     38.00
WA515       0800  12     36.00
WA515       0800  13   -999.00
WA515       0800  14     36.00
WA515       0800  15   -999.00
WA515       0800  16     39.00
WA515       0800  17     41.00
WA515       0800  18     36.00
WA515       0800  19     36.00
WA515       0800  20     35.00
WA515       0800  21     36.00
WA515       0800  22     45.00
WA515       0800  23     48.00
WA515       0800  24     46.00
WA515       0800  25     41.00
WA515       0800  26     35.00
WA515       0800  27     33.00
WA515       0800  28     32.00
WA515       0800  29     40.00
WA515       0800  30     38.00
WA515       0800  31     32.00
WA515       0900   1     30.00
WA515       0900   2     34.00
