$ Get data for 642:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:24:59 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA642           Morse Lake
01  2000 02   2016  1   f10.2
WA642       0100   1     20.00
WA642       0100   2     14.00
WA642       0100   3     13.00
WA642       0100   4     23.00
WA642       0100   5     13.00
WA642       0100   6     20.00
WA642       0100   7     23.00
WA642       0100   8     20.00
WA642       0100   9     17.00
WA642       0100  10     16.00
WA642       0100  11     16.00
WA642       0100  12     14.00
WA642       0100  13     18.00
WA642       0100  14     19.00
WA642       0100  15      9.00
WA642       0100  16     17.00
WA642       0100  17     12.00
WA642       0100  18      9.00
WA642       0100  19      5.00
WA642       0100  20     20.00
WA642       0100  21     15.00
WA642       0100  22     15.00
WA642       0100  23      6.00
WA642       0100  24     16.00
WA642       0100  25     22.00
WA642       0100  26     15.00
WA642       0100  27     14.00
WA642       0100  28     10.00
WA642       0100  29      6.00
WA642       0100  30      7.00
WA642       0100  31     18.00
WA642       0200   1     27.00
WA642       0200   2     24.00
WA642       0200   3     23.00
WA642       0200   4     17.00
WA642       0200   5     17.00
WA642       0200   6     28.00
WA642       0200   7     28.00
WA642       0200   8     22.00
WA642       0200   9     14.00
WA642       0200  10     11.00
WA642       0200  11     19.00
WA642       0200  12     19.00
WA642       0200  13     10.00
WA642       0200  14     20.00
WA642       0200  15     19.00
WA642       0200  16     12.00
WA642       0200  17     11.00
WA642       0200  18      9.00
WA642       0200  19      3.00
WA642       0200  20     10.00
WA642       0200  21     27.00
WA642       0200  22     23.00
WA642       0200  23     17.00
WA642       0200  24     11.00
WA642       0200  25     10.00
WA642       0200  26     23.00
WA642       0200  27     25.00
WA642       0200  28     26.00
WA642       0200  29     25.00
WA642       0300   1     14.00
WA642       0300   2     24.00
WA642       0300   3     22.00
WA642       0300   4     19.00
WA642       0300   5     19.00
WA642       0300   6     11.00
WA642       0300   7      8.00
WA642       0300   8     22.00
WA642       0300   9     16.00
WA642       0300  10     13.00
WA642       0300  11     21.00
WA642       0300  12     17.00
WA642       0300  13     17.00
WA642       0300  14     19.00
WA642       0300  15     11.00
WA642       0300  16     20.00
WA642       0300  17     17.00
WA642       0300  18     21.00
WA642       0300  19     16.00
WA642       0300  20     10.00
WA642       0300  21     25.00
WA642       0300  22     19.00
WA642       0300  23     16.00
WA642       0300  24     14.00
WA642       0300  25     19.00
WA642       0300  26     18.00
WA642       0300  27     24.00
WA642       0300  28     20.00
WA642       0300  29     17.00
WA642       0300  30     17.00
WA642       0300  31     27.00
WA642       0400   1     39.00
WA642       0400   2     34.00
WA642       0400   3     33.00
WA642       0400   4     17.00
WA642       0400   5     16.00
WA642       0400   6     22.00
WA642       0400   7     15.00
WA642       0400   8     24.00
WA642       0400   9     28.00
WA642       0400  10     28.00
WA642       0400  11     31.00
WA642       0400  12     36.00
WA642       0400  13     31.00
WA642       0400  14     30.00
WA642       0400  15     26.00
WA642       0400  16     27.00
WA642       0400  17     28.00
WA642       0400  18     30.00
WA642       0400  19     24.00
WA642       0400  20     29.00
WA642       0400  21     30.00
WA642       0400  22     26.00
WA642       0400  23     19.00
WA642       0400  24     11.00
WA642       0400  25     24.00
WA642       0400  26     17.00
WA642       0400  27     25.00
WA642       0400  28     23.00
WA642       0400  29     18.00
WA642       0400  30     30.00
WA642       0500   1     32.00
WA642       0500   2     32.00
WA642       0500   3     27.00
WA642       0500   4     26.00
WA642       0500   5     21.00
WA642       0500   6     16.00
WA642       0500   7     22.00
WA642       0500   8     31.00
WA642       0500   9     26.00
WA642       0500  10     24.00
WA642       0500  11     23.00
WA642       0500  12     22.00
WA642       0500  13     28.00
WA642       0500  14     32.00
WA642       0500  15     33.00
WA642       0500  16     31.00
WA642       0500  17     29.00
WA642       0500  18     30.00
WA642       0500  19     31.00
WA642       0500  20     30.00
WA642       0500  21     37.00
WA642       0500  22     33.00
WA642       0500  23     28.00
WA642       0500  24     30.00
WA642       0500  25     28.00
WA642       0500  26     34.00
WA642       0500  27     33.00
WA642       0500  28     32.00
WA642       0500  29     31.00
WA642       0500  30     31.00
WA642       0500  31     30.00
WA642       0600   1     30.00
WA642       0600   2     33.00
WA642       0600   3     32.00
WA642       0600   4     37.00
WA642       0600   5     35.00
WA642       0600   6     35.00
WA642       0600   7     36.00
WA642       0600   8     33.00
WA642       0600   9     31.00
WA642       0600  10     28.00
WA642       0600  11     28.00
WA642       0600  12     35.00
WA642       0600  13     36.00
WA642       0600  14     38.00
WA642       0600  15     36.00
WA642       0600  16     31.00
WA642       0600  17     35.00
WA642       0600  18     37.00
WA642       0600  19     35.00
WA642       0600  20     37.00
WA642       0600  21     37.00
WA642       0600  22     35.00
WA642       0600  23     36.00
WA642       0600  24     35.00
WA642       0600  25     34.00
WA642       0600  26     40.00
WA642       0600  27     43.00
WA642       0600  28     44.00
WA642       0600  29     42.00
WA642       0600  30     42.00
WA642       0700   1     36.00
WA642       0700   2     31.00
WA642       0700   3     32.00
WA642       0700   4     32.00
WA642       0700   5     32.00
WA642       0700   6     37.00
WA642       0700   7     35.00
WA642       0700   8     35.00
WA642       0700   9     32.00
WA642       0700  10     38.00
WA642       0700  11     38.00
WA642       0700  12     38.00
WA642       0700  13     38.00
WA642       0700  14     36.00
WA642       0700  15     32.00
WA642       0700  16     38.00
WA642       0700  17     45.00
WA642       0700  18     39.00
WA642       0700  19     45.00
WA642       0700  20     45.00
WA642       0700  21     46.00
WA642       0700  22     44.00
WA642       0700  23     38.00
WA642       0700  24     39.00
WA642       0700  25     42.00
WA642       0700  26     42.00
WA642       0700  27     42.00
WA642       0700  28     50.00
WA642       0700  29     44.00
WA642       0700  30     50.00
WA642       0700  31     50.00
WA642       0800   1     46.00
WA642       0800   2     46.00
WA642       0800   3     46.00
WA642       0800   4     46.00
WA642       0800   5     49.00
WA642       0800   6     45.00
WA642       0800   7     43.00
WA642       0800   8     49.00
WA642       0800   9     44.00
WA642       0800  10     41.00
WA642       0800  11     30.00
WA642       0800  12     33.00
WA642       0800  13     37.00
WA642       0800  14     34.00
WA642       0800  15     35.00
WA642       0800  16     35.00
WA642       0800  17     36.00
WA642       0800  18     35.00
WA642       0800  19     37.00
WA642       0800  20     32.00
WA642       0800  21     35.00
WA642       0800  22     40.00
WA642       0800  23     46.00
WA642       0800  24     45.00
WA642       0800  25     42.00
WA642       0800  26     40.00
WA642       0800  27     31.00
WA642       0800  28     30.00
WA642       0800  29     41.00
WA642       0800  30     39.00
WA642       0800  31     32.00
WA642       0900   1     32.00
WA642       0900   2     30.00
WA642       0900   3     31.00
WA642       0900   4     30.00
WA642       0900   5     36.00
WA642       0900   6     37.00
WA642       0900   7     35.00
WA642       0900   8     34.00
WA642       0900   9     32.00
WA642       0900  10     40.00
WA642       0900  11     33.00
WA642       0900  12     40.00
WA642       0900  13     43.00
WA642       0900  14     47.00
WA642       0900  15     45.00
WA642       0900  16     39.00
WA642       0900  17     42.00
WA642       0900  18     44.00
WA642       0900  19     40.00
WA642       0900  20     38.00
WA642       0900  21     31.00
WA642       0900  22     24.00
WA642       0900  23     24.00
WA642       0900  24     30.00
WA642       0900  25     30.00
WA642       0900  26     35.00
WA642       0900  27     39.00
WA642       0900  28     38.00
WA642       0900  29     38.00
WA642       0900  30     45.00
WA642       1000   1     32.00
WA642       1000   2     30.00
WA642       1000   3     27.00
WA642       1000   4     26.00
WA642       1000   5     27.00
WA642       1000   6     26.00
WA642       1000   7     29.00
WA642       1000   8     36.00
WA642       1000   9     37.00
WA642       1000  10     34.00
WA642       1000  11     36.00
WA642       1000  12     34.00
WA642       1000  13     35.00
WA642       1000  14     24.00
WA642       1000  15     26.00
WA642       1000  16     34.00
WA642       1000  17     35.00
WA642       1000  18     28.00
WA642       1000  19     27.00
WA642       1000  20     29.00
WA642       1000  21     23.00
WA642       1000  22     22.00
WA642       1000  23     25.00
WA642       1000  24     28.00
WA642       1000  25     33.00
WA642       1000  26     31.00
WA642       1000  27     31.00
WA642       1000  28     29.00
WA642       1000  29     28.00
WA642       1000  30     23.00
WA642       1000  31     24.00
WA642       1100   1     21.00
WA642       1100   2     26.00
WA642       1100   3     31.00
WA642       1100   4     26.00
WA642       1100   5     24.00
WA642       1100   6     26.00
WA642       1100   7     22.00
WA642       1100   8     17.00
WA642       1100   9     17.00
WA642       1100  10      2.00
WA642       1100  11      3.00
WA642       1100  12     15.00
WA642       1100  13     13.00
WA642       1100  14     11.00
WA642       1100  15     10.00
WA642       1100  16     12.00
WA642       1100  17      3.00
WA642       1100  18     20.00
WA642       1100  19     18.00
WA642       1100  20     13.00
WA642       1100  21     12.00
WA642       1100  22     20.00
WA642       1100  23     25.00
WA642       1100  24     22.00
WA642       1100  25     23.00
WA642       1100  26     25.00
WA642       1100  27     11.00
WA642       1100  28     10.00
WA642       1100  29     19.00
WA642       1100  30     25.00
WA642       1200   1     22.00
WA642       1200   2     15.00
WA642       1200   3     15.00
WA642       1200   4     20.00
WA642       1200   5     25.00
WA642       1200   6     25.00
WA642       1200   7     20.00
WA642       1200   8     21.00
WA642       1200   9     18.00
WA642       1200  10      2.00
WA642       1200  11      0.00
WA642       1200  12     -1.00
WA642       1200  13     10.00
WA642       1200  14     17.00
WA642       1200  15     12.00
WA642       1200  16     21.00
WA642       1200  17      6.00
WA642       1200  18     11.00
WA642       1200  19     10.00
WA642       1200  20     15.00
WA642       1200  21     14.00
WA642       1200  22     15.00
WA642       1200  23     24.00
WA642       1200  24     20.00
WA642       1200  25     20.00
WA642       1200  26     32.00
WA642       1200  27     20.00
WA642       1200  28     17.00
WA642       1200  29     18.00
WA642       1200  30     26.00
WA642       1200  31     20.00
WA642       0101   1     20.00
WA642       0101   2     28.00
WA642       0101   3     29.00
WA642       0101   4     28.00
WA642       0101   5     22.00
WA642       0101   6     15.00
WA642       0101   7     15.00
WA642       0101   8     21.00
WA642       0101   9     14.00
WA642       0101  10     23.00
WA642       0101  11     24.00
WA642       0101  12     25.00
WA642       0101  13     17.00
WA642       0101  14     18.00
WA642       0101  15      9.00
WA642       0101  16      9.00
WA642       0101  17     15.00
WA642       0101  18     28.00
WA642       0101  19     16.00
WA642       0101  20     18.00
WA642       0101  21     18.00
WA642       0101  22     14.00
WA642       0101  23     21.00
WA642       0101  24     21.00
WA642       0101  25     10.00
WA642       0101  26     13.00
WA642       0101  27     12.00
WA642       0101  28     17.00
WA642       0101  29     20.00
WA642       0101  30     19.00
WA642       0101  31     23.00
WA642       0201   1     22.00
WA642       0201   2     16.00
WA642       0201   3     15.00
WA642       0201   4     27.00
WA642       0201   5     15.00
WA642       0201   6     11.00
WA642       0201   7      2.00
WA642       0201   8      9.00
WA642       0201   9      7.00
WA642       0201  10     10.00
WA642       0201  11     12.00
WA642       0201  12      9.00
WA642       0201  13     16.00
WA642       0201  14     19.00
WA642       0201  15     14.00
WA642       0201  16     10.00
WA642       0201  17      8.00
WA642       0201  18     18.00
WA642       0201  19     14.00
WA642       0201  20     15.00
WA642       0201  21     20.00
WA642       0201  22     16.00
WA642       0201  23     18.00
WA642       0201  24     15.00
WA642       0201  25     11.00
WA642       0201  26     11.00
WA642       0201  27     11.00
WA642       0201  28     17.00
WA642       0301   1     19.00
WA642       0301   2     13.00
WA642       0301   3      6.00
WA642       0301   4     17.00
WA642       0301   5     25.00
WA642       0301   6     25.00
WA642       0301   7     26.00
WA642       0301   8     26.00
WA642       0301   9     22.00
WA642       0301  10     17.00
WA642       0301  11     22.00
WA642       0301  12     33.00
WA642       0301  13     23.00
WA642       0301  14     12.00
WA642       0301  15     21.00
WA642       0301  16     14.00
WA642       0301  17     20.00
WA642       0301  18     31.00
WA642       0301  19     17.00
WA642       0301  20     15.00
WA642       0301  21     18.00
WA642       0301  22     24.00
WA642       0301  23     29.00
WA642       0301  24     30.00
WA642       0301  25     26.00
WA642       0301  26     21.00
WA642       0301  27     18.00
WA642       0301  28     19.00
WA642       0301  29     14.00
WA642       0301  30     20.00
WA642       0301  31     22.00
WA642       0401   1     21.00
WA642       0401   2     17.00
WA642       0401   3     16.00
WA642       0401   4     13.00
WA642       0401   5     23.00
WA642       0401   6     18.00
WA642       0401   7     15.00
WA642       0401   8     18.00
WA642       0401   9     21.00
WA642       0401  10     23.00
WA642       0401  11     17.00
WA642       0401  12     17.00
WA642       0401  13     11.00
WA642       0401  14     11.00
WA642       0401  15     17.00
WA642       0401  16     31.00
WA642       0401  17     28.00
WA642       0401  18     27.00
WA642       0401  19     19.00
WA642       0401  20     24.00
WA642       0401  21     26.00
WA642       0401  22     24.00
WA642       0401  23     29.00
WA642       0401  24     33.00
WA642       0401  25     33.00
WA642       0401  26     35.00
WA642       0401  27     32.00
WA642       0401  28     24.00
WA642       0401  29     24.00
WA642       0401  30     25.00
WA642       0501   1     23.00
WA642       0501   2     22.00
WA642       0501   3     22.00
WA642       0501   4     29.00
WA642       0501   5     23.00
WA642       0501   6     18.00
WA642       0501   7     30.00
WA642       0501   8     28.00
WA642       0501   9     27.00
