$ Get data for 681:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:29:38 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA681           Park Creek Ridge
01  2000 02   2016  1   f10.2
WA681       0100   1     20.00
WA681       0100   2     14.00
WA681       0100   3     16.00
WA681       0100   4     18.00
WA681       0100   5     22.00
WA681       0100   6     20.00
WA681       0100   7     25.00
WA681       0100   8     20.00
WA681       0100   9     17.00
WA681       0100  10     17.00
WA681       0100  11     16.00
WA681       0100  12     16.00
WA681       0100  13     17.00
WA681       0100  14     21.00
WA681       0100  15     17.00
WA681       0100  16     18.00
WA681       0100  17     18.00
WA681       0100  18     16.00
WA681       0100  19     12.00
WA681       0100  20     15.00
WA681       0100  21     15.00
WA681       0100  22     19.00
WA681       0100  23     18.00
WA681       0100  24     18.00
WA681       0100  25     24.00
WA681       0100  26     23.00
WA681       0100  27     20.00
WA681       0100  28     15.00
WA681       0100  29     13.00
WA681       0100  30      8.00
WA681       0100  31     18.00
WA681       0200   1     20.00
WA681       0200   2     25.00
WA681       0200   3     23.00
WA681       0200   4     21.00
WA681       0200   5     18.00
WA681       0200   6     26.00
WA681       0200   7     27.00
WA681       0200   8     26.00
WA681       0200   9     21.00
WA681       0200  10     19.00
WA681       0200  11     20.00
WA681       0200  12     21.00
WA681       0200  13     19.00
WA681       0200  14     21.00
WA681       0200  15     21.00
WA681       0200  16     17.00
WA681       0200  17     17.00
WA681       0200  18     16.00
WA681       0200  19     13.00
WA681       0200  20     14.00
WA681       0200  21     26.00
WA681       0200  22     26.00
WA681       0200  23     22.00
WA681       0200  24     19.00
WA681       0200  25     17.00
WA681       0200  26     21.00
WA681       0200  27     25.00
WA681       0200  28     26.00
WA681       0200  29     27.00
WA681       0300   1     27.00
WA681       0300   2     27.00
WA681       0300   3     27.00
WA681       0300   4     26.00
WA681       0300   5     20.00
WA681       0300   6     18.00
WA681       0300   7     16.00
WA681       0300   8     24.00
WA681       0300   9     26.00
WA681       0300  10     24.00
WA681       0300  11     25.00
WA681       0300  12     22.00
WA681       0300  13     25.00
WA681       0300  14     25.00
WA681       0300  15     20.00
WA681       0300  16     23.00
WA681       0300  17     23.00
WA681       0300  18     23.00
WA681       0300  19     20.00
WA681       0300  20     19.00
WA681       0300  21     27.00
WA681       0300  22     24.00
WA681       0300  23     23.00
WA681       0300  24     22.00
WA681       0300  25     25.00
WA681       0300  26     24.00
WA681       0300  27     25.00
WA681       0300  28     24.00
WA681       0300  29     23.00
WA681       0300  30     25.00
WA681       0300  31     31.00
WA681       0400   1     36.00
WA681       0400   2     35.00
WA681       0400   3     40.00
WA681       0400   4     25.00
WA681       0400   5     24.00
WA681       0400   6     22.00
WA681       0400   7     20.00
WA681       0400   8     34.00
WA681       0400   9     36.00
WA681       0400  10     33.00
WA681       0400  11     39.00
WA681       0400  12     41.00
WA681       0400  13     34.00
WA681       0400  14     31.00
WA681       0400  15     31.00
WA681       0400  16     30.00
WA681       0400  17     32.00
WA681       0400  18     36.00
WA681       0400  19     31.00
WA681       0400  20     35.00
WA681       0400  21     36.00
WA681       0400  22     28.00
WA681       0400  23     22.00
WA681       0400  24     21.00
WA681       0400  25     26.00
WA681       0400  26     25.00
WA681       0400  27     29.00
WA681       0400  28     26.00
WA681       0400  29     26.00
WA681       0400  30     31.00
WA681       0500   1     34.00
WA681       0500   2     34.00
WA681       0500   3     30.00
WA681       0500   4     30.00
WA681       0500   5     27.00
WA681       0500   6     27.00
WA681       0500   7     27.00
