$ Get data for 699:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:31:25 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA699           Pope Ridge
01  2000 02   2016  1   f10.2
WA699       0100   1     20.00
WA699       0100   2     12.00
WA699       0100   3     12.00
WA699       0100   4     22.00
WA699       0100   5     20.00
WA699       0100   6     21.00
WA699       0100   7     20.00
WA699       0100   8     26.00
WA699       0100   9     20.00
WA699       0100  10     18.00
WA699       0100  11     16.00
WA699       0100  12     17.00
WA699       0100  13     20.00
WA699       0100  14     20.00
WA699       0100  15     18.00
WA699       0100  16     21.00
WA699       0100  17     14.00
WA699       0100  18     14.00
WA699       0100  19     11.00
WA699       0100  20     14.00
WA699       0100  21     17.00
WA699       0100  22     15.00
WA699       0100  23     17.00
WA699       0100  24     21.00
WA699       0100  25     22.00
WA699       0100  26     19.00
WA699       0100  27     18.00
WA699       0100  28      8.00
WA699       0100  29      7.00
WA699       0100  30     10.00
WA699       0100  31     17.00
WA699       0200   1     22.00
WA699       0200   2     27.00
WA699       0200   3     22.00
WA699       0200   4     20.00
WA699       0200   5     17.00
WA699       0200   6     26.00
WA699       0200   7     29.00
WA699       0200   8     28.00
WA699       0200   9     20.00
WA699       0200  10     18.00
WA699       0200  11     20.00
WA699       0200  12     24.00
WA699       0200  13     19.00
WA699       0200  14     24.00
WA699       0200  15     19.00
WA699       0200  16     16.00
WA699       0200  17     13.00
WA699       0200  18     13.00
WA699       0200  19     11.00
WA699       0200  20     16.00
WA699       0200  21     29.00
WA699       0200  22     30.00
WA699       0200  23     18.00
WA699       0200  24     17.00
WA699       0200  25     15.00
WA699       0200  26     18.00
WA699       0200  27     28.00
WA699       0200  28     29.00
WA699       0200  29     29.00
WA699       0300   1     26.00
WA699       0300   2     29.00
WA699       0300   3     26.00
WA699       0300   4     31.00
WA699       0300   5     25.00
WA699       0300   6     19.00
WA699       0300   7     16.00
WA699       0300   8     28.00
WA699       0300   9     25.00
WA699       0300  10     22.00
WA699       0300  11     25.00
WA699       0300  12     22.00
WA699       0300  13     24.00
WA699       0300  14     24.00
WA699       0300  15     19.00
WA699       0300  16     28.00
WA699       0300  17     25.00
WA699       0300  18     26.00
WA699       0300  19     19.00
WA699       0300  20     17.00
WA699       0300  21     27.00
WA699       0300  22     29.00
WA699       0300  23     24.00
WA699       0300  24     22.00
WA699       0300  25     26.00
WA699       0300  26     24.00
WA699       0300  27     28.00
WA699       0300  28     25.00
WA699       0300  29     25.00
WA699       0300  30     25.00
WA699       0300  31     29.00
WA699       0400   1     33.00
WA699       0400   2     33.00
WA699       0400   3     33.00
WA699       0400   4     26.00
WA699       0400   5     23.00
WA699       0400   6     23.00
WA699       0400   7     20.00
WA699       0400   8     30.00
WA699       0400   9     34.00
WA699       0400  10     32.00
WA699       0400  11     34.00
WA699       0400  12     36.00
WA699       0400  13     35.00
WA699       0400  14     35.00
WA699       0400  15     30.00
WA699       0400  16     30.00
WA699       0400  17     30.00
WA699       0400  18     34.00
WA699       0400  19     30.00
WA699       0400  20     34.00
WA699       0400  21     34.00
WA699       0400  22     29.00
WA699       0400  23     27.00
WA699       0400  24     24.00
WA699       0400  25     27.00
WA699       0400  26     25.00
WA699       0400  27     34.00
WA699       0400  28     28.00
WA699       0400  29     25.00
WA699       0400  30     32.00
WA699       0500   1     37.00
WA699       0500   2     36.00
WA699       0500   3     32.00
WA699       0500   4     29.00
WA699       0500   5     27.00
WA699       0500   6     26.00
WA699       0500   7     25.00
WA699       0500   8     35.00
WA699       0500   9     33.00
WA699       0500  10     30.00
WA699       0500  11     31.00
WA699       0500  12     28.00
WA699       0500  13     29.00
WA699       0500  14     40.00
WA699       0500  15     40.00
WA699       0500  16     39.00
WA699       0500  17     35.00
WA699       0500  18     32.00
WA699       0500  19     39.00
WA699       0500  20     38.00
WA699       0500  21     41.00
WA699       0500  22     38.00
WA699       0500  23     33.00
WA699       0500  24     35.00
WA699       0500  25     34.00
WA699       0500  26     39.00
WA699       0500  27     36.00
WA699       0500  28     34.00
WA699       0500  29     31.00
WA699       0500  30     36.00
WA699       0500  31     36.00
WA699       0600   1     38.00
WA699       0600   2     37.00
WA699       0600   3     36.00
WA699       0600   4     43.00
WA699       0600   5     43.00
WA699       0600   6     36.00
WA699       0600   7     42.00
WA699       0600   8     37.00
WA699       0600   9     35.00
WA699       0600  10     35.00
WA699       0600  11     33.00
WA699       0600  12     38.00
WA699       0600  13     36.00
WA699       0600  14     48.00
WA699       0600  15     39.00
WA699       0600  16     37.00
WA699       0600  17     43.00
WA699       0600  18     44.00
WA699       0600  19     38.00
WA699       0600  20     39.00
WA699       0600  21     43.00
WA699       0600  22     37.00
WA699       0600  23     40.00
WA699       0600  24     43.00
WA699       0600  25     41.00
WA699       0600  26     47.00
WA699       0600  27     49.00
WA699       0600  28     52.00
WA699       0600  29     48.00
WA699       0600  30     43.00
WA699       0700   1     39.00
WA699       0700   2     35.00
WA699       0700   3     37.00
WA699       0700   4     38.00
WA699       0700   5     38.00
WA699       0700   6     44.00
WA699       0700   7     41.00
WA699       0700   8     46.00
WA699       0700   9     42.00
WA699       0700  10     40.00
WA699       0700  11     43.00
WA699       0700  12     44.00
WA699       0700  13     45.00
WA699       0700  14     40.00
WA699       0700  15     36.00
WA699       0700  16     43.00
WA699       0700  17     49.00
WA699       0700  18     46.00
WA699       0700  19     48.00
WA699       0700  20     52.00
WA699       0700  21   -999.00
WA699       0700  22     49.00
WA699       0700  23     46.00
WA699       0700  24     44.00
WA699       0700  25     47.00
WA699       0700  26     42.00
WA699       0700  27   -999.00
WA699       0700  28     50.00
WA699       0700  29     49.00
WA699       0700  30     56.00
WA699       0700  31     59.00
WA699       0800   1     49.00
WA699       0800   2     49.00
WA699       0800   3     53.00
WA699       0800   4     53.00
WA699       0800   5     53.00
WA699       0800   6     52.00
WA699       0800   7     51.00
WA699       0800   8     53.00
WA699       0800   9     53.00
WA699       0800  10     51.00
WA699       0800  11     44.00
WA699       0800  12     41.00
WA699       0800  13     41.00
WA699       0800  14     39.00
WA699       0800  15     45.00
WA699       0800  16     43.00
WA699       0800  17     47.00
WA699       0800  18     44.00
WA699       0800  19     40.00
WA699       0800  20     36.00
WA699       0800  21     38.00
WA699       0800  22     45.00
WA699       0800  23     50.00
WA699       0800  24     53.00
WA699       0800  25     49.00
WA699       0800  26     46.00
WA699       0800  27     36.00
WA699       0800  28     35.00
WA699       0800  29     46.00
WA699       0800  30     42.00
WA699       0800  31     40.00
WA699       0900   1     32.00
WA699       0900   2     37.00
WA699       0900   3     34.00
