$ Get data for 702:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:31:50 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA702           Potato Hill
01  2000 02   2016  1   f10.2
WA702       0100   1     27.00
WA702       0100   2     23.00
WA702       0100   3     24.00
WA702       0100   4     28.00
WA702       0100   5     17.00
WA702       0100   6     15.00
WA702       0100   7     30.00
WA702       0100   8     27.00
WA702       0100   9     23.00
WA702       0100  10     23.00
WA702       0100  11     22.00
WA702       0100  12     21.00
WA702       0100  13     26.00
WA702       0100  14     25.00
WA702       0100  15     10.00
WA702       0100  16     25.00
WA702       0100  17     18.00
WA702       0100  18     17.00
WA702       0100  19     20.00
WA702       0100  20     26.00
WA702       0100  21     23.00
WA702       0100  22     19.00
WA702       0100  23     21.00
WA702       0100  24     28.00
WA702       0100  25     28.00
WA702       0100  26     26.00
WA702       0100  27     24.00
WA702       0100  28     21.00
WA702       0100  29     18.00
WA702       0100  30     17.00
WA702       0100  31     23.00
WA702       0200   1     30.00
WA702       0200   2     30.00
WA702       0200   3     30.00
WA702       0200   4     23.00
WA702       0200   5     24.00
WA702       0200   6     32.00
WA702       0200   7     35.00
WA702       0200   8     29.00
WA702       0200   9     23.00
WA702       0200  10     19.00
WA702       0200  11     29.00
WA702       0200  12     15.00
WA702       0200  13      9.00
WA702       0200  14     27.00
WA702       0200  15     16.00
WA702       0200  16     16.00
WA702       0200  17     11.00
WA702       0200  18      7.00
WA702       0200  19     23.00
WA702       0200  20     23.00
WA702       0200  21     33.00
WA702       0200  22     29.00
WA702       0200  23     15.00
WA702       0200  24     11.00
WA702       0200  25      9.00
WA702       0200  26     29.00
WA702       0200  27     31.00
WA702       0200  28     31.00
WA702       0200  29     29.00
WA702       0300   1     18.00
WA702       0300   2     31.00
WA702       0300   3     24.00
WA702       0300   4     27.00
WA702       0300   5     17.00
WA702       0300   6     18.00
WA702       0300   7     12.00
WA702       0300   8     29.00
WA702       0300   9     22.00
WA702       0300  10     18.00
WA702       0300  11     24.00
WA702       0300  12     15.00
WA702       0300  13     28.00
WA702       0300  14   -999.00
WA702       0300  15     15.00
WA702       0300  16     26.00
WA702       0300  17     26.00
WA702       0300  18     28.00
WA702       0300  19     25.00
WA702       0300  20     15.00
WA702       0300  21     29.00
WA702       0300  22     26.00
WA702       0300  23     26.00
WA702       0300  24     20.00
WA702       0300  25     24.00
WA702       0300  26     21.00
WA702       0300  27     28.00
WA702       0300  28     26.00
WA702       0300  29     22.00
WA702       0300  30     20.00
WA702       0300  31     25.00
WA702       0400   1     31.00
WA702       0400   2     31.00
WA702       0400   3     32.00
WA702       0400   4     27.00
WA702       0400   5     22.00
WA702       0400   6     27.00
WA702       0400   7     16.00
WA702       0400   8     32.00
WA702       0400   9     30.00
WA702       0400  10     31.00
WA702       0400  11     32.00
WA702       0400  12     33.00
WA702       0400  13     34.00
WA702       0400  14     35.00
WA702       0400  15     32.00
WA702       0400  16     30.00
WA702       0400  17     30.00
WA702       0400  18     31.00
WA702       0400  19     29.00
WA702       0400  20     31.00
WA702       0400  21     30.00
WA702       0400  22     31.00
WA702       0400  23     26.00
WA702       0400  24     22.00
WA702       0400  25     31.00
WA702       0400  26     27.00
WA702       0400  27     30.00
WA702       0400  28     29.00
WA702       0400  29     28.00
WA702       0400  30     33.00
WA702       0500   1     37.00
WA702       0500   2     38.00
WA702       0500   3     33.00
WA702       0500   4     31.00
WA702       0500   5     31.00
WA702       0500   6     23.00
WA702       0500   7     24.00
WA702       0500   8     35.00
WA702       0500   9     31.00
WA702       0500  10     29.00
WA702       0500  11     29.00
WA702       0500  12     26.00
WA702       0500  13     33.00
WA702       0500  14     34.00
WA702       0500  15     32.00
WA702       0500  16     33.00
WA702       0500  17     30.00
WA702       0500  18     35.00
WA702       0500  19     35.00
WA702       0500  20     34.00
WA702       0500  21     38.00
WA702       0500  22     39.00
WA702       0500  23     33.00
WA702       0500  24     30.00
WA702       0500  25     30.00
WA702       0500  26     38.00
WA702       0500  27     37.00
WA702       0500  28     35.00
WA702       0500  29     36.00
WA702       0500  30     34.00
WA702       0500  31     34.00
WA702       0600   1     37.00
WA702       0600   2     33.00
WA702       0600   3     32.00
