$ Get data for 711:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:32:43 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA711           Rainy Pass
01  2000 02   2016  1   f10.2
WA711       0100   1     20.00
WA711       0100   2     13.00
WA711       0100   3     13.00
WA711       0100   4     17.00
WA711       0100   5     17.00
WA711       0100   6     17.00
WA711       0100   7     22.00
WA711       0100   8     19.00
WA711       0100   9     16.00
WA711       0100  10     15.00
WA711       0100  11     13.00
WA711       0100  12     14.00
WA711       0100  13     16.00
WA711       0100  14     20.00
WA711       0100  15     15.00
WA711       0100  16     17.00
WA711       0100  17     12.00
WA711       0100  18     10.00
WA711       0100  19      8.00
WA711       0100  20     13.00
WA711       0100  21     14.00
WA711       0100  22     15.00
WA711       0100  23     17.00
WA711       0100  24     18.00
WA711       0100  25     23.00
WA711       0100  26     22.00
WA711       0100  27     15.00
WA711       0100  28     13.00
WA711       0100  29     10.00
WA711       0100  30      7.00
WA711       0100  31     17.00
WA711       0200   1     20.00
WA711       0200   2     21.00
WA711       0200   3     18.00
WA711       0200   4     18.00
WA711       0200   5     14.00
WA711       0200   6     24.00
WA711       0200   7     27.00
WA711       0200   8     25.00
WA711       0200   9     17.00
WA711       0200  10     14.00
WA711       0200  11     14.00
WA711       0200  12     16.00
WA711       0200  13     16.00
WA711       0200  14     18.00
WA711       0200  15     20.00
WA711       0200  16     12.00
WA711       0200  17     12.00
WA711       0200  18     12.00
WA711       0200  19     11.00
WA711       0200  20     11.00
WA711       0200  21     25.00
WA711       0200  22     26.00
WA711       0200  23     16.00
WA711       0200  24     14.00
WA711       0200  25     11.00
WA711       0200  26     18.00
WA711       0200  27     25.00
WA711       0200  28     25.00
WA711       0200  29     25.00
WA711       0300   1     25.00
WA711       0300   2     26.00
WA711       0300   3     24.00
WA711       0300   4     24.00
WA711       0300   5     18.00
WA711       0300   6     12.00
WA711       0300   7     11.00
WA711       0300   8     21.00
WA711       0300   9     23.00
WA711       0300  10     20.00
WA711       0300  11     24.00
WA711       0300  12     20.00
WA711       0300  13     19.00
WA711       0300  14     23.00
WA711       0300  15     16.00
WA711       0300  16     22.00
WA711       0300  17     21.00
WA711       0300  18     23.00
WA711       0300  19     21.00
WA711       0300  20     16.00
WA711       0300  21     23.00
WA711       0300  22     26.00
WA711       0300  23     20.00
WA711       0300  24     17.00
WA711       0300  25     22.00
WA711       0300  26     20.00
WA711       0300  27     26.00
WA711       0300  28     23.00
WA711       0300  29     21.00
WA711       0300  30     18.00
WA711       0300  31     25.00
WA711       0400   1     30.00
WA711       0400   2     29.00
WA711       0400   3     32.00
WA711       0400   4     24.00
WA711       0400   5     21.00
WA711       0400   6     17.00
WA711       0400   7     16.00
WA711       0400   8     27.00
WA711       0400   9     31.00
WA711       0400  10     32.00
WA711       0400  11     31.00
WA711       0400  12     33.00
WA711       0400  13     33.00
WA711       0400  14     32.00
WA711       0400  15     27.00
WA711       0400  16     26.00
WA711       0400  17     29.00
WA711       0400  18     32.00
WA711       0400  19     30.00
WA711       0400  20     30.00
WA711       0400  21     31.00
WA711       0400  22     28.00
WA711       0400  23     20.00
WA711       0400  24     20.00
WA711       0400  25     25.00
WA711       0400  26     22.00
WA711       0400  27     29.00
WA711       0400  28     26.00
WA711       0400  29     26.00
WA711       0400  30     30.00
WA711       0500   1     33.00
WA711       0500   2     31.00
WA711       0500   3     29.00
WA711       0500   4     28.00
WA711       0500   5     26.00
WA711       0500   6     22.00
WA711       0500   7     23.00
WA711       0500   8     29.00
WA711       0500   9     30.00
WA711       0500  10     28.00
WA711       0500  11     28.00
WA711       0500  12     29.00
WA711       0500  13     27.00
WA711       0500  14     35.00
WA711       0500  15     35.00
WA711       0500  16     35.00
WA711       0500  17     31.00
WA711       0500  18     32.00
WA711       0500  19     35.00
WA711       0500  20     35.00
WA711       0500  21     36.00
WA711       0500  22     33.00
WA711       0500  23     31.00
WA711       0500  24     31.00
WA711       0500  25     27.00
WA711       0500  26     33.00
WA711       0500  27     33.00
WA711       0500  28     32.00
WA711       0500  29     32.00
WA711       0500  30     32.00
WA711       0500  31     33.00
WA711       0600   1     32.00
WA711       0600   2     34.00
WA711       0600   3     33.00
WA711       0600   4     39.00
WA711       0600   5     36.00
WA711       0600   6     32.00
WA711       0600   7     36.00
WA711       0600   8     35.00
WA711       0600   9     34.00
WA711       0600  10     31.00
WA711       0600  11     31.00
WA711       0600  12     33.00
WA711       0600  13     36.00
WA711       0600  14     37.00
WA711       0600  15     34.00
WA711       0600  16     32.00
WA711       0600  17     39.00
WA711       0600  18     36.00
WA711       0600  19     35.00
WA711       0600  20     35.00
WA711       0600  21     37.00
WA711       0600  22     33.00
WA711       0600  23     38.00
WA711       0600  24     38.00
WA711       0600  25     38.00
WA711       0600  26     44.00
WA711       0600  27     47.00
WA711       0600  28     47.00
WA711       0600  29     46.00
WA711       0600  30     41.00
WA711       0700   1     34.00
WA711       0700   2     35.00
WA711       0700   3     32.00
WA711       0700   4     33.00
WA711       0700   5     33.00
WA711       0700   6     41.00
WA711       0700   7     40.00
WA711       0700   8     44.00
WA711       0700   9     42.00
WA711       0700  10     42.00
WA711       0700  11     44.00
WA711       0700  12     44.00
WA711       0700  13     42.00
WA711       0700  14     39.00
WA711       0700  15     36.00
WA711       0700  16     42.00
WA711       0700  17     47.00
WA711       0700  18     45.00
WA711       0700  19     47.00
WA711       0700  20     46.00
WA711       0700  21     49.00
WA711       0700  22     45.00
WA711       0700  23     43.00
WA711       0700  24     40.00
WA711       0700  25     45.00
WA711       0700  26     45.00
WA711       0700  27     44.00
WA711       0700  28     47.00
WA711       0700  29     47.00
WA711       0700  30     50.00
WA711       0700  31     53.00
WA711       0800   1     47.00
WA711       0800   2     44.00
WA711       0800   3     45.00
WA711       0800   4     49.00
WA711       0800   5     50.00
WA711       0800   6     48.00
WA711       0800   7     46.00
WA711       0800   8     46.00
WA711       0800   9     47.00
WA711       0800  10     46.00
