$ Get data for 734:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:34:09 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA734           Sasse Ridge
01  2000 02   2016  1   f10.2
WA734       0100   1     22.00
WA734       0100   2     18.00
WA734       0100   3     19.00
WA734       0100   4     23.00
WA734       0100   5     19.00
WA734       0100   6     22.00
WA734       0100   7     28.00
WA734       0100   8     22.00
WA734       0100   9     19.00
WA734       0100  10     19.00
WA734       0100  11     18.00
WA734       0100  12     17.00
WA734       0100  13     22.00
WA734       0100  14     21.00
WA734       0100  15     19.00
WA734       0100  16     20.00
WA734       0100  17     20.00
WA734       0100  18     17.00
WA734       0100  19     14.00
WA734       0100  20     18.00
WA734       0100  21     18.00
WA734       0100  22     21.00
WA734       0100  23     15.00
WA734       0100  24     20.00
WA734       0100  25     24.00
WA734       0100  26     20.00
WA734       0100  27     20.00
WA734       0100  28     17.00
WA734       0100  29     11.00
WA734       0100  30     12.00
WA734       0100  31     19.00
WA734       0200   1     22.00
WA734       0200   2     26.00
WA734       0200   3     24.00
WA734       0200   4     21.00
WA734       0200   5     20.00
WA734       0200   6     29.00
WA734       0200   7     29.00
WA734       0200   8     26.00
WA734       0200   9     22.00
WA734       0200  10     21.00
WA734       0200  11     23.00
WA734       0200  12     21.00
WA734       0200  13     17.00
WA734       0200  14     22.00
WA734       0200  15     22.00
WA734       0200  16     20.00
WA734       0200  17     18.00
WA734       0200  18     18.00
WA734       0200  19     16.00
WA734       0200  20     20.00
WA734       0200  21     28.00
WA734       0200  22     27.00
WA734       0200  23     21.00
WA734       0200  24     20.00
WA734       0200  25     19.00
WA734       0200  26     25.00
WA734       0200  27     28.00
WA734       0200  28     28.00
WA734       0200  29     28.00
WA734       0300   1     24.00
WA734       0300   2     27.00
WA734       0300   3     28.00
WA734       0300   4     21.00
WA734       0300   5     21.00
WA734       0300   6     18.00
WA734       0300   7     17.00
WA734       0300   8     25.00
WA734       0300   9     25.00
WA734       0300  10     23.00
WA734       0300  11     22.00
WA734       0300  12     21.00
WA734       0300  13     28.00
WA734       0300  14     20.00
WA734       0300  15     19.00
WA734       0300  16     25.00
WA734       0300  17     23.00
WA734       0300  18     24.00
WA734       0300  19     22.00
WA734       0300  20     19.00
WA734       0300  21     29.00
WA734       0300  22     24.00
WA734       0300  23     23.00
WA734       0300  24     23.00
WA734       0300  25     26.00
WA734       0300  26     24.00
WA734       0300  27     27.00
WA734       0300  28     23.00
WA734       0300  29     22.00
WA734       0300  30     26.00
WA734       0300  31     33.00
WA734       0400   1     36.00
