$ Get data for 804:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:39:56 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA804           Surprise Lakes
01  2000 02   2016  1   f10.2
WA804       0100   1     25.00
WA804       0100   2     22.00
WA804       0100   3     22.00
WA804       0100   4     27.00
WA804       0100   5     20.00
WA804       0100   6     19.00
WA804       0100   7     27.00
WA804       0100   8     25.00
WA804       0100   9     22.00
WA804       0100  10     23.00
WA804       0100  11   -999.00
WA804       0100  12     20.00
WA804       0100  13     24.00
WA804       0100  14     23.00
WA804       0100  15     16.00
WA804       0100  16     24.00
WA804       0100  17     20.00
WA804       0100  18     22.00
WA804       0100  19     19.00
WA804       0100  20     21.00
WA804       0100  21     21.00
WA804       0100  22     23.00
WA804       0100  23     18.00
WA804       0100  24     20.00
WA804       0100  25     26.00
WA804       0100  26     24.00
WA804       0100  27     20.00
WA804       0100  28     18.00
WA804       0100  29     14.00
WA804       0100  30     17.00
WA804       0100  31     19.00
WA804       0200   1     29.00
WA804       0200   2     28.00
WA804       0200   3     30.00
WA804       0200   4     25.00
WA804       0200   5     25.00
WA804       0200   6     29.00
WA804       0200   7     30.00
WA804       0200   8     28.00
WA804       0200   9     24.00
WA804       0200  10     26.00
WA804       0200  11     27.00
WA804       0200  12     18.00
WA804       0200  13     16.00
WA804       0200  14     26.00
WA804       0200  15     20.00
WA804       0200  16     21.00
WA804       0200  17     22.00
WA804       0200  18     18.00
WA804       0200  19     24.00
WA804       0200  20     24.00
WA804       0200  21     29.00
WA804       0200  22     27.00
WA804       0200  23     24.00
WA804       0200  24     16.00
WA804       0200  25     15.00
WA804       0200  26     28.00
WA804       0200  27     31.00
WA804       0200  28     29.00
WA804       0200  29     26.00
WA804       0300   1     20.00
WA804       0300   2     30.00
WA804       0300   3     27.00
WA804       0300   4     23.00
WA804       0300   5     18.00
WA804       0300   6     16.00
WA804       0300   7     16.00
WA804       0300   8     27.00
WA804       0300   9     27.00
WA804       0300  10     22.00
WA804       0300  11     26.00
WA804       0300  12     21.00
WA804       0300  13     26.00
WA804       0300  14     23.00
WA804       0300  15     17.00
WA804       0300  16     25.00
WA804       0300  17     25.00
WA804       0300  18     26.00
WA804       0300  19     21.00
WA804       0300  20     14.00
WA804       0300  21     27.00
WA804       0300  22     24.00
WA804       0300  23     23.00
WA804       0300  24     22.00
WA804       0300  25     25.00
WA804       0300  26     24.00
WA804       0300  27     26.00
WA804       0300  28     25.00
WA804       0300  29     22.00
WA804       0300  30     24.00
WA804       0300  31     27.00
WA804       0400   1     35.00
WA804       0400   2     33.00
WA804       0400   3     37.00
WA804       0400   4     24.00
WA804       0400   5     20.00
WA804       0400   6     25.00
WA804       0400   7     22.00
WA804       0400   8     36.00
WA804       0400   9     33.00
WA804       0400  10     29.00
WA804       0400  11     33.00
WA804       0400  12     38.00
WA804       0400  13     34.00
WA804       0400  14     34.00
WA804       0400  15     31.00
WA804       0400  16     31.00
WA804       0400  17     31.00
WA804       0400  18     31.00
WA804       0400  19     27.00
WA804       0400  20     33.00
WA804       0400  21     33.00
WA804       0400  22     29.00
WA804       0400  23     23.00
WA804       0400  24     19.00
WA804       0400  25     29.00
WA804       0400  26     26.00
WA804       0400  27     28.00
WA804       0400  28     28.00
WA804       0400  29     25.00
WA804       0400  30     36.00
WA804       0500   1     32.00
WA804       0500   2     35.00
WA804       0500   3     31.00
WA804       0500   4     29.00
WA804       0500   5     26.00
WA804       0500   6     22.00
WA804       0500   7     25.00
WA804       0500   8     34.00
WA804       0500   9     29.00
WA804       0500  10     26.00
WA804       0500  11     28.00
WA804       0500  12     26.00
WA804       0500  13     33.00
WA804       0500  14     38.00
WA804       0500  15     38.00
WA804       0500  16     35.00
WA804       0500  17     33.00
WA804       0500  18     32.00
WA804       0500  19     37.00
WA804       0500  20     39.00
WA804       0500  21     42.00
WA804       0500  22     36.00
WA804       0500  23     34.00
WA804       0500  24     33.00
WA804       0500  25     33.00
WA804       0500  26     35.00
WA804       0500  27     35.00
WA804       0500  28     34.00
WA804       0500  29     33.00
WA804       0500  30     32.00
WA804       0500  31     33.00
WA804       0600   1     37.00
WA804       0600   2     38.00
WA804       0600   3     38.00
WA804       0600   4     49.00
WA804       0600   5     39.00
WA804       0600   6     38.00
WA804       0600   7     39.00
WA804       0600   8     35.00
WA804       0600   9     32.00
WA804       0600  10     31.00
WA804       0600  11     32.00
WA804       0600  12     40.00
WA804       0600  13     39.00
WA804       0600  14     42.00
WA804       0600  15     35.00
WA804       0600  16     34.00
WA804       0600  17     44.00
WA804       0600  18     37.00
WA804       0600  19     35.00
WA804       0600  20     37.00
WA804       0600  21     42.00
WA804       0600  22     39.00
WA804       0600  23     38.00
WA804       0600  24     39.00
WA804       0600  25     42.00
WA804       0600  26     49.00
WA804       0600  27     52.00
WA804       0600  28     49.00
WA804       0600  29     48.00
WA804       0600  30     44.00
WA804       0700   1     37.00
WA804       0700   2     36.00
WA804       0700   3     35.00
WA804       0700   4     37.00
WA804       0700   5     36.00
WA804       0700   6     41.00
WA804       0700   7     42.00
WA804       0700   8     44.00
WA804       0700   9     40.00
WA804       0700  10     40.00
WA804       0700  11     42.00
WA804       0700  12     41.00
WA804       0700  13     44.00
WA804       0700  14     38.00
WA804       0700  15     36.00
WA804       0700  16     51.00
WA804       0700  17     50.00
WA804       0700  18     45.00
WA804       0700  19     41.00
WA804       0700  20     47.00
WA804       0700  21     50.00
WA804       0700  22     46.00
WA804       0700  23     43.00
WA804       0700  24     45.00
WA804       0700  25     47.00
WA804       0700  26     44.00
WA804       0700  27     43.00
WA804       0700  28     51.00
WA804       0700  29     49.00
WA804       0700  30     54.00
WA804       0700  31     50.00
WA804       0800   1     46.00
WA804       0800   2     44.00
WA804       0800   3     46.00
WA804       0800   4     46.00
WA804       0800   5     49.00
WA804       0800   6     49.00
WA804       0800   7     46.00
WA804       0800   8     49.00
WA804       0800   9     48.00
WA804       0800  10     43.00
WA804       0800  11     38.00
WA804       0800  12     38.00
WA804       0800  13     39.00
WA804       0800  14     39.00
WA804       0800  15     41.00
WA804       0800  16     40.00
WA804       0800  17     42.00
WA804       0800  18     41.00
WA804       0800  19     39.00
WA804       0800  20     35.00
WA804       0800  21     39.00
WA804       0800  22     50.00
