$ Get data for 832:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:43:05 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA832           Trough
01  2000 02   2016  1   f10.2
WA832       0100   1     20.00
WA832       0100   2     15.00
WA832       0100   3     16.00
WA832       0100   4     22.00
WA832       0100   5     20.00
WA832       0100   6     25.00
WA832       0100   7     25.00
WA832       0100   8     20.00
WA832       0100   9     15.00
WA832       0100  10     15.00
WA832       0100  11     14.00
WA832       0100  12     12.00
WA832       0100  13     20.00
WA832       0100  14     18.00
WA832       0100  15     16.00
WA832       0100  16     15.00
WA832       0100  17     17.00
WA832       0100  18     12.00
WA832       0100  19     11.00
WA832       0100  20     22.00
WA832       0100  21     21.00
WA832       0100  22     20.00
WA832       0100  23     17.00
WA832       0100  24     18.00
WA832       0100  25     20.00
WA832       0100  26     18.00
WA832       0100  27     19.00
WA832       0100  28     18.00
WA832       0100  29     11.00
WA832       0100  30      9.00
WA832       0100  31     19.00
WA832       0200   1     23.00
WA832       0200   2     23.00
WA832       0200   3     21.00
WA832       0200   4     22.00
WA832       0200   5     21.00
WA832       0200   6     29.00
WA832       0200   7     31.00
WA832       0200   8     22.00
WA832       0200   9     19.00
WA832       0200  10     19.00
WA832       0200  11     19.00
WA832       0200  12     19.00
WA832       0200  13     18.00
WA832       0200  14     18.00
WA832       0200  15     20.00
WA832       0200  16     18.00
WA832       0200  17     18.00
WA832       0200  18     19.00
WA832       0200  19     18.00
WA832       0200  20     19.00
WA832       0200  21     29.00
WA832       0200  22     25.00
WA832       0200  23     19.00
WA832       0200  24     17.00
WA832       0200  25     19.00
WA832       0200  26     23.00
WA832       0200  27     27.00
WA832       0200  28     25.00
WA832       0200  29     26.00
WA832       0300   1     21.00
WA832       0300   2     26.00
WA832       0300   3     27.00
WA832       0300   4     22.00
WA832       0300   5     22.00
WA832       0300   6     16.00
WA832       0300   7     15.00
WA832       0300   8     22.00
WA832       0300   9     23.00
WA832       0300  10     21.00
WA832       0300  11     21.00
WA832       0300  12     21.00
WA832       0300  13     25.00
WA832       0300  14     21.00
WA832       0300  15     21.00
WA832       0300  16     21.00
WA832       0300  17     20.00
WA832       0300  18     20.00
WA832       0300  19     18.00
WA832       0300  20     20.00
WA832       0300  21     28.00
WA832       0300  22     24.00
WA832       0300  23     20.00
WA832       0300  24     20.00
WA832       0300  25     27.00
WA832       0300  26     26.00
WA832       0300  27     24.00
WA832       0300  28     22.00
WA832       0300  29     20.00
WA832       0300  30     28.00
WA832       0300  31     32.00
WA832       0400   1     43.00
WA832       0400   2     41.00
WA832       0400   3     41.00
