$ Get data for 841:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:43:37 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA841           Upper Wheeler
01  2000 02   2016  1   f10.2
WA841       0100   1     23.00
WA841       0100   2     16.00
WA841       0100   3     18.00
WA841       0100   4     25.00
WA841       0100   5     21.00
WA841       0100   6     23.00
WA841       0100   7     24.00
WA841       0100   8     26.00
WA841       0100   9     19.00
WA841       0100  10     17.00
WA841       0100  11     17.00
WA841       0100  12     17.00
WA841       0100  13     20.00
WA841       0100  14     22.00
WA841       0100  15     18.00
WA841       0100  16     19.00
WA841       0100  17     18.00
WA841       0100  18     16.00
WA841       0100  19     12.00
WA841       0100  20     14.00
WA841       0100  21     14.00
WA841       0100  22     21.00
WA841       0100  23     15.00
WA841       0100  24     21.00
WA841       0100  25     21.00
WA841       0100  26     19.00
WA841       0100  27     17.00
WA841       0100  28      9.00
WA841       0100  29     11.00
WA841       0100  30     12.00
WA841       0100  31     16.00
WA841       0200   1     27.00
WA841       0200   2     25.00
WA841       0200   3     23.00
WA841       0200   4     20.00
WA841       0200   5     18.00
WA841       0200   6     26.00
WA841       0200   7     26.00
WA841       0200   8     27.00
WA841       0200   9     21.00
WA841       0200  10     18.00
WA841       0200  11     21.00
WA841       0200  12     19.00
WA841       0200  13     17.00
WA841       0200  14     22.00
WA841       0200  15     21.00
WA841       0200  16     16.00
WA841       0200  17     15.00
WA841       0200  18     15.00
WA841       0200  19     12.00
WA841       0200  20     17.00
WA841       0200  21     25.00
WA841       0200  22     28.00
WA841       0200  23     19.00
WA841       0200  24     17.00
WA841       0200  25     17.00
WA841       0200  26     23.00
WA841       0200  27     26.00
WA841       0200  28     27.00
WA841       0200  29     27.00
WA841       0300   1     23.00
WA841       0300   2     28.00
WA841       0300   3     26.00
WA841       0300   4     27.00
WA841       0300   5     25.00
WA841       0300   6     17.00
WA841       0300   7     15.00
WA841       0300   8     25.00
WA841       0300   9     24.00
WA841       0300  10     21.00
WA841       0300  11     23.00
WA841       0300  12     20.00
WA841       0300  13     26.00
WA841       0300  14     23.00
WA841       0300  15     20.00
WA841       0300  16     25.00
WA841       0300  17     21.00
WA841       0300  18     25.00
WA841       0300  19     20.00
WA841       0300  20     18.00
WA841       0300  21     27.00
WA841       0300  22     29.00
WA841       0300  23     24.00
WA841       0300  24     22.00
WA841       0300  25     27.00
WA841       0300  26     26.00
WA841       0300  27     29.00
WA841       0300  28     27.00
WA841       0300  29     25.00
WA841       0300  30     26.00
WA841       0300  31     30.00
WA841       0400   1     36.00
WA841       0400   2     34.00
WA841       0400   3     38.00
WA841       0400   4     26.00
WA841       0400   5     24.00
WA841       0400   6     25.00
WA841       0400   7     23.00
WA841       0400   8     31.00
WA841       0400   9     36.00
WA841       0400  10     34.00
WA841       0400  11     37.00
WA841       0400  12     40.00
WA841       0400  13     37.00
WA841       0400  14     35.00
WA841       0400  15     31.00
WA841       0400  16     31.00
WA841       0400  17     32.00
WA841       0400  18     33.00
WA841       0400  19     31.00
WA841       0400  20     37.00
WA841       0400  21     37.00
WA841       0400  22     30.00
WA841       0400  23     24.00
WA841       0400  24     22.00
WA841       0400  25     29.00
WA841       0400  26     26.00
WA841       0400  27     35.00
WA841       0400  28     28.00
WA841       0400  29     26.00
WA841       0400  30     34.00
WA841       0500   1     38.00
WA841       0500   2     36.00
WA841       0500   3     31.00
WA841       0500   4     30.00
WA841       0500   5     28.00
WA841       0500   6     26.00
WA841       0500   7     28.00
WA841       0500   8     35.00
WA841       0500   9     30.00
WA841       0500  10     28.00
WA841       0500  11     31.00
WA841       0500  12     28.00
WA841       0500  13     35.00
WA841       0500  14     40.00
WA841       0500  15     39.00
WA841       0500  16     40.00
WA841       0500  17     34.00
