$ Get data for 863:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:44:55 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA863           White Pass E.s.
01  2000 02   2016  1   f10.2
WA863       0100   1     23.00
WA863       0100   2     19.00
WA863       0100   3     19.00
WA863       0100   4     26.00
WA863       0100   5     20.00
WA863       0100   6     19.00
WA863       0100   7     30.00
WA863       0100   8     24.00
WA863       0100   9     20.00
WA863       0100  10     20.00
WA863       0100  11     19.00
WA863       0100  12     18.00
WA863       0100  13     21.00
WA863       0100  14     22.00
WA863       0100  15     14.00
WA863       0100  16     20.00
WA863       0100  17     16.00
WA863       0100  18     15.00
WA863       0100  19     12.00
WA863       0100  20     18.00
WA863       0100  21     18.00
WA863       0100  22     19.00
WA863       0100  23     15.00
WA863       0100  24     18.00
WA863       0100  25     23.00
WA863       0100  26     23.00
WA863       0100  27     17.00
WA863       0100  28     13.00
WA863       0100  29     11.00
WA863       0100  30     16.00
WA863       0100  31     17.00
WA863       0200   1     25.00
WA863       0200   2     27.00
WA863       0200   3     25.00
WA863       0200   4     20.00
WA863       0200   5     19.00
WA863       0200   6     27.00
WA863       0200   7     29.00
WA863       0200   8     27.00
WA863       0200   9     19.00
WA863       0200  10     16.00
WA863       0200  11     24.00
WA863       0200  12     23.00
WA863       0200  13     14.00
WA863       0200  14     23.00
WA863       0200  15     20.00
WA863       0200  16     15.00
WA863       0200  17     12.00
WA863       0200  18     14.00
WA863       0200  19     18.00
WA863       0200  20     17.00
WA863       0200  21     25.00
WA863       0200  22     27.00
WA863       0200  23     20.00
WA863       0200  24     16.00
WA863       0200  25     26.00
WA863       0200  26     26.00
WA863       0200  27     27.00
WA863       0200  28     29.00
WA863       0200  29     27.00
WA863       0300   1     20.00
WA863       0300   2     28.00
WA863       0300   3     25.00
WA863       0300   4     22.00
WA863       0300   5     21.00
WA863       0300   6     19.00
WA863       0300   7     14.00
WA863       0300   8     26.00
WA863       0300   9     24.00
WA863       0300  10     19.00
WA863       0300  11     25.00
WA863       0300  12     21.00
WA863       0300  13     25.00
WA863       0300  14     23.00
WA863       0300  15     15.00
WA863       0300  16     24.00
WA863       0300  17     24.00
WA863       0300  18     24.00
