$ Get data for 898:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:26:44 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA898           Mount Gardner
01  2000 02   2016  1   f10.2
WA898       0100   1     29.00
WA898       0100   2     26.00
WA898       0100   3     26.00
WA898       0100   4     29.00
WA898       0100   5     24.00
WA898       0100   6     24.00
WA898       0100   7     32.00
WA898       0100   8     28.00
WA898       0100   9     26.00
WA898       0100  10     26.00
WA898       0100  11   -999.00
WA898       0100  12     23.00
WA898       0100  13     27.00
WA898       0100  14     28.00
WA898       0100  15     25.00
WA898       0100  16     26.00
WA898       0100  17     26.00
WA898       0100  18     25.00
WA898       0100  19     22.00
WA898       0100  20     25.00
WA898       0100  21     24.00
WA898       0100  22     26.00
WA898       0100  23     23.00
WA898       0100  24     26.00
WA898       0100  25     30.00
WA898       0100  26     29.00
WA898       0100  27     27.00
WA898       0100  28     25.00
WA898       0100  29     22.00
WA898       0100  30     22.00
WA898       0100  31     26.00
WA898       0200   1     29.00
WA898       0200   2     32.00
WA898       0200   3     34.00
WA898       0200   4     31.00
WA898       0200   5     30.00
WA898       0200   6     33.00
WA898       0200   7     34.00
WA898       0200   8     32.00
WA898       0200   9     28.00
WA898       0200  10     27.00
WA898       0200  11     29.00
WA898       0200  12     28.00
WA898       0200  13     23.00
WA898       0200  14     29.00
WA898       0200  15     28.00
WA898       0200  16     27.00
WA898       0200  17     25.00
WA898       0200  18     26.00
WA898       0200  19     25.00
WA898       0200  20     30.00
WA898       0200  21     33.00
WA898       0200  22     31.00
WA898       0200  23     30.00
WA898       0200  24     26.00
WA898       0200  25     25.00
WA898       0200  26     30.00
WA898       0200  27     32.00
WA898       0200  28     32.00
WA898       0200  29     32.00
WA898       0300   1     31.00
WA898       0300   2     32.00
WA898       0300   3     32.00
WA898       0300   4     28.00
WA898       0300   5     29.00
WA898       0300   6     26.00
WA898       0300   7     24.00
WA898       0300   8     31.00
WA898       0300   9     29.00
WA898       0300  10     28.00
WA898       0300  11     31.00
WA898       0300  12     28.00
WA898       0300  13     32.00
WA898       0300  14     29.00
WA898       0300  15     25.00
WA898       0300  16     31.00
WA898       0300  17     30.00
WA898       0300  18     30.00
WA898       0300  19     29.00
WA898       0300  20     26.00
WA898       0300  21     33.00
WA898       0300  22     30.00
WA898       0300  23     29.00
WA898       0300  24     29.00
WA898       0300  25     29.00
WA898       0300  26     28.00
WA898       0300  27     31.00
WA898       0300  28     29.00
