$ Get data for 908:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:42:25 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA908           Alpine Meadows
01  2000 02   2016  1   f10.2
WA908       0100   1     27.00
WA908       0100   2     22.00
WA908       0100   3     23.00
WA908       0100   4     29.00
WA908       0100   5     25.00
WA908       0100   6     24.00
WA908       0100   7     31.00
WA908       0100   8     26.00
WA908       0100   9     22.00
WA908       0100  10     23.00
WA908       0100  11     23.00
WA908       0100  12     21.00
WA908       0100  13     26.00
WA908       0100  14     26.00
WA908       0100  15     23.00
WA908       0100  16     27.00
WA908       0100  17     24.00
WA908       0100  18     24.00
WA908       0100  19     23.00
WA908       0100  20     31.00
WA908       0100  21     30.00
WA908       0100  22     28.00
WA908       0100  23     24.00
WA908       0100  24     24.00
WA908       0100  25     29.00
WA908       0100  26     25.00
WA908       0100  27     25.00
WA908       0100  28     26.00
WA908       0100  29     28.00
WA908       0100  30     27.00
WA908       0100  31     30.00
WA908       0200   1     32.00
WA908       0200   2     30.00
WA908       0200   3     31.00
WA908       0200   4     31.00
WA908       0200   5     31.00
WA908       0200   6     34.00
WA908       0200   7     34.00
WA908       0200   8     30.00
WA908       0200   9     26.00
WA908       0200  10     25.00
WA908       0200  11     26.00
WA908       0200  12     26.00
WA908       0200  13     22.00
WA908       0200  14     25.00
WA908       0200  15     26.00
WA908       0200  16     25.00
WA908       0200  17     24.00
WA908       0200  18     25.00
WA908       0200  19     28.00
WA908       0200  20     31.00
WA908       0200  21     34.00
WA908       0200  22     30.00
WA908       0200  23     28.00
WA908       0200  24     24.00
WA908       0200  25     23.00
WA908       0200  26     28.00
WA908       0200  27     32.00
WA908       0200  28     31.00
WA908       0200  29     31.00
WA908       0300   1     28.00
WA908       0300   2     32.00
WA908       0300   3     31.00
WA908       0300   4     26.00
WA908       0300   5     25.00
WA908       0300   6     23.00
WA908       0300   7     21.00
WA908       0300   8     30.00
WA908       0300   9     29.00
WA908       0300  10     27.00
WA908       0300  11     29.00
WA908       0300  12     26.00
WA908       0300  13     30.00
WA908       0300  14     25.00
WA908       0300  15     23.00
WA908       0300  16     28.00
WA908       0300  17     28.00
WA908       0300  18     29.00
WA908       0300  19     25.00
WA908       0300  20     23.00
WA908       0300  21     31.00
WA908       0300  22     29.00
WA908       0300  23     28.00
WA908       0300  24     27.00
WA908       0300  25     29.00
WA908       0300  26     27.00
WA908       0300  27     29.00
WA908       0300  28     26.00
WA908       0300  29     26.00
WA908       0300  30     26.00
WA908       0300  31     31.00
WA908       0400   1     35.00
WA908       0400   2     34.00
WA908       0400   3     38.00
WA908       0400   4     29.00
WA908       0400   5     28.00
WA908       0400   6     25.00
WA908       0400   7     24.00
WA908       0400   8     36.00
WA908       0400   9     33.00
WA908       0400  10     33.00
WA908       0400  11     38.00
WA908       0400  12     39.00
WA908       0400  13     35.00
WA908       0400  14     34.00
WA908       0400  15     32.00
WA908       0400  16     32.00
WA908       0400  17     33.00
WA908       0400  18     33.00
WA908       0400  19     31.00
WA908       0400  20     34.00
WA908       0400  21     36.00
WA908       0400  22     31.00
WA908       0400  23     26.00
WA908       0400  24     24.00
WA908       0400  25     31.00
WA908       0400  26     29.00
WA908       0400  27     31.00
WA908       0400  28     30.00
WA908       0400  29     30.00
WA908       0400  30     36.00
WA908       0500   1     36.00
WA908       0500   2     36.00
WA908       0500   3     32.00
WA908       0500   4     31.00
WA908       0500   5     31.00
WA908       0500   6     31.00
WA908       0500   7     30.00
WA908       0500   8     35.00
WA908       0500   9     32.00
WA908       0500  10     31.00
WA908       0500  11     31.00
WA908       0500  12     31.00
WA908       0500  13     33.00
WA908       0500  14     38.00
WA908       0500  15     40.00
WA908       0500  16     36.00
WA908       0500  17     34.00
WA908       0500  18     35.00
WA908       0500  19     40.00
WA908       0500  20     38.00
