$ Get data for 909:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:44:29 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA909           Wells Creek
01  2000 02   2016  1   f10.2
WA909       0100   1     21.00
WA909       0100   2     16.00
WA909       0100   3     17.00
WA909       0100   4     26.00
WA909       0100   5     21.00
WA909       0100   6     21.00
WA909       0100   7     25.00
WA909       0100   8     22.00
WA909       0100   9     19.00
WA909       0100  10     17.00
WA909       0100  11     18.00
WA909       0100  12     18.00
WA909       0100  13     22.00
WA909       0100  14     22.00
WA909       0100  15     20.00
WA909       0100  16     25.00
WA909       0100  17     20.00
WA909       0100  18     18.00
WA909       0100  19     18.00
WA909       0100  20     26.00
WA909       0100  21     24.00
WA909       0100  22     23.00
WA909       0100  23     23.00
WA909       0100  24     22.00
WA909       0100  25     26.00
WA909       0100  26     22.00
WA909       0100  27     21.00
WA909       0100  28     21.00
WA909       0100  29     28.00
WA909       0100  30     28.00
WA909       0100  31     28.00
WA909       0200   1     28.00
WA909       0200   2     26.00
WA909       0200   3     28.00
WA909       0200   4     29.00
WA909       0200   5     29.00
WA909       0200   6     31.00
WA909       0200   7     32.00
WA909       0200   8     27.00
WA909       0200   9     23.00
WA909       0200  10     22.00
WA909       0200  11     23.00
WA909       0200  12     22.00
WA909       0200  13     18.00
WA909       0200  14     22.00
WA909       0200  15     21.00
WA909       0200  16     19.00
WA909       0200  17     21.00
WA909       0200  18     20.00
WA909       0200  19     27.00
WA909       0200  20     30.00
WA909       0200  21     31.00
WA909       0200  22     28.00
WA909       0200  23     21.00
WA909       0200  24     20.00
WA909       0200  25     20.00
WA909       0200  26     24.00
WA909       0200  27     29.00
WA909       0200  28     27.00
WA909       0200  29     29.00
WA909       0300   1     27.00
WA909       0300   2     27.00
WA909       0300   3     28.00
WA909       0300   4     26.00
WA909       0300   5     19.00
WA909       0300   6     17.00
WA909       0300   7     17.00
WA909       0300   8     26.00
WA909       0300   9     26.00
WA909       0300  10     25.00
WA909       0300  11     24.00
WA909       0300  12     22.00
WA909       0300  13     26.00
WA909       0300  14     23.00
WA909       0300  15     22.00
WA909       0300  16     24.00
WA909       0300  17     24.00
WA909       0300  18     24.00
WA909       0300  19     20.00
WA909       0300  20     20.00
WA909       0300  21     27.00
WA909       0300  22     25.00
WA909       0300  23     24.00
WA909       0300  24     23.00
WA909       0300  25     26.00
WA909       0300  26     24.00
WA909       0300  27     27.00
WA909       0300  28     24.00
WA909       0300  29     23.00
WA909       0300  30     22.00
WA909       0300  31     29.00
WA909       0400   1     33.00
WA909       0400   2     32.00
WA909       0400   3     40.00
WA909       0400   4     26.00
WA909       0400   5     24.00
WA909       0400   6     21.00
WA909       0400   7     21.00
WA909       0400   8     35.00
WA909       0400   9     34.00
WA909       0400  10     33.00
WA909       0400  11     37.00
WA909       0400  12     38.00
WA909       0400  13     33.00
WA909       0400  14     31.00
WA909       0400  15     31.00
WA909       0400  16     29.00
WA909       0400  17     28.00
WA909       0400  18     34.00
WA909       0400  19     29.00
WA909       0400  20     32.00
WA909       0400  21     35.00
WA909       0400  22     28.00
WA909       0400  23     21.00
WA909       0400  24     21.00
WA909       0400  25     29.00
WA909       0400  26     27.00
WA909       0400  27     29.00
WA909       0400  28     27.00
WA909       0400  29     28.00
WA909       0400  30     33.00
WA909       0500   1     34.00
WA909       0500   2     33.00
WA909       0500   3     29.00
WA909       0500   4     29.00
WA909       0500   5     26.00
WA909       0500   6     27.00
WA909       0500   7     26.00
WA909       0500   8     31.00
WA909       0500   9     30.00
WA909       0500  10     29.00
WA909       0500  11     29.00
WA909       0500  12     29.00
WA909       0500  13     33.00
WA909       0500  14     40.00
WA909       0500  15     42.00
WA909       0500  16     38.00
WA909       0500  17     35.00
WA909       0500  18     35.00
WA909       0500  19     38.00
WA909       0500  20     38.00
WA909       0500  21     38.00
WA909       0500  22     33.00
WA909       0500  23     31.00
WA909       0500  24     34.00
WA909       0500  25     33.00
WA909       0500  26     33.00
WA909       0500  27     34.00
WA909       0500  28     34.00
WA909       0500  29     35.00
WA909       0500  30     34.00
WA909       0500  31     36.00
WA909       0600   1     34.00
WA909       0600   2     39.00
WA909       0600   3     41.00
WA909       0600   4     53.00
WA909       0600   5     38.00
WA909       0600   6     37.00
WA909       0600   7     41.00
WA909       0600   8     38.00
WA909       0600   9     35.00
WA909       0600  10     31.00
WA909       0600  11     31.00
WA909       0600  12     38.00
WA909       0600  13     39.00
WA909       0600  14     40.00
WA909       0600  15     36.00
WA909       0600  16     39.00
WA909       0600  17     46.00
WA909       0600  18     39.00
WA909       0600  19     39.00
WA909       0600  20     38.00
WA909       0600  21     41.00
WA909       0600  22     39.00
WA909       0600  23     38.00
WA909       0600  24     41.00
WA909       0600  25     46.00
WA909       0600  26     53.00
WA909       0600  27     57.00
WA909       0600  28     55.00
WA909       0600  29     47.00
WA909       0600  30     40.00
WA909       0700   1     34.00
WA909       0700   2     35.00
WA909       0700   3     35.00
WA909       0700   4     38.00
WA909       0700   5     41.00
WA909       0700   6     41.00
WA909       0700   7     42.00
WA909       0700   8     45.00
WA909       0700   9     45.00
WA909       0700  10     44.00
WA909       0700  11     44.00
WA909       0700  12     42.00
WA909       0700  13     44.00
WA909       0700  14     40.00
WA909       0700  15     38.00
WA909       0700  16     48.00
WA909       0700  17     51.00
WA909       0700  18     49.00
WA909       0700  19     45.00
WA909       0700  20     49.00
WA909       0700  21     53.00
WA909       0700  22     44.00
WA909       0700  23     44.00
WA909       0700  24     44.00
WA909       0700  25     46.00
WA909       0700  26     45.00
WA909       0700  27     46.00
WA909       0700  28     48.00
WA909       0700  29     47.00
WA909       0700  30     54.00
WA909       0700  31     51.00
WA909       0800   1     47.00
WA909       0800   2     47.00
WA909       0800   3     49.00
WA909       0800   4     52.00
WA909       0800   5     54.00
WA909       0800   6     50.00
WA909       0800   7     48.00
WA909       0800   8     49.00
WA909       0800   9     50.00
WA909       0800  10     45.00
WA909       0800  11     40.00
WA909       0800  12     39.00
WA909       0800  13     40.00
WA909       0800  14     40.00
WA909       0800  15     41.00
WA909       0800  16     41.00
WA909       0800  17     44.00
WA909       0800  18     41.00
WA909       0800  19     38.00
WA909       0800  20     39.00
WA909       0800  21     40.00
WA909       0800  22     47.00
WA909       0800  23     52.00
WA909       0800  24     49.00
WA909       0800  25     46.00
WA909       0800  26     41.00
WA909       0800  27     38.00
WA909       0800  28     37.00
WA909       0800  29     43.00
WA909       0800  30     42.00
WA909       0800  31     37.00
WA909       0900   1     36.00
WA909       0900   2     38.00
WA909       0900   3     39.00
WA909       0900   4     38.00
WA909       0900   5     37.00
WA909       0900   6     40.00
WA909       0900   7     39.00
WA909       0900   8     37.00
WA909       0900   9     37.00
WA909       0900  10     37.00
WA909       0900  11     36.00
WA909       0900  12     45.00
WA909       0900  13     44.00
WA909       0900  14     57.00
WA909       0900  15     50.00
WA909       0900  16     47.00
WA909       0900  17     45.00
WA909       0900  18     48.00
WA909       0900  19     43.00
WA909       0900  20     43.00
WA909       0900  21     34.00
WA909       0900  22     33.00
WA909       0900  23     36.00
WA909       0900  24     45.00
WA909       0900  25     48.00
WA909       0900  26     49.00
WA909       0900  27     49.00
WA909       0900  28     41.00
WA909       0900  29     43.00
WA909       0900  30     36.00
WA909       1000   1     33.00
WA909       1000   2     31.00
WA909       1000   3     31.00
WA909       1000   4     32.00
WA909       1000   5     36.00
WA909       1000   6     44.00
WA909       1000   7     49.00
WA909       1000   8     45.00
WA909       1000   9     42.00
WA909       1000  10     39.00
WA909       1000  11     41.00
WA909       1000  12     35.00
WA909       1000  13     38.00
WA909       1000  14     30.00
WA909       1000  15     29.00
WA909       1000  16     35.00
WA909       1000  17     41.00
WA909       1000  18     33.00
WA909       1000  19     31.00
WA909       1000  20     32.00
WA909       1000  21     28.00
WA909       1000  22     29.00
WA909       1000  23     40.00
WA909       1000  24     42.00
WA909       1000  25     39.00
WA909       1000  26     38.00
WA909       1000  27     36.00
WA909       1000  28     32.00
WA909       1000  29     32.00
WA909       1000  30     30.00
WA909       1000  31     28.00
WA909       1100   1     27.00
WA909       1100   2     31.00
WA909       1100   3     36.00
WA909       1100   4     29.00
WA909       1100   5     28.00
WA909       1100   6     29.00
WA909       1100   7     30.00
WA909       1100   8     26.00
WA909       1100   9     24.00
WA909       1100  10     17.00
WA909       1100  11     17.00
WA909       1100  12     19.00
WA909       1100  13     23.00
WA909       1100  14     22.00
WA909       1100  15     21.00
WA909       1100  16     21.00
WA909       1100  17     25.00
WA909       1100  18     28.00
WA909       1100  19     34.00
WA909       1100  20     35.00
WA909       1100  21     34.00
WA909       1100  22     31.00
WA909       1100  23     30.00
WA909       1100  24     29.00
WA909       1100  25     27.00
WA909       1100  26     27.00
WA909       1100  27     24.00
WA909       1100  28     20.00
WA909       1100  29     29.00
WA909       1100  30     29.00
WA909       1200   1     31.00
WA909       1200   2     27.00
WA909       1200   3     25.00
WA909       1200   4     31.00
WA909       1200   5     34.00
WA909       1200   6     35.00
WA909       1200   7     32.00
WA909       1200   8     27.00
WA909       1200   9     19.00
WA909       1200  10      9.00
WA909       1200  11     12.00
WA909       1200  12     15.00
WA909       1200  13     15.00
WA909       1200  14     17.00
WA909       1200  15     14.00
WA909       1200  16     17.00
WA909       1200  17     22.00
WA909       1200  18     20.00
WA909       1200  19     18.00
WA909       1200  20     19.00
WA909       1200  21     29.00
WA909       1200  22     31.00
WA909       1200  23     31.00
WA909       1200  24     27.00
WA909       1200  25     28.00
WA909       1200  26     36.00
WA909       1200  27     26.00
WA909       1200  28     26.00
WA909       1200  29     36.00
WA909       1200  30     34.00
WA909       1200  31     30.00
WA909       0101   1     28.00
WA909       0101   2     37.00
WA909       0101   3     31.00
WA909       0101   4     29.00
WA909       0101   5     28.00
WA909       0101   6     23.00
WA909       0101   7     37.00
WA909       0101   8   -999.00
WA909       0101   9     24.00
WA909       0101  10     27.00
WA909       0101  11     29.00
WA909       0101  12     27.00
WA909       0101  13     25.00
WA909       0101  14     20.00
WA909       0101  15     20.00
WA909       0101  16     20.00
WA909       0101  17     26.00
WA909       0101  18     31.00
WA909       0101  19     25.00
WA909       0101  20     25.00
WA909       0101  21     28.00
