$ Get data for 911:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:33:12 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA911           Rex River
01  2000 02   2016  1   f10.2
WA911       0100   1     26.00
WA911       0100   2     22.00
WA911       0100   3     22.00
WA911       0100   4     28.00
WA911       0100   5     21.00
WA911       0100   6     20.00
WA911       0100   7     31.00
WA911       0100   8     24.00
WA911       0100   9     22.00
WA911       0100  10     22.00
WA911       0100  11     21.00
WA911       0100  12     20.00
WA911       0100  13     25.00
WA911       0100  14     25.00
WA911       0100  15     22.00
WA911       0100  16     24.00
WA911       0100  17     23.00
WA911       0100  18     23.00
WA911       0100  19     22.00
WA911       0100  20     26.00
WA911       0100  21     28.00
WA911       0100  22     27.00
WA911       0100  23     22.00
WA911       0100  24     26.00
WA911       0100  25     26.00
WA911       0100  26     26.00
WA911       0100  27     24.00
WA911       0100  28     26.00
WA911       0100  29     21.00
WA911       0100  30     22.00
WA911       0100  31     26.00
WA911       0200   1     30.00
WA911       0200   2     29.00
WA911       0200   3     33.00
WA911       0200   4     31.00
WA911       0200   5     29.00
WA911       0200   6     34.00
WA911       0200   7     35.00
WA911       0200   8     29.00
WA911       0200   9     25.00
WA911       0200  10     28.00
WA911       0200  11     27.00
WA911       0200  12     23.00
WA911       0200  13     20.00
WA911       0200  14     25.00
WA911       0200  15     26.00
WA911       0200  16     26.00
WA911       0200  17     24.00
WA911       0200  18     23.00
WA911       0200  19     24.00
WA911       0200  20     29.00
WA911       0200  21     33.00
WA911       0200  22     29.00
WA911       0200  23     26.00
WA911       0200  24     22.00
WA911       0200  25     21.00
WA911       0200  26     29.00
WA911       0200  27     31.00
WA911       0200  28     30.00
WA911       0200  29     30.00
WA911       0300   1     26.00
WA911       0300   2     31.00
WA911       0300   3     30.00
WA911       0300   4     23.00
WA911       0300   5     26.00
WA911       0300   6     22.00
WA911       0300   7     23.00
WA911       0300   8     29.00
WA911       0300   9     26.00
WA911       0300  10     26.00
WA911       0300  11     27.00
WA911       0300  12     25.00
WA911       0300  13     31.00
WA911       0300  14     25.00
WA911       0300  15     21.00
WA911       0300  16     26.00
WA911       0300  17     26.00
WA911       0300  18     26.00
WA911       0300  19     25.00
WA911       0300  20     22.00
WA911       0300  21     31.00
WA911       0300  22     26.00
WA911       0300  23     26.00
WA911       0300  24     26.00
WA911       0300  25     28.00
WA911       0300  26     25.00
WA911       0300  27     28.00
WA911       0300  28     26.00
WA911       0300  29     25.00
WA911       0300  30     24.00
WA911       0300  31     31.00
WA911       0400   1     36.00
WA911       0400   2     35.00
WA911       0400   3     40.00
WA911       0400   4     27.00
WA911       0400   5     26.00
WA911       0400   6     26.00
WA911       0400   7     26.00
WA911       0400   8     36.00
WA911       0400   9     33.00
WA911       0400  10     32.00
WA911       0400  11     40.00
WA911       0400  12     42.00
WA911       0400  13     34.00
WA911       0400  14     33.00
WA911       0400  15     32.00
WA911       0400  16     33.00
WA911       0400  17     33.00
WA911       0400  18     31.00
WA911       0400  19     30.00
WA911       0400  20     34.00
WA911       0400  21     37.00
WA911       0400  22     30.00
WA911       0400  23     26.00
WA911       0400  24     21.00
WA911       0400  25     30.00
WA911       0400  26     28.00
WA911       0400  27     30.00
WA911       0400  28     28.00
WA911       0400  29     29.00
WA911       0400  30     36.00
WA911       0500   1     38.00
WA911       0500   2     39.00
WA911       0500   3     31.00
WA911       0500   4     31.00
WA911       0500   5     30.00
WA911       0500   6     30.00
WA911       0500   7     30.00
WA911       0500   8     34.00
WA911       0500   9     31.00
WA911       0500  10     26.00
WA911       0500  11     29.00
WA911       0500  12     27.00
WA911       0500  13     40.00
WA911       0500  14     44.00
WA911       0500  15     41.00
WA911       0500  16     35.00
WA911       0500  17     33.00
WA911       0500  18     35.00
WA911       0500  19     41.00
WA911       0500  20     39.00
WA911       0500  21     43.00
WA911       0500  22     37.00
WA911       0500  23     32.00
WA911       0500  24     35.00
WA911       0500  25     33.00
WA911       0500  26     36.00
WA911       0500  27     37.00
WA911       0500  28     36.00
WA911       0500  29     35.00
WA911       0500  30     33.00
WA911       0500  31     34.00
WA911       0600   1     37.00
WA911       0600   2     39.00
WA911       0600   3     38.00
WA911       0600   4     51.00
WA911       0600   5     40.00
WA911       0600   6     40.00
WA911       0600   7     43.00
WA911       0600   8     37.00
WA911       0600   9     34.00
WA911       0600  10     32.00
WA911       0600  11     33.00
WA911       0600  12     40.00
WA911       0600  13     40.00
WA911       0600  14     42.00
WA911       0600  15     38.00
WA911       0600  16     37.00
WA911       0600  17     45.00
WA911       0600  18     38.00
WA911       0600  19     37.00
WA911       0600  20     40.00
WA911       0600  21     44.00
WA911       0600  22     39.00
WA911       0600  23     38.00
WA911       0600  24     42.00
WA911       0600  25     43.00
WA911       0600  26     51.00
WA911       0600  27     56.00
WA911       0600  28     54.00
WA911       0600  29     47.00
WA911       0600  30     46.00
WA911       0700   1     39.00
WA911       0700   2     37.00
WA911       0700   3     36.00
WA911       0700   4     38.00
WA911       0700   5     38.00
WA911       0700   6     41.00
WA911       0700   7     43.00
WA911       0700   8     45.00
WA911       0700   9     42.00
WA911       0700  10     44.00
WA911       0700  11     45.00
WA911       0700  12     43.00
WA911       0700  13     45.00
WA911       0700  14     38.00
WA911       0700  15     37.00
WA911       0700  16     52.00
WA911       0700  17     51.00
WA911       0700  18     45.00
WA911       0700  19     45.00
WA911       0700  20     48.00
WA911       0700  21     51.00
WA911       0700  22     46.00
WA911       0700  23     46.00
WA911       0700  24     44.00
WA911       0700  25     47.00
WA911       0700  26     45.00
WA911       0700  27     46.00
WA911       0700  28     50.00
WA911       0700  29     51.00
WA911       0700  30     54.00
WA911       0700  31     53.00
WA911       0800   1     47.00
WA911       0800   2     45.00
WA911       0800   3     47.00
WA911       0800   4     49.00
WA911       0800   5     52.00
WA911       0800   6     49.00
WA911       0800   7     48.00
WA911       0800   8     49.00
WA911       0800   9     48.00
WA911       0800  10     43.00
WA911       0800  11     40.00
WA911       0800  12     40.00
WA911       0800  13     41.00
WA911       0800  14     40.00
WA911       0800  15     41.00
WA911       0800  16     41.00
WA911       0800  17     43.00
WA911       0800  18     42.00
WA911       0800  19     42.00
WA911       0800  20     43.00
WA911       0800  21     41.00
WA911       0800  22     51.00
WA911       0800  23     53.00
WA911       0800  24     51.00
WA911       0800  25     46.00
WA911       0800  26     41.00
WA911       0800  27     38.00
WA911       0800  28     37.00
WA911       0800  29     44.00
WA911       0800  30     45.00
WA911       0800  31     38.00
WA911       0900   1     37.00
WA911       0900   2     37.00
WA911       0900   3     36.00
WA911       0900   4     38.00
WA911       0900   5     39.00
WA911       0900   6     40.00
WA911       0900   7     40.00
WA911       0900   8     36.00
WA911       0900   9     39.00
WA911       0900  10     44.00
WA911       0900  11     40.00
WA911       0900  12     44.00
WA911       0900  13     48.00
WA911       0900  14     52.00
WA911       0900  15     49.00
WA911       0900  16     47.00
WA911       0900  17     49.00
WA911       0900  18     51.00
WA911       0900  19     47.00
WA911       0900  20     45.00
WA911       0900  21     39.00
WA911       0900  22     34.00
WA911       0900  23     37.00
WA911       0900  24     47.00
WA911       0900  25     49.00
WA911       0900  26     51.00
WA911       0900  27     47.00
WA911       0900  28     42.00
WA911       0900  29     44.00
WA911       0900  30     48.00
WA911       1000   1     37.00
WA911       1000   2     32.00
WA911       1000   3     31.00
WA911       1000   4     30.00
WA911       1000   5     40.00
WA911       1000   6     44.00
WA911       1000   7     47.00
WA911       1000   8     44.00
WA911       1000   9     43.00
WA911       1000  10     38.00
WA911       1000  11     39.00
WA911       1000  12     38.00
WA911       1000  13     39.00
WA911       1000  14     31.00
WA911       1000  15     30.00
WA911       1000  16     38.00
WA911       1000  17     41.00
WA911       1000  18     34.00
WA911       1000  19     33.00
WA911       1000  20     31.00
WA911       1000  21     30.00
WA911       1000  22     29.00
WA911       1000  23     39.00
WA911       1000  24     41.00
WA911       1000  25     42.00
WA911       1000  26     36.00
WA911       1000  27     38.00
WA911       1000  28     32.00
WA911       1000  29     33.00
WA911       1000  30     33.00
WA911       1000  31     31.00
WA911       1100   1     29.00
WA911       1100   2     35.00
WA911       1100   3     35.00
WA911       1100   4     31.00
WA911       1100   5     31.00
WA911       1100   6     32.00
WA911       1100   7     31.00
WA911       1100   8     27.00
WA911       1100   9     24.00
WA911       1100  10     20.00
WA911       1100  11     18.00
WA911       1100  12     20.00
WA911       1100  13     22.00
WA911       1100  14     21.00
WA911       1100  15     21.00
WA911       1100  16     22.00
WA911       1100  17     23.00
WA911       1100  18     29.00
WA911       1100  19     29.00
WA911       1100  20     28.00
WA911       1100  21     30.00
WA911       1100  22     33.00
WA911       1100  23     32.00
WA911       1100  24     31.00
WA911       1100  25     31.00
WA911       1100  26     31.00
WA911       1100  27     25.00
WA911       1100  28     24.00
WA911       1100  29     27.00
WA911       1100  30     32.00
WA911       1200   1     31.00
WA911       1200   2     27.00
WA911       1200   3     28.00
WA911       1200   4     32.00
WA911       1200   5     39.00
WA911       1200   6     37.00
WA911       1200   7     34.00
WA911       1200   8     29.00
WA911       1200   9     24.00
WA911       1200  10     13.00
WA911       1200  11     14.00
WA911       1200  12     14.00
WA911       1200  13     18.00
WA911       1200  14     23.00
WA911       1200  15     19.00
WA911       1200  16     19.00
WA911       1200  17     22.00
WA911       1200  18     21.00
WA911       1200  19     23.00
WA911       1200  20     23.00
WA911       1200  21     23.00
WA911       1200  22     24.00
WA911       1200  23     29.00
WA911       1200  24     28.00
WA911       1200  25     31.00
WA911       1200  26     37.00
WA911       1200  27     28.00
WA911       1200  28     33.00
WA911       1200  29     33.00
WA911       1200  30     33.00
WA911       1200  31     29.00
WA911       0101   1     28.00
WA911       0101   2     38.00
WA911       0101   3     34.00
WA911       0101   4     37.00
WA911       0101   5     30.00
WA911       0101   6     26.00
WA911       0101   7     33.00
WA911       0101   8     27.00
WA911       0101   9     27.00
WA911       0101  10     28.00
WA911       0101  11     30.00
WA911       0101  12     29.00
WA911       0101  13     26.00
WA911       0101  14     25.00
WA911       0101  15     20.00
WA911       0101  16     20.00
WA911       0101  17     26.00
WA911       0101  18     35.00
WA911       0101  19     25.00
WA911       0101  20     26.00
WA911       0101  21     27.00
WA911       0101  22     28.00
WA911       0101  23     29.00
WA911       0101  24     29.00
WA911       0101  25     22.00
WA911       0101  26     26.00
WA911       0101  27     29.00
WA911       0101  28     24.00
WA911       0101  29     22.00
WA911       0101  30     26.00
WA911       0101  31     30.00
WA911       0201   1     31.00
WA911       0201   2     28.00
WA911       0201   3     27.00
WA911       0201   4     31.00
WA911       0201   5     24.00
WA911       0201   6     15.00
WA911       0201   7     12.00
WA911       0201   8     20.00
WA911       0201   9     19.00
WA911       0201  10     18.00
WA911       0201  11     23.00
WA911       0201  12     20.00
WA911       0201  13     23.00
WA911       0201  14     28.00
WA911       0201  15     20.00
WA911       0201  16     19.00
WA911       0201  17     24.00
WA911       0201  18     27.00
WA911       0201  19     29.00
WA911       0201  20     32.00
WA911       0201  21     30.00
WA911       0201  22     28.00
WA911       0201  23     29.00
WA911       0201  24     24.00
WA911       0201  25     22.00
WA911       0201  26     21.00
WA911       0201  27     29.00
