$ Get data for 942:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:46:39 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA942           Burnt Mountain
01  2000 02   2016  1   f10.2
WA942       0100   1     28.00
WA942       0100   2     23.00
WA942       0100   3     23.00
WA942       0100   4     30.00
WA942       0100   5     24.00
WA942       0100   6     25.00
WA942       0100   7     32.00
WA942       0100   8     26.00
WA942       0100   9     24.00
WA942       0100  10     24.00
WA942       0100  11     22.00
WA942       0100  12     21.00
WA942       0100  13     28.00
WA942       0100  14     25.00
WA942       0100  15     23.00
WA942       0100  16     27.00
WA942       0100  17     27.00
WA942       0100  18     28.00
WA942       0100  19     29.00
WA942       0100  20     32.00
WA942       0100  21     30.00
WA942       0100  22     29.00
WA942       0100  23     28.00
WA942       0100  24     28.00
WA942       0100  25     29.00
WA942       0100  26     28.00
WA942       0100  27     24.00
WA942       0100  28     29.00
WA942       0100  29     35.00
WA942       0100  30     34.00
WA942       0100  31     32.00
WA942       0200   1     32.00
WA942       0200   2     31.00
WA942       0200   3     40.00
WA942       0200   4     33.00
WA942       0200   5     36.00
WA942       0200   6     36.00
WA942       0200   7     36.00
WA942       0200   8     30.00
WA942       0200   9     28.00
WA942       0200  10     29.00
WA942       0200  11     29.00
WA942       0200  12     25.00
WA942       0200  13     23.00
WA942       0200  14     28.00
WA942       0200  15     26.00
WA942       0200  16     29.00
WA942       0200  17     28.00
WA942       0200  18     27.00
WA942       0200  19     31.00
WA942       0200  20     37.00
WA942       0200  21     36.00
WA942       0200  22     29.00
WA942       0200  23     28.00
WA942       0200  24     24.00
WA942       0200  25     25.00
WA942       0200  26     31.00
WA942       0200  27     33.00
WA942       0200  28     31.00
WA942       0200  29     31.00
WA942       0300   1     28.00
WA942       0300   2     33.00
WA942       0300   3     32.00
WA942       0300   4     24.00
WA942       0300   5     27.00
WA942       0300   6     24.00
WA942       0300   7     23.00
WA942       0300   8     31.00
WA942       0300   9     28.00
WA942       0300  10     29.00
WA942       0300  11     28.00
WA942       0300  12     27.00
WA942       0300  13     33.00
WA942       0300  14   -999.00
WA942       0300  15     24.00
WA942       0300  16     28.00
WA942       0300  17     27.00
WA942       0300  18     29.00
WA942       0300  19     27.00
WA942       0300  20     24.00
WA942       0300  21     32.00
WA942       0300  22     28.00
WA942       0300  23     28.00
WA942       0300  24     26.00
WA942       0300  25     30.00
WA942       0300  26     29.00
WA942       0300  27     30.00
WA942       0300  28     27.00
WA942       0300  29     26.00
WA942       0300  30     27.00
WA942       0300  31     36.00
WA942       0400   1     40.00
WA942       0400   2     38.00
WA942       0400   3     44.00
WA942       0400   4     29.00
WA942       0400   5     28.00
WA942       0400   6     29.00
WA942       0400   7     28.00
WA942       0400   8     39.00
WA942       0400   9     34.00
WA942       0400  10     34.00
WA942       0400  11     42.00
WA942       0400  12     45.00
WA942       0400  13     36.00
WA942       0400  14     35.00
WA942       0400  15     34.00
WA942       0400  16     34.00
WA942       0400  17     36.00
WA942       0400  18     33.00
WA942       0400  19     30.00
WA942       0400  20     36.00
WA942       0400  21     38.00
WA942       0400  22     32.00
WA942       0400  23     28.00
WA942       0400  24     23.00
WA942       0400  25     32.00
WA942       0400  26     29.00
WA942       0400  27     31.00
WA942       0400  28     30.00
WA942       0400  29     29.00
WA942       0400  30     39.00
WA942       0500   1     39.00
WA942       0500   2     39.00
WA942       0500   3     33.00
WA942       0500   4     31.00
WA942       0500   5     32.00
WA942       0500   6     30.00
WA942       0500   7     32.00
WA942       0500   8     34.00
WA942       0500   9     31.00
WA942       0500  10     30.00
WA942       0500  11     30.00
WA942       0500  12     29.00
WA942       0500  13     41.00
WA942       0500  14     43.00
WA942       0500  15     42.00
WA942       0500  16     37.00
WA942       0500  17     36.00
WA942       0500  18     37.00
WA942       0500  19     44.00
WA942       0500  20     40.00
WA942       0500  21     43.00
WA942       0500  22     38.00
WA942       0500  23     36.00
WA942       0500  24     36.00
WA942       0500  25     36.00
WA942       0500  26     39.00
WA942       0500  27     38.00
WA942       0500  28     38.00
WA942       0500  29     37.00
WA942       0500  30     34.00
WA942       0500  31     36.00
WA942       0600   1     37.00
WA942       0600   2     42.00
WA942       0600   3     43.00
WA942       0600   4     50.00
WA942       0600   5     41.00
WA942       0600   6     42.00
WA942       0600   7     44.00
WA942       0600   8     38.00
WA942       0600   9     34.00
WA942       0600  10     34.00
WA942       0600  11     35.00
WA942       0600  12     42.00
WA942       0600  13     42.00
WA942       0600  14     45.00
WA942       0600  15     40.00
WA942       0600  16     41.00
WA942       0600  17     48.00
WA942       0600  18     39.00
WA942       0600  19     38.00
WA942       0600  20     42.00
WA942       0600  21     46.00
WA942       0600  22     42.00
WA942       0600  23     42.00
WA942       0600  24     44.00
WA942       0600  25     46.00
WA942       0600  26     54.00
WA942       0600  27     60.00
WA942       0600  28     58.00
WA942       0600  29     50.00
WA942       0600  30     45.00
WA942       0700   1     40.00
WA942       0700   2     39.00
WA942       0700   3     34.00
WA942       0700   4     38.00
WA942       0700   5     40.00
WA942       0700   6     41.00
WA942       0700   7     45.00
WA942       0700   8     44.00
WA942       0700   9     43.00
WA942       0700  10     43.00
WA942       0700  11     44.00
WA942       0700  12     43.00
WA942       0700  13     46.00
WA942       0700  14     41.00
WA942       0700  15     40.00
WA942       0700  16     53.00
WA942       0700  17     51.00
WA942       0700  18     44.00
WA942       0700  19     46.00
WA942       0700  20     50.00
WA942       0700  21     52.00
WA942       0700  22     46.00
WA942       0700  23     45.00
WA942       0700  24     46.00
WA942       0700  25     46.00
WA942       0700  26     44.00
WA942       0700  27     47.00
WA942       0700  28     50.00
WA942       0700  29     51.00
WA942       0700  30     56.00
WA942       0700  31     54.00
WA942       0800   1     48.00
WA942       0800   2     49.00
WA942       0800   3     48.00
WA942       0800   4     52.00
WA942       0800   5     54.00
WA942       0800   6     52.00
WA942       0800   7     51.00
WA942       0800   8     52.00
