$ Get data for 974:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:44:03 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA974           Waterhole
01  2000 02   2016  1   f10.2
WA974       0100   1     24.00
WA974       0100   2     19.00
WA974       0100   3     20.00
WA974       0100   4     26.00
WA974       0100   5     20.00
WA974       0100   6     22.00
WA974       0100   7     25.00
WA974       0100   8     23.00
WA974       0100   9     18.00
WA974       0100  10     18.00
WA974       0100  11     17.00
WA974       0100  12     17.00
WA974       0100  13     22.00
WA974       0100  14     20.00
WA974       0100  15     16.00
WA974       0100  16     21.00
WA974       0100  17     17.00
WA974       0100  18     17.00
WA974       0100  19     17.00
WA974       0100  20     27.00
WA974       0100  21     22.00
WA974       0100  22     22.00
WA974       0100  23     19.00
WA974       0100  24     22.00
WA974       0100  25     23.00
WA974       0100  26     18.00
WA974       0100  27     20.00
WA974       0100  28     21.00
WA974       0100  29     24.00
WA974       0100  30     27.00
WA974       0100  31     27.00
WA974       0200   1     27.00
WA974       0200   2     21.00
WA974       0200   3     25.00
WA974       0200   4     29.00
WA974       0200   5     28.00
WA974       0200   6     32.00
WA974       0200   7     31.00
WA974       0200   8     24.00
WA974       0200   9     23.00
WA974       0200  10     21.00
WA974       0200  11     18.00
WA974       0200  12      2.00
WA974       0200  13     15.00
WA974       0200  14     24.00
WA974       0200  15     20.00
WA974       0200  16     19.00
WA974       0200  17     17.00
WA974       0200  18     18.00
WA974       0200  19     24.00
WA974       0200  20     29.00
WA974       0200  21     31.00
WA974       0200  22     25.00
WA974       0200  23     18.00
WA974       0200  24     17.00
WA974       0200  25     23.00
WA974       0200  26     25.00
WA974       0200  27     27.00
WA974       0200  28     26.00
WA974       0200  29     27.00
WA974       0300   1     24.00
WA974       0300   2     29.00
WA974       0300   3     29.00
WA974       0300   4     19.00
WA974       0300   5     14.00
WA974       0300   6     13.00
WA974       0300   7     17.00
WA974       0300   8     27.00
WA974       0300   9     24.00
WA974       0300  10     22.00
WA974       0300  11     21.00
WA974       0300  12     19.00
WA974       0300  13     29.00
WA974       0300  14   -999.00
WA974       0300  15     17.00
WA974       0300  16     22.00
WA974       0300  17     24.00
WA974       0300  18     23.00
WA974       0300  19     17.00
WA974       0300  20     16.00
WA974       0300  21     29.00
WA974       0300  22     24.00
WA974       0300  23     23.00
WA974       0300  24     20.00
WA974       0300  25     28.00
WA974       0300  26     25.00
WA974       0300  27     27.00
WA974       0300  28     23.00
WA974       0300  29     19.00
WA974       0300  30     24.00
WA974       0300  31     31.00
WA974       0400   1     37.00
WA974       0400   2     36.00
WA974       0400   3     36.00
WA974       0400   4     24.00
WA974       0400   5     22.00
WA974       0400   6     22.00
WA974       0400   7     20.00
WA974       0400   8     33.00
WA974       0400   9     32.00
WA974       0400  10     31.00
WA974       0400  11     33.00
WA974       0400  12     38.00
WA974       0400  13     34.00
WA974       0400  14     30.00
WA974       0400  15     29.00
WA974       0400  16     27.00
WA974       0400  17     23.00
WA974       0400  18     30.00
WA974       0400  19     25.00
WA974       0400  20     31.00
WA974       0400  21     32.00
WA974       0400  22     28.00
WA974       0400  23     20.00
WA974       0400  24     15.00
WA974       0400  25     23.00
WA974       0400  26     22.00
WA974       0400  27     26.00
WA974       0400  28     24.00
WA974       0400  29     22.00
WA974       0400  30     31.00
WA974       0500   1     34.00
WA974       0500   2     30.00
WA974       0500   3     30.00
WA974       0500   4     29.00
WA974       0500   5     27.00
WA974       0500   6     25.00
WA974       0500   7     22.00
WA974       0500   8     30.00
WA974       0500   9     30.00
WA974       0500  10     29.00
WA974       0500  11     28.00
WA974       0500  12     25.00
WA974       0500  13     28.00
WA974       0500  14     35.00
WA974       0500  15     36.00
WA974       0500  16     34.00
WA974       0500  17     33.00
WA974       0500  18     33.00
WA974       0500  19     35.00
WA974       0500  20     34.00
WA974       0500  21     33.00
WA974       0500  22     31.00
WA974       0500  23     29.00
WA974       0500  24     29.00
WA974       0500  25     29.00
WA974       0500  26     35.00
WA974       0500  27     33.00
WA974       0500  28     33.00
WA974       0500  29     33.00
WA974       0500  30     33.00
WA974       0500  31     34.00
WA974       0600   1     31.00
WA974       0600   2     29.00
WA974       0600   3     34.00
WA974       0600   4     44.00
WA974       0600   5     37.00
WA974       0600   6     36.00
WA974       0600   7     36.00
WA974       0600   8     33.00
WA974       0600   9     31.00
WA974       0600  10     30.00
WA974       0600  11     30.00
WA974       0600  12     35.00
WA974       0600  13     35.00
WA974       0600  14     33.00
WA974       0600  15     32.00
WA974       0600  16     33.00
WA974       0600  17     41.00
WA974       0600  18     35.00
WA974       0600  19     33.00
WA974       0600  20     38.00
WA974       0600  21     37.00
WA974       0600  22     35.00
WA974       0600  23     34.00
WA974       0600  24     41.00
WA974       0600  25     41.00
WA974       0600  26     42.00
WA974       0600  27     46.00
WA974       0600  28     47.00
WA974       0600  29     45.00
WA974       0600  30     39.00
WA974       0700   1     35.00
WA974       0700   2     33.00
WA974       0700   3     32.00
WA974       0700   4     37.00
WA974       0700   5     36.00
WA974       0700   6     40.00
WA974       0700   7     38.00
WA974       0700   8     41.00
WA974       0700   9     39.00
WA974       0700  10     39.00
WA974       0700  11     40.00
WA974       0700  12     37.00
WA974       0700  13     38.00
WA974       0700  14     35.00
WA974       0700  15     34.00
WA974       0700  16     41.00
WA974       0700  17     44.00
WA974       0700  18     44.00
WA974       0700  19     45.00
WA974       0700  20     46.00
WA974       0700  21     48.00
WA974       0700  22     43.00
WA974       0700  23     42.00
WA974       0700  24     42.00
WA974       0700  25     44.00
WA974       0700  26     41.00
WA974       0700  27     46.00
WA974       0700  28     46.00
WA974       0700  29     45.00
WA974       0700  30     47.00
WA974       0700  31     45.00
WA974       0800   1     41.00
WA974       0800   2     43.00
WA974       0800   3     44.00
WA974       0800   4     48.00
WA974       0800   5     50.00
WA974       0800   6     48.00
WA974       0800   7     47.00
WA974       0800   8     48.00
WA974       0800   9     46.00
WA974       0800  10     41.00
WA974       0800  11     36.00
WA974       0800  12     35.00
WA974       0800  13     36.00
WA974       0800  14     38.00
WA974       0800  15     39.00
WA974       0800  16     37.00
WA974       0800  17     38.00
WA974       0800  18     39.00
WA974       0800  19     38.00
WA974       0800  20     37.00
WA974       0800  21     39.00
WA974       0800  22     44.00
WA974       0800  23     46.00
WA974       0800  24     45.00
WA974       0800  25     41.00
