$ Get data for 975:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:40:49 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA975           Swamp Creek
01  2000 02   2016  1   f10.2
WA975       0100   1     27.00
WA975       0100   2     21.00
WA975       0100   3     21.00
WA975       0100   4     27.00
WA975       0100   5     22.00
WA975       0100   6     20.00
WA975       0100   7     28.00
WA975       0100   8     26.00
WA975       0100   9     23.00
WA975       0100  10     21.00
WA975       0100  11     20.00
WA975       0100  12     20.00
WA975       0100  13     24.00
WA975       0100  14     27.00
WA975       0100  15     24.00
WA975       0100  16     24.00
WA975       0100  17     15.00
WA975       0100  18     11.00
WA975       0100  19      8.00
WA975       0100  20     20.00
WA975       0100  21     24.00
WA975       0100  22     17.00
WA975       0100  23     26.00
WA975       0100  24     26.00
WA975       0100  25     29.00
WA975       0100  26     27.00
WA975       0100  27     19.00
WA975       0100  28     18.00
WA975       0100  29     21.00
WA975       0100  30     22.00
WA975       0100  31     27.00
WA975       0200   1   5513.00
WA975       0200   2     29.00
WA975       0200   3     29.00
WA975       0200   4     26.00
WA975       0200   5     28.00
WA975       0200   6     31.00
WA975       0200   7     35.00
WA975       0200   8     32.00
WA975       0200   9     22.00
WA975       0200  10     17.00
WA975       0200  11     18.00
WA975       0200  12     24.00
WA975       0200  13     23.00
WA975       0200  14     26.00
WA975       0200  15     26.00
WA975       0200  16     15.00
WA975       0200  17     10.00
WA975       0200  18     12.00
WA975       0200  19     26.00
WA975       0200  20     26.00
WA975       0200  21     33.00
WA975       0200  22     33.00
WA975       0200  23     22.00
WA975       0200  24     18.00
WA975       0200  25     14.00
WA975       0200  26     21.00
WA975       0200  27     33.00
WA975       0200  28     32.00
WA975       0200  29     32.00
WA975       0300   1     31.00
WA975       0300   2     33.00
WA975       0300   3     29.00
WA975       0300   4     30.00
WA975       0300   5     24.00
WA975       0300   6     16.00
WA975       0300   7     13.00
WA975       0300   8     31.00
WA975       0300   9     28.00
WA975       0300  10     28.00
WA975       0300  11     29.00
WA975       0300  12     26.00
WA975       0300  13     23.00
WA975       0300  14   -999.00
WA975       0300  15     23.00
WA975       0300  16     29.00
WA975       0300  17     28.00
WA975       0300  18     29.00
WA975       0300  19     27.00
WA975       0300  20     21.00
WA975       0300  21     29.00
WA975       0300  22     31.00
WA975       0300  23     28.00
WA975       0300  24     22.00
WA975       0300  25     31.00
WA975       0300  26     25.00
WA975       0300  27     28.00
WA975       0300  28     29.00
WA975       0300  29     27.00
WA975       0300  30     22.00
WA975       0300  31     28.00
WA975       0400   1     31.00
WA975       0400   2     30.00
WA975       0400   3     31.00
WA975       0400   4     30.00
WA975       0400   5     29.00
WA975       0400   6     22.00
WA975       0400   7     19.00
WA975       0400   8     29.00
WA975       0400   9     30.00
WA975       0400  10     33.00
WA975       0400  11     31.00
WA975       0400  12     33.00
WA975       0400  13     33.00
WA975       0400  14     34.00
WA975       0400  15     31.00
WA975       0400  16     29.00
WA975       0400  17     33.00
WA975       0400  18     32.00
WA975       0400  19     29.00
WA975       0400  20     31.00
WA975       0400  21     31.00
WA975       0400  22     33.00
WA975       0400  23     27.00
WA975       0400  24     26.00
WA975       0400  25     32.00
WA975       0400  26     28.00
WA975       0400  27     34.00
WA975       0400  28     31.00
WA975       0400  29     32.00
WA975       0400  30     36.00
WA975       0500   1     35.00
WA975       0500   2     33.00
WA975       0500   3     34.00
WA975       0500   4     32.00
WA975       0500   5     31.00
WA975       0500   6     28.00
WA975       0500   7     26.00
WA975       0500   8     30.00
WA975       0500   9     34.00
WA975       0500  10     33.00
WA975       0500  11     33.00
WA975       0500  12     31.00
WA975       0500  13     29.00
WA975       0500  14     37.00
WA975       0500  15     37.00
WA975       0500  16     34.00
WA975       0500  17     33.00
WA975       0500  18     32.00
WA975       0500  19     37.00
WA975       0500  20     36.00
WA975       0500  21     39.00
WA975       0500  22     36.00
WA975       0500  23     32.00
WA975       0500  24     31.00
WA975       0500  25     30.00
WA975       0500  26     36.00
WA975       0500  27     35.00
